type,name,capacity,time-19:30,generation-19:30,note-19:30,time-19:40,generation-19:40,note-19:40,time-19:50,generation-19:50,note-19:50,time-20:00,generation-20:00,note-20:00,time-20:10,generation-20:10,note-20:10,time-20:20,generation-20:20,note-20:20,time-20:30,generation-20:30,note-20:30,time-20:40,generation-20:40,note-20:40,time-20:50,generation-20:50,note-20:50
nuclear,核二#1,985.0,19:30,853.9,燃料限制,19:40,848.6,燃料限制,19:50,848.6,燃料限制,20:00,851.3,燃料限制,20:10,848.6,燃料限制,20:20,851.3,燃料限制,20:30,848.6,燃料限制,20:40,851.3,燃料限制,20:50,848.6,燃料限制
nuclear,核二#2,985.0,19:30,973.2,,19:40,969.2,,19:50,973.2,,20:00,973.2,,20:10,970.6,,20:20,971.9,,20:30,970.6,,20:40,971.9,,20:50,969.2,
nuclear,核三#1,951.0,19:30,949.5,,19:40,948.3,,19:50,946.1,,20:00,946.1,,20:10,947.2,,20:20,944.9,,20:30,942.6,,20:40,943.8,,20:50,941.5,
nuclear,核三#2,951.0,19:30,946.1,,19:40,944.9,,19:50,942.6,,20:00,944.9,,20:10,943.8,,20:20,943.8,,20:30,940.4,,20:40,942.6,,20:50,938.1,
nuclear,小計,3872.0(7.793%),19:30,3722.7(11.785%),,19:40,3711.0(11.708%),,19:50,3710.5(11.720%),,20:00,3715.5(11.658%),,20:10,3710.2(11.686%),,20:20,3711.9(11.715%),,20:30,3702.2(11.695%),,20:40,3709.6(11.770%),,20:50,3697.4(11.660%),
coal,林口#1,800.0,19:30,756.7,,19:40,758.0,,19:50,756.8,,20:00,753.1,,20:10,757.0,,20:20,756.4,,20:30,755.6,,20:40,755.8,,20:50,756.7,
coal,林口#2,800.0,19:30,755.6,,19:40,762.8,,19:50,760.7,,20:00,759.6,,20:10,761.0,,20:20,759.6,,20:30,758.2,,20:40,758.5,,20:50,760.0,
coal,林口#3,800.0,19:30,747.4,,19:40,746.0,,19:50,746.9,,20:00,747.0,,20:10,747.0,,20:20,747.1,,20:30,747.2,,20:40,747.3,,20:50,747.0,
coal,台中#1,550.0,19:30,515.2,,19:40,513.3,,19:50,506.2,,20:00,503.7,,20:10,511.8,,20:20,513.2,,20:30,499.9,,20:40,504.2,,20:50,490.9,
coal,台中#2,550.0,19:30,523.6,,19:40,525.4,,19:50,525.3,,20:00,536.8,,20:10,531.5,,20:20,526.1,,20:30,519.5,,20:40,528.5,,20:50,524.0,
coal,台中#3,550.0,19:30,509.2,,19:40,506.3,,19:50,503.8,,20:00,508.4,,20:10,506.2,,20:20,505.3,,20:30,507.6,,20:40,507.5,,20:50,499.5,
coal,台中#4,550.0,19:30,520.6,,19:40,515.0,,19:50,516.5,,20:00,522.6,,20:10,521.3,,20:20,520.5,,20:30,520.3,,20:40,514.0,,20:50,516.5,
coal,台中#5,550.0,19:30,535.0,,19:40,533.4,,19:50,528.0,,20:00,514.8,,20:10,516.2,,20:20,523.1,,20:30,510.4,,20:40,515.5,,20:50,513.9,
coal,台中#6,550.0,19:30,0.0,環保停機檢修,19:40,0.0,環保停機檢修,19:50,0.0,環保停機檢修,20:00,0.0,環保停機檢修,20:10,0.0,環保停機檢修,20:20,0.0,環保停機檢修,20:30,0.0,環保停機檢修,20:40,0.0,環保停機檢修,20:50,0.0,環保停機檢修
coal,台中#7,550.0,19:30,522.3,,19:40,518.6,,19:50,520.7,,20:00,515.2,,20:10,516.8,,20:20,517.5,,20:30,520.6,,20:40,518.1,,20:50,519.1,
coal,台中#8,550.0,19:30,529.0,,19:40,527.5,,19:50,525.2,,20:00,526.5,,20:10,528.1,,20:20,527.3,,20:30,530.4,,20:40,528.9,,20:50,526.7,
coal,台中#9,550.0,19:30,244.8,測試運轉,19:40,246.2,測試運轉,19:50,236.0,測試運轉,20:00,243.8,測試運轉,20:10,236.3,測試運轉,20:20,262.1,測試運轉,20:30,275.0,測試運轉,20:40,278.8,測試運轉,20:50,295.8,測試運轉
coal,台中#10,550.0,19:30,525.2,,19:40,525.8,,19:50,525.6,,20:00,522.8,,20:10,527.3,,20:20,525.9,,20:30,525.8,,20:40,526.1,,20:50,526.3,
coal,興達#1(註12),500.0,19:30,456.9,,19:40,470.2,,19:50,468.3,,20:00,467.6,,20:10,465.7,,20:20,468.9,,20:30,468.9,,20:40,469.5,,20:50,463.2,
coal,興達#2(註12),500.0,19:30,458.1,,19:40,479.0,,19:50,480.3,,20:00,476.5,,20:10,477.1,,20:20,474.6,,20:30,476.5,,20:40,477.1,,20:50,476.5,
coal,興達#3(註12),550.0,19:30,518.3,,19:40,516.8,,19:50,522.1,,20:00,519.1,,20:10,521.4,,20:20,527.5,,20:30,518.3,,20:40,517.5,,20:50,518.3,
coal,興達#4(註12),550.0,19:30,527.1,,19:40,524.8,,19:50,517.8,,20:00,518.6,,20:10,516.3,,20:20,524.8,,20:30,521.7,,20:40,520.2,,20:50,520.2,
coal,大林#1,800.0,19:30,0.0,故障,19:40,0.0,故障,19:50,0.0,故障,20:00,0.0,故障,20:10,0.0,故障,20:20,0.0,故障,20:30,0.0,故障,20:40,0.0,故障,20:50,0.0,故障
coal,大林#2,800.0,19:30,759.4,,19:40,759.4,,19:50,759.4,,20:00,759.4,,20:10,759.4,,20:20,761.0,,20:30,759.4,,20:40,759.4,,20:50,759.4,
