type,name,capacity,time-00:00,generation-00:00,note-00:00,time-00:10,generation-00:10,note-00:10,time-00:20,generation-00:20,note-00:20,time-00:30,generation-00:30,note-00:30,time-00:40,generation-00:40,note-00:40,time-00:50,generation-00:50,note-00:50,time-01:00,generation-01:00,note-01:00,time-01:10,generation-01:10,note-01:10,time-01:20,generation-01:20,note-01:20,time-01:30,generation-01:30,note-01:30,time-01:40,generation-01:40,note-01:40,time-01:50,generation-01:50,note-01:50,time-02:00,generation-02:00,note-02:00,time-02:10,generation-02:10,note-02:10,time-02:20,generation-02:20,note-02:20,time-02:30,generation-02:30,note-02:30,time-02:40,generation-02:40,note-02:40,time-02:50,generation-02:50,note-02:50,time-03:00,generation-03:00,note-03:00,time-03:10,generation-03:10,note-03:10,time-03:20,generation-03:20,note-03:20,time-03:30,generation-03:30,note-03:30,time-03:40,generation-03:40,note-03:40,time-03:50,generation-03:50,note-03:50,time-04:00,generation-04:00,note-04:00,time-04:10,generation-04:10,note-04:10,time-04:20,generation-04:20,note-04:20,time-04:30,generation-04:30,note-04:30,time-04:40,generation-04:40,note-04:40,time-04:50,generation-04:50,note-04:50,time-05:00,generation-05:00,note-05:00,time-05:10,generation-05:10,note-05:10,time-05:20,generation-05:20,note-05:20,time-05:30,generation-05:30,note-05:30,time-05:40,generation-05:40,note-05:40,time-05:50,generation-05:50,note-05:50,time-06:00,generation-06:00,note-06:00,time-06:10,generation-06:10,note-06:10,time-06:20,generation-06:20,note-06:20,time-06:30,generation-06:30,note-06:30,time-06:40,generation-06:40,note-06:40,time-06:50,generation-06:50,note-06:50,time-07:00,generation-07:00,note-07:00,time-07:10,generation-07:10,note-07:10,time-07:20,generation-07:20,note-07:20,time-07:30,generation-07:30,note-07:30,time-07:40,generation-07:40,note-07:40,time-07:50,generation-07:50,note-07:50,time-08:00,generation-08:00,note-08:00,time-08:10,generation-08:10,note-08:10,time-08:23,generation-08:23,note-08:23,time-08:30,generation-08:30,note-08:30,time-08:40,generation-08:40,note-08:40,time-08:50,generation-08:50,note-08:50,time-09:00,generation-09:00,note-09:00,time-09:10,generation-09:10,note-09:10,time-09:20,generation-09:20,note-09:20,time-09:30,generation-09:30,note-09:30,time-09:40,generation-09:40,note-09:40,time-09:50,generation-09:50,note-09:50,time-10:00,generation-10:00,note-10:00,time-10:10,generation-10:10,note-10:10,time-10:20,generation-10:20,note-10:20,time-10:30,generation-10:30,note-10:30,time-10:40,generation-10:40,note-10:40,time-10:50,generation-10:50,note-10:50,time-11:00,generation-11:00,note-11:00,time-11:10,generation-11:10,note-11:10,time-11:20,generation-11:20,note-11:20,time-11:30,generation-11:30,note-11:30,time-11:40,generation-11:40,note-11:40,time-11:50,generation-11:50,note-11:50,time-12:00,generation-12:00,note-12:00,time-12:10,generation-12:10,note-12:10,time-12:20,generation-12:20,note-12:20,time-12:30,generation-12:30,note-12:30,time-12:40,generation-12:40,note-12:40,time-12:50,generation-12:50,note-12:50,time-13:00,generation-13:00,note-13:00,time-13:10,generation-13:10,note-13:10,time-13:20,generation-13:20,note-13:20,time-22:20,generation-22:20,note-22:20,time-13:30,generation-13:30,note-13:30
nuclear,核二#1,985.0,00:00,851.3,燃料限制,00:10,848.6,燃料限制,00:20,845.9,燃料限制,00:30,851.3,燃料限制,00:40,849.9,燃料限制,00:50,849.9,燃料限制,01:00,848.6,燃料限制,01:10,852.6,燃料限制,01:20,849.9,燃料限制,01:30,853.9,燃料限制,01:40,849.9,燃料限制,01:50,851.3,燃料限制,02:00,848.6,燃料限制,02:10,848.6,燃料限制,02:20,852.6,燃料限制,02:30,849.9,燃料限制,02:40,852.6,燃料限制,02:50,851.3,燃料限制,03:00,852.6,燃料限制,03:10,852.6,燃料限制,03:20,851.3,燃料限制,03:30,852.6,燃料限制,03:40,852.6,燃料限制,03:50,851.3,燃料限制,04:00,852.6,燃料限制,04:10,852.6,燃料限制,04:20,853.9,燃料限制,04:30,852.6,燃料限制,04:40,852.6,燃料限制,04:50,852.6,燃料限制,05:00,853.9,燃料限制,05:10,856.6,燃料限制,05:20,855.3,燃料限制,05:30,852.6,燃料限制,05:40,852.6,燃料限制,05:50,848.6,燃料限制,06:00,852.6,燃料限制,06:10,852.6,燃料限制,06:20,849.9,燃料限制,06:30,853.9,燃料限制,06:40,852.6,燃料限制,06:50,852.6,燃料限制,07:00,855.3,燃料限制,07:10,855.3,燃料限制,07:20,851.3,燃料限制,07:30,851.3,燃料限制,07:40,852.6,燃料限制,07:50,848.6,燃料限制,08:00,852.6,燃料限制,08:10,851.3,燃料限制,08:23,852.6,燃料限制,08:30,848.6,燃料限制,08:40,851.3,燃料限制,08:50,852.6,燃料限制,09:00,849.9,燃料限制,09:10,851.3,燃料限制,09:20,851.3,燃料限制,09:30,848.6,燃料限制,09:40,848.6,燃料限制,09:50,847.2,燃料限制,10:00,845.9,燃料限制,10:10,845.9,燃料限制,10:20,845.9,燃料限制,10:30,845.9,燃料限制,10:40,844.6,燃料限制,10:50,848.6,燃料限制,11:00,844.6,燃料限制,11:10,847.2,燃料限制,11:20,845.9,燃料限制,11:30,847.2,燃料限制,11:40,849.9,燃料限制,11:50,848.6,燃料限制,12:00,847.2,燃料限制,12:10,848.6,燃料限制,12:20,848.6,燃料限制,12:30,847.2,燃料限制,12:40,845.9,燃料限制,12:50,844.6,燃料限制,13:00,844.6,燃料限制,13:10,847.2,燃料限制,13:20,847.2,燃料限制,22:20,855.3,燃料限制,13:30,847.2,燃料限制
nuclear,核二#2,985.0,00:00,971.9,,00:10,971.9,,00:20,970.6,,00:30,970.6,,00:40,971.9,,00:50,971.9,,01:00,969.2,,01:10,973.2,,01:20,971.9,,01:30,971.9,,01:40,969.2,,01:50,970.6,,02:00,966.5,,02:10,969.2,,02:20,971.9,,02:30,971.9,,02:40,971.9,,02:50,970.6,,03:00,973.2,,03:10,974.6,,03:20,973.2,,03:30,973.2,,03:40,973.2,,03:50,974.6,,04:00,974.6,,04:10,974.6,,04:20,973.2,,04:30,974.6,,04:40,974.6,,04:50,974.6,,05:00,975.9,,05:10,977.3,,05:20,977.3,,05:30,974.6,,05:40,974.6,,05:50,971.9,,06:00,975.9,,06:10,973.2,,06:20,973.2,,06:30,975.9,,06:40,975.9,,06:50,975.9,,07:00,974.6,,07:10,974.6,,07:20,975.9,,07:30,975.9,,07:40,973.2,,07:50,977.3,,08:00,973.2,,08:10,971.9,,08:23,973.2,,08:30,970.6,,08:40,970.6,,08:50,971.9,,09:00,973.2,,09:10,970.6,,09:20,973.2,,09:30,970.6,,09:40,970.6,,09:50,970.6,,10:00,970.6,,10:10,969.2,,10:20,967.9,,10:30,969.2,,10:40,967.9,,10:50,969.2,,11:00,967.9,,11:10,970.6,,11:20,967.9,,11:30,969.2,,11:40,969.2,,11:50,970.6,,12:00,970.6,,12:10,969.2,,12:20,967.9,,12:30,969.2,,12:40,966.5,,12:50,966.5,,13:00,966.5,,13:10,967.9,,13:20,969.2,,22:20,974.6,,13:30,969.2,
nuclear,核三#1,951.0,00:00,944.9,,00:10,946.1,,00:20,944.9,,00:30,946.1,,00:40,943.8,,00:50,946.1,,01:00,944.9,,01:10,946.1,,01:20,946.1,,01:30,948.3,,01:40,948.3,,01:50,947.2,,02:00,948.3,,02:10,948.3,,02:20,947.2,,02:30,948.3,,02:40,951.8,,02:50,947.2,,03:00,949.5,,03:10,951.8,,03:20,950.6,,03:30,949.5,,03:40,949.5,,03:50,949.5,,04:00,944.9,,04:10,948.3,,04:20,948.3,,04:30,946.1,,04:40,946.1,,04:50,946.1,,05:00,946.1,,05:10,946.1,,05:20,948.3,,05:30,946.1,,05:40,947.2,,05:50,946.1,,06:00,947.2,,06:10,946.1,,06:20,946.1,,06:30,946.1,,06:40,947.2,,06:50,947.2,,07:00,947.2,,07:10,948.3,,07:20,946.1,,07:30,949.5,,07:40,946.1,,07:50,947.2,,08:00,947.2,,08:10,947.2,,08:23,947.2,,08:30,944.9,,08:40,946.1,,08:50,947.2,,09:00,947.2,,09:10,946.1,,09:20,947.2,,09:30,946.1,,09:40,946.1,,09:50,943.8,,10:00,943.8,,10:10,943.8,,10:20,943.8,,10:30,943.8,,10:40,942.6,,10:50,943.8,,11:00,942.6,,11:10,941.5,,11:20,941.5,,11:30,942.6,,11:40,940.4,,11:50,941.5,,12:00,940.4,,12:10,942.6,,12:20,941.5,,12:30,940.4,,12:40,941.5,,12:50,942.6,,13:00,941.5,,13:10,940.4,,13:20,941.5,,22:20,942.6,,13:30,940.4,
nuclear,核三#2,951.0,00:00,942.6,,00:10,942.6,,00:20,941.5,,00:30,942.6,,00:40,942.6,,00:50,942.6,,01:00,943.8,,01:10,942.6,,01:20,943.8,,01:30,944.9,,01:40,943.8,,01:50,943.8,,02:00,944.9,,02:10,943.8,,02:20,943.8,,02:30,944.9,,02:40,946.1,,02:50,943.8,,03:00,943.8,,03:10,947.2,,03:20,946.1,,03:30,943.8,,03:40,944.9,,03:50,946.1,,04:00,942.6,,04:10,943.8,,04:20,942.6,,04:30,942.6,,04:40,941.5,,04:50,942.6,,05:00,942.6,,05:10,943.8,,05:20,944.9,,05:30,942.6,,05:40,943.8,,05:50,943.8,,06:00,943.8,,06:10,942.6,,06:20,942.6,,06:30,941.5,,06:40,942.6,,06:50,942.6,,07:00,942.6,,07:10,943.8,,07:20,941.5,,07:30,944.9,,07:40,942.6,,07:50,942.6,,08:00,943.8,,08:10,942.6,,08:23,942.6,,08:30,941.5,,08:40,941.5,,08:50,942.6,,09:00,943.8,,09:10,941.5,,09:20,942.6,,09:30,940.4,,09:40,939.2,,09:50,940.4,,10:00,941.5,,10:10,939.2,,10:20,940.4,,10:30,939.2,,10:40,940.4,,10:50,939.2,,11:00,939.2,,11:10,938.1,,11:20,938.1,,11:30,938.1,,11:40,937.0,,11:50,937.0,,12:00,937.0,,12:10,938.1,,12:20,937.0,,12:30,935.8,,12:40,938.1,,12:50,938.1,,13:00,935.8,,13:10,938.1,,13:20,937.0,,22:20,938.1,,13:30,935.8,
nuclear,小計,3872.0(7.793%),00:00,3710.7(12.845%),,00:10,3709.2(12.936%),,00:20,3702.9(13.012%),,00:30,3710.6(13.153%),,00:40,3708.2(13.232%),,00:50,3710.5(13.169%),,01:00,3706.5(13.339%),,01:10,3714.5(13.455%),,01:20,3711.7(13.486%),,01:30,3719.0(13.660%),,01:40,3711.2(13.678%),,01:50,3712.9(13.745%),,02:00,3708.3(13.820%),,02:10,3709.9(13.959%),,02:20,3715.5(14.070%),,02:30,3715.0(14.165%),,02:40,3722.4(14.203%),,02:50,3712.9(14.188%),,03:00,3719.1(14.332%),,03:10,3726.2(14.435%),,03:20,3721.2(14.369%),,03:30,3719.1(14.439%),,03:40,3720.2(14.458%),,03:50,3721.5(14.519%),,04:00,3714.7(14.564%),,04:10,3719.3(14.598%),,04:20,3718.0(14.653%),,04:30,3715.9(14.699%),,04:40,3714.8(14.696%),,04:50,3715.9(14.730%),,05:00,3718.5(14.831%),,05:10,3723.8(14.833%),,05:20,3725.8(14.926%),,05:30,3715.9(14.946%),,05:40,3718.2(14.919%),,05:50,3710.4(14.868%),,06:00,3719.5(14.913%),,06:10,3714.5(14.798%),,06:20,3711.8(14.677%),,06:30,3717.4(14.654%),,06:40,3718.3(14.507%),,06:50,3718.3(14.454%),,07:00,3719.7(14.331%),,07:10,3722.0(14.123%),,07:20,3714.8(13.859%),,07:30,3721.6(13.766%),,07:40,3714.5(13.394%),,07:50,3715.7(12.938%),,08:00,3716.8(12.459%),,08:10,3713.0(11.923%),,08:23,3715.6(11.526%),,08:30,3705.6(11.373%),,08:40,3709.5(11.214%),,08:50,3714.3(10.986%),,09:00,3714.1(10.939%),,09:10,3709.5(10.797%),,09:20,3714.3(10.802%),,09:30,3705.7(10.666%),,09:40,3704.5(10.599%),,09:50,3702.0(10.579%),,10:00,3701.8(10.493%),,10:10,3698.1(10.424%),,10:20,3698.0(10.342%),,10:30,3698.1(10.384%),,10:40,3695.5(10.262%),,10:50,3700.8(10.134%),,11:00,3694.3(10.144%),,11:10,3697.4(10.070%),,11:20,3693.4(9.999%),,11:30,3697.1(9.994%),,11:40,3696.5(9.960%),,11:50,3697.7(9.956%),,12:00,3695.2(10.095%),,12:10,3698.5(10.321%),,12:20,3695.0(10.289%),,12:30,3692.6(10.316%),,12:40,3692.0(10.251%),,12:50,3691.8(10.223%),,13:00,3688.4(10.054%),,13:10,3693.6(9.829%),,13:20,3694.9(9.834%),,22:20,3710.6(12.010%),,13:30,3692.6(9.795%),
coal,林口#1,800.0,00:00,752.8,,00:10,751.4,,00:20,757.5,,00:30,756.0,,00:40,750.8,,00:50,753.4,,01:00,754.0,,01:10,749.7,,01:20,758.1,,01:30,753.4,,01:40,753.4,,01:50,754.4,,02:00,755.2,,02:10,756.0,,02:20,751.7,,02:30,750.3,,02:40,753.8,,02:50,758.9,,03:00,755.0,,03:10,754.2,,03:20,758.1,,03:30,751.1,,03:40,754.8,,03:50,753.9,,04:00,751.2,,04:10,754.9,,04:20,758.0,,04:30,753.3,,04:40,752.4,,04:50,754.9,,05:00,752.9,,05:10,747.5,,05:20,755.8,,05:30,754.5,,05:40,758.9,,05:50,757.7,,06:00,752.0,,06:10,754.2,,06:20,754.2,,06:30,760.6,,06:40,755.4,,06:50,754.5,,07:00,748.3,,07:10,753.8,,07:20,753.8,,07:30,748.1,,07:40,757.6,,07:50,747.5,,08:00,749.4,,08:10,753.1,,08:23,747.9,,08:30,750.6,,08:40,752.0,,08:50,746.6,,09:00,750.6,,09:10,752.7,,09:20,749.5,,09:30,754.2,,09:40,756.7,,09:50,752.7,,10:00,755.5,,10:10,757.4,,10:20,758.7,,10:30,751.1,,10:40,754.8,,10:50,752.2,,11:00,747.5,,11:10,754.8,,11:20,755.1,,11:30,758.4,,11:40,754.5,,11:50,756.8,,12:00,756.0,,12:10,757.9,,12:20,760.7,,12:30,756.9,,12:40,763.2,,12:50,757.4,,13:00,750.2,,13:10,755.2,,13:20,756.4,,22:20,754.9,,13:30,755.5,
coal,林口#2,800.0,00:00,757.8,,00:10,753.5,,00:20,758.7,,00:30,751.1,,00:40,754.0,,00:50,759.2,,01:00,760.4,,01:10,753.0,,01:20,759.7,,01:30,754.6,,01:40,757.2,,01:50,759.1,,02:00,761.0,,02:10,762.0,,02:20,758.1,,02:30,758.1,,02:40,759.6,,02:50,761.2,,03:00,758.4,,03:10,755.2,,03:20,761.1,,03:30,754.8,,03:40,757.8,,03:50,757.5,,04:00,753.7,,04:10,758.0,,04:20,761.1,,04:30,754.0,,04:40,756.6,,04:50,759.6,,05:00,755.0,,05:10,753.4,,05:20,758.3,,05:30,759.5,,05:40,762.0,,05:50,761.3,,06:00,758.2,,06:10,759.0,,06:20,758.2,,06:30,762.7,,06:40,758.8,,06:50,757.1,,07:00,750.7,,07:10,752.9,,07:20,755.6,,07:30,750.9,,07:40,761.2,,07:50,751.6,,08:00,752.2,,08:10,758.7,,08:23,750.4,,08:30,756.1,,08:40,759.8,,08:50,757.6,,09:00,758.5,,09:10,758.4,,09:20,753.3,,09:30,755.4,,09:40,757.6,,09:50,750.4,,10:00,757.2,,10:10,757.4,,10:20,758.6,,10:30,754.2,,10:40,758.0,,10:50,762.5,,11:00,760.4,,11:10,760.2,,11:20,759.6,,11:30,761.1,,11:40,757.5,,11:50,758.5,,12:00,757.0,,12:10,757.5,,12:20,761.7,,12:30,758.3,,12:40,764.3,,12:50,758.7,,13:00,749.2,,13:10,760.3,,13:20,756.6,,22:20,758.0,,13:30,753.1,
coal,林口#3,800.0,00:00,746.9,,00:10,747.4,,00:20,748.1,,00:30,746.9,,00:40,747.8,,00:50,747.4,,01:00,747.2,,01:10,747.9,,01:20,746.8,,01:30,747.5,,01:40,746.7,,01:50,747.2,,02:00,747.6,,02:10,747.4,,02:20,747.9,,02:30,747.6,,02:40,747.4,,02:50,746.8,,03:00,747.0,,03:10,747.2,,03:20,746.8,,03:30,747.1,,03:40,746.8,,03:50,747.2,,04:00,746.9,,04:10,747.7,,04:20,746.9,,04:30,747.3,,04:40,746.9,,04:50,748.3,,05:00,747.4,,05:10,747.9,,05:20,748.1,,05:30,748.0,,05:40,747.8,,05:50,746.8,,06:00,747.9,,06:10,746.6,,06:20,747.1,,06:30,747.3,,06:40,747.5,,06:50,746.0,,07:00,744.4,,07:10,747.9,,07:20,746.9,,07:30,747.6,,07:40,746.6,,07:50,721.5,,08:00,747.1,,08:10,747.9,,08:23,739.9,,08:30,746.0,,08:40,750.8,,08:50,745.8,,09:00,748.9,,09:10,747.4,,09:20,743.5,,09:30,744.2,,09:40,749.0,,09:50,749.0,,10:00,756.4,,10:10,758.6,,10:20,759.7,,10:30,752.9,,10:40,758.8,,10:50,763.6,,11:00,759.8,,11:10,763.6,,11:20,764.5,,11:30,763.5,,11:40,758.0,,11:50,757.0,,12:00,756.5,,12:10,758.8,,12:20,760.5,,12:30,759.5,,12:40,765.3,,12:50,761.1,,13:00,749.1,,13:10,758.3,,13:20,757.8,,22:20,747.7,,13:30,756.3,
coal,台中#1,550.0,00:00,492.7,運轉限制,00:10,495.8,運轉限制,00:20,495.2,運轉限制,00:30,495.0,運轉限制,00:40,495.8,運轉限制,00:50,493.5,運轉限制,01:00,493.0,運轉限制,01:10,484.1,運轉限制,01:20,483.4,運轉限制,01:30,486.4,運轉限制,01:40,486.5,運轉限制,01:50,482.6,運轉限制,02:00,487.4,運轉限制,02:10,486.8,運轉限制,02:20,483.0,運轉限制,02:30,483.4,運轉限制,02:40,483.5,運轉限制,02:50,485.2,運轉限制,03:00,484.2,運轉限制,03:10,483.4,運轉限制,03:20,491.8,運轉限制,03:30,477.7,運轉限制,03:40,484.1,運轉限制,03:50,481.4,運轉限制,04:00,493.2,運轉限制,04:10,487.0,運轉限制,04:20,489.4,運轉限制,04:30,483.1,運轉限制,04:40,481.0,運轉限制,04:50,483.0,運轉限制,05:00,476.4,運轉限制,05:10,472.2,運轉限制,05:20,474.4,運轉限制,05:30,471.3,運轉限制,05:40,482.7,運轉限制,05:50,484.4,運轉限制,06:00,472.5,運轉限制,06:10,432.0,運轉限制,06:20,430.9,運轉限制,06:30,435.0,運轉限制,06:40,429.4,運轉限制,06:50,428.8,運轉限制,07:00,430.3,運轉限制,07:10,438.2,運轉限制,07:20,434.5,運轉限制,07:30,427.9,運轉限制,07:40,434.7,運轉限制,07:50,427.5,運轉限制,08:00,418.4,運轉限制,08:10,403.1,運轉限制,08:23,403.8,運轉限制,08:30,427.4,運轉限制,08:40,452.9,運轉限制,08:50,468.1,運轉限制,09:00,483.4,運轉限制,09:10,496.3,運轉限制,09:20,515.2,運轉限制,09:30,516.0,運轉限制,09:40,513.6,運轉限制,09:50,514.0,運轉限制,10:00,510.3,運轉限制,10:10,511.5,運轉限制,10:20,512.2,運轉限制,10:30,504.2,運轉限制,10:40,510.6,運轉限制,10:50,508.4,運轉限制,11:00,508.2,運轉限制,11:10,515.3,運轉限制,11:20,515.3,運轉限制,11:30,516.6,運轉限制,11:40,509.6,運轉限制,11:50,514.3,運轉限制,12:00,515.0,運轉限制,12:10,518.8,運轉限制,12:20,521.4,運轉限制,12:30,514.4,運轉限制,12:40,528.6,運轉限制,12:50,522.3,運轉限制,13:00,509.8,運轉限制,13:10,516.8,運轉限制,13:20,508.9,運轉限制,22:20,488.2,運轉限制,13:30,505.6,運轉限制
coal,台中#2,550.0,00:00,511.8,,00:10,520.3,,00:20,515.5,,00:30,515.4,,00:40,523.3,,00:50,517.1,,01:00,517.9,,01:10,513.0,,01:20,517.2,,01:30,509.9,,01:40,516.9,,01:50,515.4,,02:00,520.1,,02:10,517.9,,02:20,520.0,,02:30,516.8,,02:40,517.1,,02:50,521.9,,03:00,513.9,,03:10,513.8,,03:20,525.1,,03:30,511.6,,03:40,511.8,,03:50,516.6,,04:00,508.8,,04:10,514.3,,04:20,515.4,,04:30,516.7,,04:40,512.9,,04:50,521.0,,05:00,496.8,,05:10,462.9,,05:20,465.9,,05:30,473.9,,05:40,471.5,,05:50,476.8,,06:00,457.2,,06:10,442.5,,06:20,432.1,,06:30,446.4,,06:40,444.0,,06:50,445.6,,07:00,441.5,,07:10,444.8,,07:20,440.0,,07:30,439.5,,07:40,439.8,,07:50,440.6,,08:00,416.5,,08:10,406.0,,08:23,419.6,,08:30,448.1,,08:40,471.9,,08:50,488.8,,09:00,514.7,,09:10,518.4,,09:20,524.3,,09:30,514.0,,09:40,523.8,,09:50,518.2,,10:00,525.3,,10:10,529.2,,10:20,520.7,,10:30,519.3,,10:40,513.2,,10:50,521.0,,11:00,514.9,,11:10,516.4,,11:20,520.4,,11:30,518.2,,11:40,521.1,,11:50,523.4,,12:00,519.4,,12:10,521.9,,12:20,515.7,,12:30,516.4,,12:40,523.5,,12:50,518.6,,13:00,513.7,,13:10,517.1,,13:20,513.0,,22:20,527.2,,13:30,517.1,
