type,name,capacity,time-00:00,generation-00:00,note-00:00,time-00:10,generation-00:10,note-00:10,time-00:20,generation-00:20,note-00:20,time-00:30,generation-00:30,note-00:30,time-00:40,generation-00:40,note-00:40,time-00:50,generation-00:50,note-00:50,time-01:00,generation-01:00,note-01:00,time-01:10,generation-01:10,note-01:10,time-01:20,generation-01:20,note-01:20,time-01:30,generation-01:30,note-01:30,time-01:40,generation-01:40,note-01:40,time-01:50,generation-01:50,note-01:50,time-02:00,generation-02:00,note-02:00,time-02:10,generation-02:10,note-02:10,time-02:20,generation-02:20,note-02:20,time-02:30,generation-02:30,note-02:30,time-02:40,generation-02:40,note-02:40,time-02:50,generation-02:50,note-02:50,time-03:00,generation-03:00,note-03:00,time-03:10,generation-03:10,note-03:10,time-03:20,generation-03:20,note-03:20,time-03:30,generation-03:30,note-03:30,time-03:40,generation-03:40,note-03:40,time-03:50,generation-03:50,note-03:50,time-04:00,generation-04:00,note-04:00,time-04:10,generation-04:10,note-04:10,time-04:20,generation-04:20,note-04:20,time-04:30,generation-04:30,note-04:30,time-04:40,generation-04:40,note-04:40,time-04:50,generation-04:50,note-04:50,time-05:00,generation-05:00,note-05:00,time-05:10,generation-05:10,note-05:10,time-05:20,generation-05:20,note-05:20,time-05:30,generation-05:30,note-05:30,time-05:40,generation-05:40,note-05:40,time-05:50,generation-05:50,note-05:50,time-06:00,generation-06:00,note-06:00,time-06:10,generation-06:10,note-06:10,time-06:20,generation-06:20,note-06:20,time-06:30,generation-06:30,note-06:30,time-06:40,generation-06:40,note-06:40,time-06:50,generation-06:50,note-06:50,time-07:00,generation-07:00,note-07:00,time-07:10,generation-07:10,note-07:10,time-07:20,generation-07:20,note-07:20,time-07:30,generation-07:30,note-07:30,time-07:40,generation-07:40,note-07:40,time-07:50,generation-07:50,note-07:50,time-08:00,generation-08:00,note-08:00,time-08:10,generation-08:10,note-08:10,time-08:20,generation-08:20,note-08:20,time-08:30,generation-08:30,note-08:30,time-08:40,generation-08:40,note-08:40,time-08:50,generation-08:50,note-08:50,time-09:00,generation-09:00,note-09:00,time-09:10,generation-09:10,note-09:10,time-09:20,generation-09:20,note-09:20,time-09:30,generation-09:30,note-09:30,time-09:40,generation-09:40,note-09:40,time-09:50,generation-09:50,note-09:50,time-10:00,generation-10:00,note-10:00,time-10:10,generation-10:10,note-10:10,time-10:20,generation-10:20,note-10:20,time-10:30,generation-10:30,note-10:30,time-10:40,generation-10:40,note-10:40,time-10:50,generation-10:50,note-10:50,time-11:30,generation-11:30,note-11:30,time-11:40,generation-11:40,note-11:40,time-11:50,generation-11:50,note-11:50,time-12:00,generation-12:00,note-12:00,time-12:10,generation-12:10,note-12:10,time-12:20,generation-12:20,note-12:20,time-12:30,generation-12:30,note-12:30,time-12:40,generation-12:40,note-12:40,time-12:50,generation-12:50,note-12:50,time-13:00,generation-13:00,note-13:00,time-13:10,generation-13:10,note-13:10,time-13:20,generation-13:20,note-13:20,time-13:30,generation-13:30,note-13:30,time-13:40,generation-13:40,note-13:40,time-13:50,generation-13:50,note-13:50,time-14:00,generation-14:00,note-14:00,time-14:10,generation-14:10,note-14:10,time-14:20,generation-14:20,note-14:20,time-14:30,generation-14:30,note-14:30,time-14:40,generation-14:40,note-14:40,time-14:50,generation-14:50,note-14:50,time-15:00,generation-15:00,note-15:00,time-15:10,generation-15:10,note-15:10,time-15:20,generation-15:20,note-15:20,time-15:30,generation-15:30,note-15:30,time-15:40,generation-15:40,note-15:40,time-15:50,generation-15:50,note-15:50,time-16:00,generation-16:00,note-16:00,time-16:10,generation-16:10,note-16:10,time-16:20,generation-16:20,note-16:20,time-16:30,generation-16:30,note-16:30,time-16:40,generation-16:40,note-16:40,time-16:50,generation-16:50,note-16:50,time-17:00,generation-17:00,note-17:00
nuclear,核二#1,985.0,00:00,845.9,燃料限制,00:10,848.6,燃料限制,00:20,849.9,燃料限制,00:30,848.6,燃料限制,00:40,851.3,燃料限制,00:50,848.6,燃料限制,01:00,851.3,燃料限制,01:10,849.9,燃料限制,01:20,852.6,燃料限制,01:30,849.9,燃料限制,01:40,852.6,燃料限制,01:50,848.6,燃料限制,02:00,848.6,燃料限制,02:10,851.3,燃料限制,02:20,847.2,燃料限制,02:30,849.9,燃料限制,02:40,852.6,燃料限制,02:50,848.6,燃料限制,03:00,848.6,燃料限制,03:10,849.9,燃料限制,03:20,855.3,燃料限制,03:30,855.3,燃料限制,03:40,851.3,燃料限制,03:50,853.9,燃料限制,04:00,852.6,燃料限制,04:10,852.6,燃料限制,04:20,851.3,燃料限制,04:30,853.9,燃料限制,04:40,851.3,燃料限制,04:50,851.3,燃料限制,05:00,849.9,燃料限制,05:10,848.6,燃料限制,05:20,851.3,燃料限制,05:30,852.6,燃料限制,05:40,851.3,燃料限制,05:50,851.3,燃料限制,06:00,851.3,燃料限制,06:10,851.3,燃料限制,06:20,851.3,燃料限制,06:30,849.9,燃料限制,06:40,851.3,燃料限制,06:50,852.6,燃料限制,07:00,851.3,燃料限制,07:10,852.6,燃料限制,07:20,852.6,燃料限制,07:30,851.3,燃料限制,07:40,849.9,燃料限制,07:50,851.3,燃料限制,08:00,849.9,燃料限制,08:10,851.3,燃料限制,08:20,848.6,燃料限制,08:30,848.6,燃料限制,08:40,848.6,燃料限制,08:50,847.2,燃料限制,09:00,849.9,燃料限制,09:10,848.6,燃料限制,09:20,848.6,燃料限制,09:30,849.9,燃料限制,09:40,848.6,燃料限制,09:50,848.6,燃料限制,10:00,848.6,燃料限制,10:10,848.6,燃料限制,10:20,848.6,燃料限制,10:30,847.2,燃料限制,10:40,848.6,燃料限制,10:50,845.9,燃料限制,11:30,845.9,燃料限制,11:40,845.9,燃料限制,11:50,847.2,燃料限制,12:00,847.2,燃料限制,12:10,847.2,燃料限制,12:20,847.2,燃料限制,12:30,847.2,燃料限制,12:40,847.2,燃料限制,12:50,847.2,燃料限制,13:00,845.9,燃料限制,13:10,848.6,燃料限制,13:20,848.6,燃料限制,13:30,848.6,燃料限制,13:40,845.9,燃料限制,13:50,845.9,燃料限制,14:00,848.6,燃料限制,14:10,848.6,燃料限制,14:20,848.6,燃料限制,14:30,851.3,燃料限制,14:40,848.6,燃料限制,14:50,848.6,燃料限制,15:00,849.9,燃料限制,15:10,851.3,燃料限制,15:20,847.2,燃料限制,15:30,851.3,燃料限制,15:40,849.9,燃料限制,15:50,851.3,燃料限制,16:00,852.6,燃料限制,16:10,848.6,燃料限制,16:20,851.3,燃料限制,16:30,851.3,燃料限制,16:40,852.6,燃料限制,16:50,849.9,燃料限制,17:00,851.3,燃料限制
nuclear,核二#2,985.0,00:00,969.2,,00:10,969.2,,00:20,971.9,,00:30,973.2,,00:40,971.9,,00:50,973.2,,01:00,973.2,,01:10,974.6,,01:20,974.6,,01:30,973.2,,01:40,974.6,,01:50,973.2,,02:00,971.9,,02:10,973.2,,02:20,973.2,,02:30,971.9,,02:40,975.9,,02:50,971.9,,03:00,973.2,,03:10,973.2,,03:20,975.9,,03:30,978.6,,03:40,973.2,,03:50,974.6,,04:00,974.6,,04:10,975.9,,04:20,973.2,,04:30,974.6,,04:40,974.6,,04:50,975.9,,05:00,974.6,,05:10,974.6,,05:20,974.6,,05:30,977.3,,05:40,975.9,,05:50,977.3,,06:00,975.9,,06:10,973.2,,06:20,973.2,,06:30,974.6,,06:40,973.2,,06:50,975.9,,07:00,975.9,,07:10,978.6,,07:20,973.2,,07:30,975.9,,07:40,971.9,,07:50,974.6,,08:00,973.2,,08:10,974.6,,08:20,973.2,,08:30,974.6,,08:40,973.2,,08:50,973.2,,09:00,973.2,,09:10,970.6,,09:20,971.9,,09:30,971.9,,09:40,971.9,,09:50,971.9,,10:00,971.9,,10:10,971.9,,10:20,971.9,,10:30,970.6,,10:40,973.2,,10:50,971.9,,11:30,970.6,,11:40,970.6,,11:50,971.9,,12:00,970.6,,12:10,971.9,,12:20,971.9,,12:30,973.2,,12:40,970.6,,12:50,969.2,,13:00,969.2,,13:10,971.9,,13:20,973.2,,13:30,971.9,,13:40,970.6,,13:50,970.6,,14:00,969.2,,14:10,969.2,,14:20,970.6,,14:30,973.2,,14:40,973.2,,14:50,973.2,,15:00,971.9,,15:10,974.6,,15:20,970.6,,15:30,973.2,,15:40,973.2,,15:50,975.9,,16:00,975.9,,16:10,973.2,,16:20,974.6,,16:30,971.9,,16:40,974.6,,16:50,974.6,,17:00,973.2,
nuclear,核三#1,951.0,00:00,941.5,,00:10,942.6,,00:20,943.8,,00:30,942.6,,00:40,944.9,,00:50,941.5,,01:00,942.6,,01:10,944.9,,01:20,940.4,,01:30,944.9,,01:40,943.8,,01:50,943.8,,02:00,942.6,,02:10,944.9,,02:20,947.2,,02:30,946.1,,02:40,944.9,,02:50,946.1,,03:00,944.9,,03:10,942.6,,03:20,943.8,,03:30,944.9,,03:40,943.8,,03:50,943.8,,04:00,942.6,,04:10,944.9,,04:20,944.9,,04:30,943.8,,04:40,942.6,,04:50,944.9,,05:00,943.8,,05:10,943.8,,05:20,944.9,,05:30,943.8,,05:40,944.9,,05:50,943.8,,06:00,944.9,,06:10,942.6,,06:20,943.8,,06:30,944.9,,06:40,943.8,,06:50,943.8,,07:00,944.9,,07:10,944.9,,07:20,942.6,,07:30,942.6,,07:40,944.9,,07:50,943.8,,08:00,943.8,,08:10,943.8,,08:20,943.8,,08:30,942.6,,08:40,941.5,,08:50,943.8,,09:00,942.6,,09:10,941.5,,09:20,942.6,,09:30,942.6,,09:40,942.6,,09:50,942.6,,10:00,942.6,,10:10,946.1,,10:20,942.6,,10:30,943.8,,10:40,943.8,,10:50,942.6,,11:30,939.2,,11:40,940.4,,11:50,943.8,,12:00,941.5,,12:10,941.5,,12:20,941.5,,12:30,941.5,,12:40,940.4,,12:50,940.4,,13:00,939.2,,13:10,940.4,,13:20,941.5,,13:30,940.4,,13:40,940.4,,13:50,939.2,,14:00,939.2,,14:10,939.2,,14:20,940.4,,14:30,941.5,,14:40,940.4,,14:50,940.4,,15:00,940.4,,15:10,940.4,,15:20,937.0,,15:30,939.2,,15:40,941.5,,15:50,940.4,,16:00,940.4,,16:10,940.4,,16:20,942.6,,16:30,941.5,,16:40,941.5,,16:50,942.6,,17:00,944.9,
nuclear,核三#2,951.0,00:00,940.4,,00:10,940.4,,00:20,939.2,,00:30,941.5,,00:40,939.2,,00:50,941.5,,01:00,940.4,,01:10,940.4,,01:20,938.1,,01:30,942.6,,01:40,940.4,,01:50,941.5,,02:00,940.4,,02:10,941.5,,02:20,941.5,,02:30,943.8,,02:40,942.6,,02:50,942.6,,03:00,942.6,,03:10,942.6,,03:20,942.6,,03:30,943.8,,03:40,942.6,,03:50,942.6,,04:00,941.5,,04:10,942.6,,04:20,943.8,,04:30,942.6,,04:40,942.6,,04:50,942.6,,05:00,942.6,,05:10,941.5,,05:20,943.8,,05:30,940.4,,05:40,941.5,,05:50,941.5,,06:00,941.5,,06:10,940.4,,06:20,939.2,,06:30,941.5,,06:40,940.4,,06:50,941.5,,07:00,941.5,,07:10,942.6,,07:20,939.2,,07:30,940.4,,07:40,941.5,,07:50,940.4,,08:00,940.4,,08:10,939.2,,08:20,940.4,,08:30,940.4,,08:40,940.4,,08:50,940.4,,09:00,940.4,,09:10,940.4,,09:20,941.5,,09:30,941.5,,09:40,941.5,,09:50,942.6,,10:00,941.5,,10:10,942.6,,10:20,940.4,,10:30,941.5,,10:40,942.6,,10:50,940.4,,11:30,938.1,,11:40,938.1,,11:50,940.4,,12:00,939.2,,12:10,940.4,,12:20,939.2,,12:30,940.4,,12:40,938.1,,12:50,937.0,,13:00,937.0,,13:10,938.1,,13:20,938.1,,13:30,938.1,,13:40,937.0,,13:50,937.0,,14:00,937.0,,14:10,938.1,,14:20,939.2,,14:30,938.1,,14:40,938.1,,14:50,938.1,,15:00,937.0,,15:10,937.0,,15:20,934.7,,15:30,935.8,,15:40,937.0,,15:50,938.1,,16:00,937.0,,16:10,938.1,,16:20,939.2,,16:30,938.1,,16:40,938.1,,16:50,941.5,,17:00,941.5,
nuclear,小計,3872.0(7.793%),00:00,3697.0(12.457%),,00:10,3700.8(12.554%),,00:20,3704.8(12.665%),,00:30,3705.9(12.665%),,00:40,3707.3(12.867%),,00:50,3704.8(12.897%),,01:00,3707.5(12.952%),,01:10,3709.8(13.053%),,01:20,3705.7(13.229%),,01:30,3710.6(13.214%),,01:40,3711.4(13.326%),,01:50,3707.1(13.314%),,02:00,3703.5(13.468%),,02:10,3710.9(13.520%),,02:20,3709.1(13.566%),,02:30,3711.7(13.661%),,02:40,3716.0(13.860%),,02:50,3709.2(13.805%),,03:00,3709.3(13.758%),,03:10,3708.3(13.905%),,03:20,3717.6(13.992%),,03:30,3722.6(14.093%),,03:40,3710.9(14.052%),,03:50,3714.9(14.177%),,04:00,3711.3(14.109%),,04:10,3716.0(14.127%),,04:20,3713.2(14.190%),,04:30,3714.9(14.264%),,04:40,3711.1(14.251%),,04:50,3714.7(14.299%),,05:00,3710.9(14.345%),,05:10,3708.5(14.341%),,05:20,3714.6(14.444%),,05:30,3714.1(14.506%),,05:40,3713.6(14.468%),,05:50,3713.9(14.612%),,06:00,3713.6(14.472%),,06:10,3707.5(14.301%),,06:20,3707.5(14.274%),,06:30,3710.9(14.215%),,06:40,3708.7(14.089%),,06:50,3713.8(14.258%),,07:00,3713.6(14.013%),,07:10,3718.7(13.890%),,07:20,3707.6(13.749%),,07:30,3710.2(13.673%),,07:40,3708.2(13.469%),,07:50,3710.1(13.204%),,08:00,3707.3(12.744%),,08:10,3708.9(12.090%),,08:20,3706.0(11.903%),,08:30,3706.2(11.657%),,08:40,3703.7(11.494%),,08:50,3704.6(11.420%),,09:00,3706.1(11.302%),,09:10,3701.1(11.169%),,09:20,3704.6(11.090%),,09:30,3705.9(11.052%),,09:40,3704.6(11.006%),,09:50,3705.7(10.981%),,10:00,3704.6(10.916%),,10:10,3709.2(10.908%),,10:20,3703.5(10.747%),,10:30,3703.1(10.654%),,10:40,3708.2(10.604%),,10:50,3700.8(10.555%),,11:30,3693.8(10.311%),,11:40,3695.0(10.308%),,11:50,3703.3(10.319%),,12:00,3698.5(10.424%),,12:10,3701.0(10.641%),,12:20,3699.8(10.622%),,12:30,3702.3(10.630%),,12:40,3696.3(10.585%),,12:50,3693.8(10.495%),,13:00,3691.3(10.394%),,13:10,3699.0(10.182%),,13:20,3701.4(10.096%),,13:30,3699.0(10.072%),,13:40,3693.9(9.951%),,13:50,3692.7(9.933%),,14:00,3694.0(9.953%),,14:10,3695.1(9.980%),,14:20,3698.8(9.990%),,14:30,3704.1(10.046%),,14:40,3700.3(10.019%),,14:50,3700.3(10.010%),,15:00,3699.2(10.079%),,15:10,3703.3(10.118%),,15:20,3689.5(10.088%),,15:30,3699.5(10.111%),,15:40,3701.6(10.090%),,15:50,3705.7(10.128%),,16:00,3705.9(10.160%),,16:10,3700.3(10.190%),,16:20,3707.7(10.234%),,16:30,3702.8(10.274%),,16:40,3706.8(10.330%),,16:50,3708.6(10.361%),,17:00,3710.9(10.581%),
coal,林口#1,800.0,00:00,759.3,,00:10,753.3,,00:20,756.2,,00:30,752.9,,00:40,753.9,,00:50,760.3,,01:00,751.1,,01:10,751.7,,01:20,751.5,,01:30,755.1,,01:40,757.1,,01:50,761.6,,02:00,757.1,,02:10,758.4,,02:20,753.7,,02:30,759.5,,02:40,758.3,,02:50,759.9,,03:00,754.5,,03:10,758.8,,03:20,753.1,,03:30,750.3,,03:40,757.1,,03:50,757.2,,04:00,755.6,,04:10,754.3,,04:20,757.8,,04:30,757.2,,04:40,758.3,,04:50,758.1,,05:00,760.6,,05:10,757.1,,05:20,756.1,,05:30,755.2,,05:40,754.4,,05:50,747.0,,06:00,755.0,,06:10,756.8,,06:20,762.5,,06:30,763.0,,06:40,758.3,,06:50,750.8,,07:00,758.4,,07:10,749.8,,07:20,757.2,,07:30,755.9,,07:40,756.7,,07:50,760.3,,08:00,763.2,,08:10,755.4,,08:20,758.8,,08:30,758.5,,08:40,758.9,,08:50,759.0,,09:00,755.1,,09:10,750.7,,09:20,747.6,,09:30,754.0,,09:40,752.4,,09:50,754.7,,10:00,752.7,,10:10,751.9,,10:20,758.2,,10:30,756.4,,10:40,755.7,,10:50,754.8,,11:30,755.6,,11:40,758.5,,11:50,757.9,,12:00,759.7,,12:10,752.5,,12:20,756.5,,12:30,755.4,,12:40,758.3,,12:50,754.1,,13:00,752.9,,13:10,749.8,,13:20,754.8,,13:30,749.7,,13:40,759.2,,13:50,756.4,,14:00,757.1,,14:10,756.3,,14:20,757.8,,14:30,749.3,,14:40,751.6,,14:50,758.5,,15:00,759.8,,15:10,750.6,,15:20,759.7,,15:30,759.4,,15:40,756.3,,15:50,757.5,,16:00,750.8,,16:10,754.3,,16:20,752.5,,16:30,758.9,,16:40,753.8,,16:50,752.3,,17:00,750.5,
coal,林口#2,800.0,00:00,759.3,,00:10,756.8,,00:20,759.7,,00:30,759.6,,00:40,756.7,,00:50,760.9,,01:00,753.1,,01:10,754.6,,01:20,754.2,,01:30,758.4,,01:40,759.0,,01:50,760.8,,02:00,758.5,,02:10,758.9,,02:20,757.3,,02:30,760.5,,02:40,761.1,,02:50,762.2,,03:00,758.8,,03:10,759.8,,03:20,751.2,,03:30,749.2,,03:40,754.4,,03:50,754.8,,04:00,758.9,,04:10,758.7,,04:20,761.7,,04:30,760.7,,04:40,761.5,,04:50,761.6,,05:00,762.7,,05:10,762.2,,05:20,758.8,,05:30,758.7,,05:40,761.0,,05:50,753.6,,06:00,758.1,,06:10,758.7,,06:20,764.8,,06:30,764.5,,06:40,762.6,,06:50,758.9,,07:00,763.9,,07:10,755.4,,07:20,759.1,,07:30,758.3,,07:40,759.6,,07:50,761.8,,08:00,763.5,,08:10,760.6,,08:20,760.7,,08:30,760.4,,08:40,761.9,,08:50,763.6,,09:00,759.3,,09:10,758.6,,09:20,752.9,,09:30,759.7,,09:40,758.0,,09:50,759.1,,10:00,758.8,,10:10,759.1,,10:20,763.8,,10:30,759.8,,10:40,760.0,,10:50,758.4,,11:30,758.7,,11:40,761.3,,11:50,759.7,,12:00,761.4,,12:10,757.1,,12:20,757.4,,12:30,757.3,,12:40,759.4,,12:50,761.1,,13:00,759.9,,13:10,753.5,,13:20,757.4,,13:30,754.7,,13:40,762.8,,13:50,758.7,,14:00,759.1,,14:10,760.9,,14:20,759.7,,14:30,751.5,,14:40,756.0,,14:50,759.1,,15:00,761.7,,15:10,753.0,,15:20,762.2,,15:30,761.9,,15:40,759.4,,15:50,760.0,,16:00,756.1,,16:10,758.7,,16:20,756.2,,16:30,758.2,,16:40,755.9,,16:50,755.2,,17:00,753.2,
coal,林口#3,800.0,00:00,761.8,,00:10,757.0,,00:20,760.8,,00:30,760.4,,00:40,760.3,,00:50,762.8,,01:00,752.3,,01:10,755.2,,01:20,754.6,,01:30,758.1,,01:40,760.2,,01:50,765.7,,02:00,761.4,,02:10,761.3,,02:20,760.1,,02:30,763.0,,02:40,762.1,,02:50,764.5,,03:00,759.8,,03:10,761.7,,03:20,752.2,,03:30,754.2,,03:40,758.5,,03:50,757.8,,04:00,759.5,,04:10,755.2,,04:20,759.2,,04:30,760.4,,04:40,762.8,,04:50,761.9,,05:00,764.4,,05:10,761.2,,05:20,761.6,,05:30,759.1,,05:40,761.6,,05:50,753.8,,06:00,754.4,,06:10,759.4,,06:20,765.9,,06:30,765.7,,06:40,762.9,,06:50,755.9,,07:00,765.8,,07:10,754.0,,07:20,759.9,,07:30,758.2,,07:40,761.1,,07:50,763.7,,08:00,764.3,,08:10,761.4,,08:20,760.1,,08:30,760.7,,08:40,763.1,,08:50,763.6,,09:00,759.8,,09:10,760.4,,09:20,752.6,,09:30,759.3,,09:40,759.6,,09:50,760.4,,10:00,759.3,,10:10,759.7,,10:20,766.0,,10:30,760.8,,10:40,760.0,,10:50,759.7,,11:30,759.3,,11:40,762.8,,11:50,760.8,,12:00,763.9,,12:10,759.7,,12:20,760.0,,12:30,759.9,,12:40,762.0,,12:50,762.3,,13:00,761.3,,13:10,755.0,,13:20,760.1,,13:30,755.5,,13:40,764.3,,13:50,760.5,,14:00,759.8,,14:10,762.3,,14:20,760.1,,14:30,755.2,,14:40,757.5,,14:50,762.1,,15:00,763.6,,15:10,753.1,,15:20,764.7,,15:30,762.9,,15:40,760.2,,15:50,761.0,,16:00,755.2,,16:10,760.0,,16:20,756.7,,16:30,759.4,,16:40,760.0,,16:50,757.9,,17:00,754.7,
coal,台中#1,550.0,00:00,515.7,運轉限制,00:10,510.0,運轉限制,00:20,513.1,運轉限制,00:30,508.2,運轉限制,00:40,515.5,運轉限制,00:50,516.3,運轉限制,01:00,513.0,運轉限制,01:10,514.7,運轉限制,01:20,493.8,運轉限制,01:30,478.1,運轉限制,01:40,452.0,運轉限制,01:50,455.1,運轉限制,02:00,429.8,運轉限制,02:10,425.2,運轉限制,02:20,430.1,運轉限制,02:30,427.1,運轉限制,02:40,431.8,運轉限制,02:50,435.1,運轉限制,03:00,428.8,運轉限制,03:10,428.0,運轉限制,03:20,425.5,運轉限制,03:30,427.9,運轉限制,03:40,424.9,運轉限制,03:50,410.6,運轉限制,04:00,379.8,運轉限制,04:10,378.5,運轉限制,04:20,378.1,運轉限制,04:30,375.0,運轉限制,04:40,379.0,運轉限制,04:50,384.4,運轉限制,05:00,382.9,運轉限制,05:10,385.3,運轉限制,05:20,380.6,運轉限制,05:30,377.5,運轉限制,05:40,380.4,運轉限制,05:50,385.1,運轉限制,06:00,382.2,運轉限制,06:10,381.3,運轉限制,06:20,383.0,運轉限制,06:30,386.0,運轉限制,06:40,381.9,運轉限制,06:50,393.7,運轉限制,07:00,367.6,運轉限制,07:10,341.3,運轉限制,07:20,330.1,運轉限制,07:30,339.9,運轉限制,07:40,360.1,運轉限制,07:50,374.3,運轉限制,08:00,368.2,運轉限制,08:10,365.7,運轉限制,08:20,363.3,運轉限制,08:30,364.4,運轉限制,08:40,377.2,運轉限制,08:50,403.8,運轉限制,09:00,415.8,運轉限制,09:10,426.5,運轉限制,09:20,422.8,運轉限制,09:30,420.9,運轉限制,09:40,431.7,運轉限制,09:50,427.8,運轉限制,10:00,432.8,運轉限制,10:10,428.5,運轉限制,10:20,428.1,運轉限制,10:30,433.0,運轉限制,10:40,454.5,運轉限制,10:50,469.1,運轉限制,11:30,503.3,,11:40,508.7,,11:50,507.8,,12:00,516.4,,12:10,499.6,,12:20,508.2,,12:30,516.8,,12:40,511.4,,12:50,515.5,,13:00,513.9,,13:10,509.8,,13:20,511.9,,13:30,503.0,,13:40,508.9,運轉限制,13:50,508.0,運轉限制,14:00,504.1,運轉限制,14:10,501.1,運轉限制,14:20,499.2,運轉限制,14:30,503.5,運轉限制,14:40,501.4,運轉限制,14:50,505.3,運轉限制,15:00,508.5,運轉限制,15:10,502.5,運轉限制,15:20,505.2,運轉限制,15:30,511.5,運轉限制,15:40,509.6,運轉限制,15:50,507.2,運轉限制,16:00,505.8,運轉限制,16:10,500.3,運轉限制,16:20,506.7,運轉限制,16:30,521.4,運轉限制,16:40,517.5,運轉限制,16:50,515.0,運轉限制,17:00,522.6,運轉限制
coal,台中#2,550.0,00:00,523.9,,00:10,523.8,,00:20,519.8,,00:30,520.0,,00:40,522.9,,00:50,528.6,,01:00,519.0,,01:10,522.3,,01:20,513.9,,01:30,495.6,,01:40,472.4,,01:50,444.7,,02:00,416.9,,02:10,432.2,,02:20,416.4,,02:30,426.7,,02:40,436.8,,02:50,417.4,,03:00,426.0,,03:10,428.5,,03:20,418.8,,03:30,424.2,,03:40,420.7,,03:50,405.6,,04:00,381.1,,04:10,382.4,,04:20,377.9,,04:30,369.2,,04:40,374.8,,04:50,377.9,,05:00,377.2,,05:10,388.2,,05:20,374.0,,05:30,385.7,,05:40,377.2,,05:50,377.8,,06:00,377.9,,06:10,373.3,,06:20,387.3,,06:30,373.8,,06:40,379.2,,06:50,385.2,,07:00,358.5,,07:10,347.7,,07:20,351.7,,07:30,369.3,,07:40,380.8,,07:50,381.7,,08:00,381.2,,08:10,377.0,,08:20,376.7,,08:30,375.4,,08:40,407.6,,08:50,436.1,,09:00,432.9,,09:10,440.0,,09:20,436.2,,09:30,427.7,,09:40,445.4,,09:50,431.5,,10:00,436.3,,10:10,429.9,,10:20,435.4,,10:30,454.5,,10:40,487.7,,10:50,479.1,,11:30,523.0,,11:40,522.9,,11:50,528.6,,12:00,521.5,,12:10,523.4,,12:20,519.3,,12:30,521.5,,12:40,517.3,,12:50,527.8,,13:00,516.0,,13:10,514.3,,13:20,522.8,,13:30,517.1,,13:40,522.7,,13:50,528.6,,14:00,520.2,,14:10,524.1,,14:20,525.1,,14:30,526.8,,14:40,522.9,,14:50,526.0,,15:00,520.6,,15:10,520.2,,15:20,523.8,,15:30,522.2,,15:40,514.3,,15:50,523.0,,16:00,515.0,,16:10,522.1,,16:20,527.6,,16:30,523.1,,16:40,524.4,,16:50,526.2,,17:00,521.5,
