type,name,capacity,generation-00:00,note-00:00,generation-14:30,note-14:30
nuclear,核二#1,985.0,841.9,燃料限制,840.5,燃料限制
nuclear,核二#2,985.0,973.2,,977.3,
nuclear,核三#1,951.0,952.9,,954.0,
nuclear,核三#2,951.0,944.9,,946.1,
nuclear,小計,3872.0(7.793%),3712.9(14.615%),,3717.9(11.247%),
coal,林口#1,800.0,757.7,,756.7,
coal,林口#2,800.0,761.3,,760.4,
coal,林口#3,800.0,761.0,,761.2,
coal,台中#1,550.0,335.7,燃料限制,376.5,環保限制
coal,台中#2,550.0,326.7,環保限制,376.5,環保限制
coal,台中#3,550.0,338.7,環保限制,388.6,環保限制
coal,台中#4,550.0,322.4,環保限制,374.0,環保限制
coal,台中#5,550.0,339.4,環保限制,390.3,環保限制
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,328.2,環保限制,375.3,環保限制
coal,台中#8,550.0,344.7,環保限制,388.0,環保限制
coal,台中#9,550.0,336.6,環保限制,422.9,環保限制
coal,台中#10,550.0,331.9,環保限制,379.7,環保限制
coal,興達#1(註12),500.0,480.9,,481.5,
coal,興達#2(註12),500.0,475.2,運轉限制,472.7,
coal,興達#3(註12),550.0,519.1,,522.1,
coal,興達#4(註12),550.0,524.8,,518.6,
coal,大林#1,800.0,758.6,,761.0,
coal,大林#2,800.0,668.3,運轉限制,679.0,運轉限制
coal,小計,11600.0(23.347%),8711.2(34.291%),,9185.0(27.786%),
cogen,汽電共生,618.0,1341.1,,1405.8,
cogen,小計,618.0(1.244%),1341.1(5.279%),,1405.8(4.253%),
ippcoal,和平#1,648.6,560.3,,605.1,
ippcoal,和平#2,648.6,561.5,,605.0,
ippcoal,麥寮#1,600.0,483.2,,568.8,
ippcoal,麥寮#2,600.0,476.9,,566.8,
ippcoal,麥寮#3,600.0,533.4,,575.7,
ippcoal,小計,3097.1(6.234%),2615.3(10.295%),,2921.4(8.838%),
lng,大潭CC#1,742.7,527.1,,635.5,
lng,大潭CC#2,742.7,513.2,,609.7,
lng,大潭CC#3,724.7,554.8,,592.2,
lng,大潭CC#4,724.7,670.4,,667.6,
lng,大潭CC#5,724.7,634.8,,648.4,
lng,大潭CC#6,724.7,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,0.0,,0.0,
lng,通霄CC#1,892.6,756.9,,897.7,
lng,通霄CC#2,892.6,683.4,,833.8,
lng,通霄CC#3,892.6,704.2,,791.6,
lng,通霄CC#4,386.0,0.0,檢修,0.0,檢修
lng,通霄CC#5,386.0,285.3,,318.6,
lng,通霄CC#6,321.2,240.0,,345.0,
