type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30
nuclear,核二#1,985.0,841.9,燃料限制,839.2,燃料限制,839.2,燃料限制,839.2,燃料限制,839.2,燃料限制,839.2,燃料限制,839.2,燃料限制,837.9,燃料限制,840.5,燃料限制,840.5,燃料限制,839.2,燃料限制,840.5,燃料限制,839.2,燃料限制,836.5,燃料限制,837.9,燃料限制,835.2,燃料限制,837.9,燃料限制,839.2,燃料限制,839.2,燃料限制,837.9,燃料限制,835.2,燃料限制,839.2,燃料限制,839.2,燃料限制,837.9,燃料限制,835.2,燃料限制,839.2,燃料限制,840.5,燃料限制,837.9,燃料限制,839.2,燃料限制,836.5,燃料限制,840.5,燃料限制,835.2,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,837.9,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,835.2,燃料限制,833.8,燃料限制,837.9,燃料限制,835.2,燃料限制,837.9,燃料限制,835.2,燃料限制,837.9,燃料限制,833.8,燃料限制,836.5,燃料限制,836.5,燃料限制,835.2,燃料限制,836.5,燃料限制,833.8,燃料限制,836.5,燃料限制,835.2,燃料限制,836.5,燃料限制,836.5,燃料限制,835.2,燃料限制,836.5,燃料限制,833.8,燃料限制,840.5,燃料限制,836.5,燃料限制,837.9,燃料限制,835.2,燃料限制,836.5,燃料限制,836.5,燃料限制,835.2,燃料限制,837.9,燃料限制,833.8,燃料限制,835.2,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,836.5,燃料限制,833.8,燃料限制
nuclear,核二#2,985.0,800.3,運轉限制,799.0,運轉限制,828.5,運轉限制,831.1,運轉限制,831.1,運轉限制,862.0,運轉限制,867.3,運轉限制,868.7,運轉限制,872.7,運轉限制,872.7,運轉限制,872.7,運轉限制,872.7,運轉限制,870.0,運轉限制,867.3,運轉限制,866.0,運轉限制,864.7,運轉限制,868.7,運轉限制,868.7,運轉限制,868.7,運轉限制,868.7,運轉限制,867.3,運轉限制,868.7,運轉限制,868.7,運轉限制,867.3,運轉限制,863.3,運轉限制,867.3,運轉限制,866.0,運轉限制,863.3,運轉限制,866.0,運轉限制,864.7,運轉限制,868.7,運轉限制,866.0,運轉限制,867.3,運轉限制,867.3,運轉限制,867.3,運轉限制,870.0,運轉限制,868.7,運轉限制,867.3,運轉限制,867.3,運轉限制,888.8,運轉限制,923.6,運轉限制,925.0,運轉限制,926.3,運轉限制,931.7,運轉限制,929.0,運轉限制,931.7,運轉限制,930.3,運轉限制,933.0,運轉限制,931.7,運轉限制,934.4,運轉限制,937.0,運轉限制,935.7,運轉限制,934.4,運轉限制,937.0,運轉限制,937.0,運轉限制,935.7,運轉限制,937.0,運轉限制,938.4,運轉限制,939.7,運轉限制,938.4,運轉限制,939.7,運轉限制,941.1,運轉限制,941.1,運轉限制,942.4,運轉限制,939.7,運轉限制,942.4,運轉限制,942.4,運轉限制,942.4,運轉限制,942.4,運轉限制,942.4,運轉限制,941.1,運轉限制,942.4,運轉限制,942.4,運轉限制,942.4,運轉限制,942.4,運轉限制,941.1,運轉限制
nuclear,核三#1,951.0,949.5,,950.6,,951.8,,952.9,,951.8,,954.0,,950.6,,951.8,,950.6,,951.8,,951.8,,948.3,,950.6,,947.2,,949.5,,949.5,,951.8,,950.6,,951.8,,949.5,,950.6,,948.3,,947.2,,948.3,,948.3,,948.3,,948.3,,948.3,,947.2,,947.2,,948.3,,947.2,,946.1,,948.3,,946.1,,947.2,,949.5,,948.3,,948.3,,948.3,,947.2,,948.3,,947.2,,948.3,,946.1,,947.2,,947.2,,947.2,,944.9,,946.1,,947.2,,948.3,,947.2,,944.9,,946.1,,947.2,,946.1,,947.2,,943.8,,946.1,,943.8,,944.9,,942.6,,946.1,,947.2,,943.8,,944.9,,944.9,,942.6,,944.9,,943.8,,946.1,,944.9,,944.9,,943.8,,943.8,
nuclear,核三#2,951.0,942.6,,941.5,,943.8,,944.9,,944.9,,944.9,,942.6,,944.9,,944.9,,943.8,,946.1,,942.6,,942.6,,942.6,,942.6,,942.6,,941.5,,942.6,,944.9,,942.6,,943.8,,942.6,,941.5,,942.6,,942.6,,942.6,,941.5,,942.6,,940.4,,940.4,,941.5,,940.4,,939.2,,941.5,,939.2,,942.6,,941.5,,941.5,,940.4,,940.4,,941.5,,938.1,,940.4,,941.5,,939.2,,939.2,,939.2,,939.2,,937.0,,939.2,,940.4,,941.5,,941.5,,938.1,,939.2,,939.2,,938.1,,938.1,,939.2,,938.1,,937.0,,938.1,,938.1,,939.2,,940.4,,938.1,,939.2,,938.1,,937.0,,938.1,,937.0,,939.2,,938.1,,938.1,,937.0,,937.0,
nuclear,小計,3872.0(7.793%),3534.3(12.736%),,3530.3(12.827%),,3563.3(13.070%),,3568.1(13.262%),,3567.0(13.205%),,3600.1(13.353%),,3599.7(13.463%),,3603.3(13.594%),,3608.7(13.674%),,3608.8(13.779%),,3609.8(14.009%),,3604.1(13.920%),,3602.4(13.984%),,3593.6(13.985%),,3596.0(14.067%),,3592.0(14.066%),,3599.9(14.204%),,3601.1(14.212%),,3604.6(14.305%),,3598.7(14.350%),,3596.9(14.267%),,3598.8(14.466%),,3596.6(14.364%),,3596.1(14.440%),,3589.4(14.404%),,3597.4(14.394%),,3596.3(14.525%),,3592.1(14.633%),,3592.8(14.558%),,3588.8(14.569%),,3599.0(14.716%),,3588.8(14.586%),,3589.1(14.640%),,3593.6(14.703%),,3589.1(14.642%),,3597.7(14.717%),,3596.2(14.705%),,3593.6(14.438%),,3592.5(14.472%),,3614.0(14.606%),,3648.8(14.451%),,3646.6(14.493%),,3647.7(14.190%),,3659.4(14.049%),,3649.5(13.890%),,3656.0(13.867%),,3651.9(13.625%),,3657.3(13.306%),,3647.4(12.657%),,3656.2(12.119%),,3661.1(11.922%),,3660.7(11.736%),,3659.6(11.564%),,3653.8(11.404%),,3658.8(11.264%),,3657.3(11.128%),,3657.7(11.094%),,3660.2(11.007%),,3657.9(11.007%),,3659.1(10.925%),,3654.3(10.931%),,3664.6(10.905%),,3658.3(10.820%),,3665.6(10.782%),,3662.5(10.728%),,3660.8(10.644%),,3663.0(10.635%),,3660.6(10.550%),,3659.9(10.478%),,3659.2(10.455%),,3657.1(10.453%),,3664.2(10.479%),,3661.9(10.631%),,3661.9(10.830%),,3659.7(10.848%),,3655.7(10.815%),
coal,林口#1,800.0,747.7,,751.6,,754.5,,749.4,,751.1,,753.7,,755.7,,758.3,,755.2,,751.9,,751.0,,755.9,,755.5,,756.0,,762.4,,757.0,,753.0,,749.4,,758.1,,755.4,,756.7,,750.7,,753.3,,757.4,,756.8,,757.9,,758.2,,753.5,,755.0,,758.6,,756.4,,757.4,,762.7,,753.1,,761.0,,754.4,,750.0,,757.0,,755.4,,758.1,,754.2,,757.7,,759.4,,751.7,,758.7,,752.2,,760.6,,752.3,,756.0,,751.8,,751.4,,758.0,,754.2,,758.2,,758.5,,756.5,,757.3,,755.3,,755.8,,757.8,,759.9,,755.9,,756.6,,753.1,,760.2,,754.7,,753.6,,752.4,,754.0,,757.3,,753.0,,750.2,,748.2,,750.3,,753.5,,756.1,
coal,林口#2,800.0,750.1,,754.7,,757.2,,752.6,,753.4,,753.3,,757.7,,759.4,,757.5,,754.3,,755.1,,758.9,,758.2,,759.5,,762.1,,759.6,,753.5,,752.0,,760.0,,759.6,,763.2,,754.7,,754.4,,760.2,,760.4,,760.2,,760.5,,756.9,,759.8,,757.7,,757.2,,761.5,,762.2,,754.7,,762.3,,758.7,,753.0,,759.5,,756.5,,759.6,,757.5,,760.7,,761.7,,754.4,,759.0,,753.7,,759.4,,757.6,,762.6,,760.0,,758.3,,762.7,,759.6,,761.2,,762.1,,760.3,,759.2,,757.7,,758.1,,759.0,,762.3,,761.7,,763.5,,760.7,,764.0,,763.5,,762.8,,760.7,,760.4,,763.1,,759.5,,757.3,,750.7,,758.1,,760.0,,761.4,
coal,林口#3,800.0,753.0,,759.6,,760.1,,753.3,,753.3,,755.6,,761.1,,762.0,,759.6,,754.5,,754.9,,758.1,,760.7,,759.0,,764.8,,761.9,,757.1,,753.4,,760.3,,759.6,,764.9,,753.1,,755.2,,761.3,,761.3,,761.0,,763.0,,755.0,,761.4,,760.6,,760.5,,764.0,,764.6,,759.6,,763.7,,759.8,,753.3,,760.4,,758.6,,760.9,,758.3,,762.7,,763.3,,754.4,,760.3,,756.7,,762.7,,761.6,,763.7,,760.9,,758.8,,765.3,,760.6,,761.9,,763.5,,762.6,,760.7,,760.4,,759.9,,760.3,,764.5,,760.7,,761.3,,758.7,,763.7,,762.5,,760.4,,762.4,,760.9,,764.5,,758.9,,759.0,,753.3,,759.6,,761.5,,763.1,
coal,台中#1,550.0,426.0,,428.4,,433.7,,426.6,,426.7,,424.4,,421.3,,435.3,,432.8,,423.3,,432.8,,424.1,,432.8,,428.1,,431.2,,425.8,,433.5,,417.8,,399.0,,371.9,,373.0,,381.5,,370.3,,349.8,,332.7,,330.9,,337.0,,334.9,,338.8,,340.5,,336.5,,338.2,,336.6,,327.0,,334.9,,332.6,,329.5,,330.6,,329.2,,332.2,,330.5,,333.0,,333.3,,344.8,,351.9,,373.7,,376.2,,366.9,,362.8,,337.7,,333.9,,337.8,,329.8,,347.2,,375.5,,387.4,,380.8,,384.1,,402.7,,428.4,,422.8,,396.5,,367.9,,372.1,,365.7,,348.6,,335.2,,331.3,,330.6,,333.9,,331.6,,328.1,,329.1,,334.7,,334.7,,333.1,
coal,台中#2,550.0,418.5,,429.1,,435.5,,423.5,,421.2,,418.1,,418.2,,432.4,,433.1,,417.3,,423.0,,416.6,,423.6,,420.3,,436.3,,421.2,,428.2,,402.8,,393.4,,378.1,,369.7,,379.4,,364.9,,347.7,,319.1,,322.7,,337.1,,333.4,,330.4,,325.1,,323.4,,326.2,,324.5,,326.2,,325.1,,326.5,,324.1,,327.7,,328.4,,325.4,,328.2,,327.9,,333.4,,323.1,,353.0,,372.9,,376.3,,364.9,,354.5,,330.5,,325.2,,327.2,,328.4,,341.3,,361.7,,379.0,,372.1,,398.4,,421.8,,424.1,,417.6,,386.3,,371.6,,369.1,,364.1,,332.6,,331.1,,322.8,,331.3,,333.8,,329.6,,322.0,,328.1,,328.4,,336.9,,325.3,
