type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20
nuclear,核二#1,985.0,829.8,燃料限制,831.1,燃料限制,829.8,燃料限制,828.5,燃料限制,827.1,燃料限制,827.1,燃料限制,829.8,燃料限制,828.5,燃料限制,827.1,燃料限制,832.5,燃料限制,831.1,燃料限制,828.5,燃料限制,833.8,燃料限制,828.5,燃料限制,835.2,燃料限制,831.1,燃料限制,831.1,燃料限制,831.1,燃料限制,831.1,燃料限制,831.1,燃料限制,829.8,燃料限制
nuclear,核二#2,985.0,959.8,運轉限制,959.8,運轉限制,959.8,運轉限制,957.1,運轉限制,955.8,運轉限制,961.2,運轉限制,959.8,運轉限制,961.2,運轉限制,958.5,運轉限制,959.8,運轉限制,959.8,運轉限制,957.1,運轉限制,959.8,運轉限制,958.5,運轉限制,961.2,運轉限制,962.5,運轉限制,963.8,運轉限制,963.8,運轉限制,961.2,運轉限制,962.5,運轉限制,962.5,運轉限制
nuclear,核三#1,951.0,940.4,,941.5,,941.5,,941.5,,942.6,,941.5,,940.4,,941.5,,942.6,,941.5,,937.0,,940.4,,940.4,,940.4,,942.6,,941.5,,943.8,,941.5,,939.2,,940.4,,942.6,
nuclear,核三#2,951.0,934.7,,934.7,,934.7,,932.4,,935.8,,934.7,,934.7,,934.7,,935.8,,935.8,,932.4,,935.8,,934.7,,933.5,,937.0,,935.8,,938.1,,935.8,,934.7,,934.7,,935.8,
nuclear,小計,3872.0(7.793%),3664.7(12.027%),,3667.1(12.158%),,3665.8(12.207%),,3659.5(12.299%),,3661.3(12.331%),,3664.5(12.505%),,3664.7(12.526%),,3665.9(12.604%),,3664.0(12.727%),,3669.6(12.859%),,3660.3(12.812%),,3661.8(12.850%),,3668.7(12.935%),,3660.9(13.047%),,3676.0(13.112%),,3670.9(13.190%),,3676.8(13.260%),,3672.2(13.390%),,3666.2(13.327%),,3668.7(13.447%),,3670.7(13.441%),
coal,林口#1,800.0,755.0,,757.2,,751.8,,757.5,,758.4,,749.9,,757.0,,756.3,,754.0,,746.4,,745.8,,750.0,,751.3,,754.9,,753.4,,754.9,,753.5,,751.4,,751.1,,754.3,,753.0,
coal,林口#2,800.0,759.2,,762.1,,755.9,,761.0,,760.7,,752.7,,759.1,,758.9,,756.4,,751.8,,752.8,,759.3,,756.9,,761.6,,757.3,,757.2,,753.7,,754.3,,756.3,,758.7,,760.5,
coal,林口#3,800.0,755.5,,759.8,,757.4,,762.1,,761.4,,752.8,,758.9,,760.1,,758.5,,751.8,,752.3,,757.3,,754.5,,759.3,,757.4,,756.9,,758.2,,754.4,,757.7,,759.8,,759.9,
coal,台中#1,550.0,496.5,運轉限制,499.7,運轉限制,496.4,運轉限制,503.5,運轉限制,508.9,運轉限制,498.8,運轉限制,500.2,運轉限制,504.2,運轉限制,498.2,運轉限制,497.1,運轉限制,494.9,運轉限制,502.1,運轉限制,496.6,運轉限制,507.4,運轉限制,508.3,運轉限制,508.0,運轉限制,512.1,運轉限制,504.4,運轉限制,504.7,運轉限制,508.7,運轉限制,517.1,運轉限制
coal,台中#2,550.0,286.3,,307.2,,295.5,,294.3,,303.6,,307.5,,305.1,,301.3,,318.4,,334.9,,358.0,,388.6,,405.4,,432.3,,463.8,,473.3,,474.9,,474.5,,472.7,,466.3,,471.7,
