type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30,generation-15:40,note-15:40,generation-15:50,note-15:50,generation-16:00,note-16:00,generation-16:10,note-16:10,generation-16:20,note-16:20,generation-16:30,note-16:30,generation-16:40,note-16:40,generation-16:50,note-16:50,generation-17:00,note-17:00,generation-17:10,note-17:10,generation-17:20,note-17:20,generation-17:30,note-17:30,generation-17:40,note-17:40,generation-17:50,note-17:50,generation-18:00,note-18:00,generation-18:10,note-18:10,generation-18:20,note-18:20,generation-18:30,note-18:30,generation-18:40,note-18:40,generation-18:50,note-18:50,generation-19:00,note-19:00,generation-19:10,note-19:10
nuclear,核二#1,985.0,824.4,燃料限制,821.8,燃料限制,823.1,燃料限制,821.8,燃料限制,824.4,燃料限制,821.8,燃料限制,821.8,燃料限制,823.1,燃料限制,823.1,燃料限制,823.1,燃料限制,823.1,燃料限制,821.8,燃料限制,824.4,燃料限制,823.1,燃料限制,823.1,燃料限制,823.1,燃料限制,821.8,燃料限制,823.1,燃料限制,823.1,燃料限制,825.8,燃料限制,824.4,燃料限制,823.1,燃料限制,821.8,燃料限制,823.1,燃料限制,824.4,燃料限制,823.1,燃料限制,823.1,燃料限制,823.1,燃料限制,824.4,燃料限制,821.8,燃料限制,824.4,燃料限制,824.4,燃料限制,823.1,燃料限制,823.1,燃料限制,824.4,燃料限制,824.4,燃料限制,825.8,燃料限制,824.4,燃料限制,825.8,燃料限制,825.8,燃料限制,827.1,燃料限制,824.4,燃料限制,825.8,燃料限制,824.4,燃料限制,827.1,燃料限制,828.5,燃料限制,828.5,燃料限制,825.8,燃料限制,825.8,燃料限制,824.4,燃料限制,824.4,燃料限制,824.4,燃料限制,824.4,燃料限制,827.1,燃料限制,824.4,燃料限制,824.4,燃料限制,827.1,燃料限制,823.1,燃料限制,824.4,燃料限制,820.4,燃料限制,824.4,燃料限制,824.4,燃料限制,821.8,燃料限制,820.4,燃料限制,819.1,燃料限制,823.1,燃料限制,820.4,燃料限制,819.1,燃料限制,819.1,燃料限制,819.1,燃料限制,821.8,燃料限制,819.1,燃料限制,820.4,燃料限制,821.8,燃料限制,819.1,燃料限制,819.1,燃料限制,817.7,燃料限制,820.4,燃料限制,817.7,燃料限制,823.1,燃料限制,817.7,燃料限制,813.7,燃料限制,817.7,燃料限制,817.7,燃料限制,817.7,燃料限制,816.4,燃料限制,815.1,燃料限制,819.1,燃料限制,819.1,燃料限制,820.4,燃料限制,817.7,燃料限制,820.4,燃料限制,819.1,燃料限制,819.1,燃料限制,819.1,燃料限制,819.1,燃料限制,821.8,燃料限制,820.4,燃料限制,819.1,燃料限制,821.8,燃料限制,821.8,燃料限制,823.1,燃料限制,821.8,燃料限制,821.8,燃料限制,825.8,燃料限制,820.4,燃料限制,819.1,燃料限制,824.4,燃料限制,823.1,燃料限制,821.8,燃料限制,824.4,燃料限制,823.1,燃料限制,824.4,燃料限制,823.1,燃料限制,825.8,燃料限制,824.4,燃料限制
nuclear,核二#2,985.0,973.2,,973.2,,973.2,,969.2,,974.6,,973.2,,973.2,,971.9,,970.6,,970.6,,973.2,,970.6,,974.6,,973.2,,973.2,,974.6,,974.6,,971.9,,974.6,,974.6,,973.2,,973.2,,971.9,,973.2,,974.6,,974.6,,975.9,,975.9,,977.3,,975.9,,975.9,,974.6,,971.9,,975.9,,975.9,,974.6,,977.3,,975.9,,977.3,,975.9,,973.2,,974.6,,974.6,,977.3,,974.6,,978.6,,977.3,,975.9,,978.6,,975.9,,975.9,,974.6,,977.3,,977.3,,975.9,,977.3,,974.6,,975.9,,975.9,,971.9,,971.9,,973.2,,973.2,,970.6,,973.2,,971.9,,970.6,,969.2,,969.2,,969.2,,971.9,,973.2,,971.9,,973.2,,970.6,,970.6,,969.2,,971.9,,969.2,,971.9,,969.2,,966.5,,969.2,,969.2,,969.2,,969.2,,966.5,,969.2,,969.2,,967.9,,970.6,,967.9,,971.9,,970.6,,970.6,,969.2,,971.9,,970.6,,973.2,,973.2,,973.2,,975.9,,974.6,,971.9,,971.9,,971.9,,971.9,,973.2,,974.6,,973.2,,975.9,,974.6,,973.2,,975.9,,974.6,,974.6,
nuclear,核三#1,951.0,944.9,,944.9,,944.9,,943.8,,943.8,,944.9,,946.1,,944.9,,942.6,,942.6,,946.1,,944.9,,944.9,,943.8,,944.9,,944.9,,942.6,,943.8,,942.6,,943.8,,941.5,,943.8,,942.6,,942.6,,943.8,,946.1,,943.8,,943.8,,943.8,,943.8,,942.6,,944.9,,942.6,,943.8,,942.6,,941.5,,943.8,,943.8,,943.8,,943.8,,944.9,,943.8,,943.8,,943.8,,941.5,,943.8,,946.1,,942.6,,946.1,,944.9,,943.8,,942.6,,943.8,,942.6,,941.5,,946.1,,943.8,,944.9,,944.9,,941.5,,942.6,,942.6,,944.9,,942.6,,941.5,,944.9,,942.6,,942.6,,941.5,,940.4,,941.5,,941.5,,941.5,,942.6,,941.5,,940.4,,941.5,,940.4,,940.4,,941.5,,940.4,,939.2,,940.4,,941.5,,941.5,,940.4,,941.5,,942.6,,942.6,,943.8,,944.9,,944.9,,944.9,,944.9,,941.5,,941.5,,942.6,,942.6,,941.5,,940.4,,943.8,,943.8,,943.8,,946.1,,944.9,,943.8,,946.1,,948.3,,948.3,,947.2,,949.5,,949.5,,949.5,,951.8,,950.6,,949.5,
nuclear,核三#2,951.0,939.2,,938.1,,939.2,,939.2,,939.2,,940.4,,940.4,,938.1,,938.1,,935.8,,940.4,,938.1,,940.4,,940.4,,938.1,,940.4,,939.2,,939.2,,938.1,,939.2,,937.0,,938.1,,938.1,,935.8,,939.2,,940.4,,938.1,,939.2,,939.2,,938.1,,938.1,,940.4,,938.1,,939.2,,937.0,,935.8,,938.1,,939.2,,939.2,,940.4,,939.2,,938.1,,940.4,,938.1,,938.1,,940.4,,941.5,,939.2,,940.4,,938.1,,938.1,,937.0,,939.2,,938.1,,935.8,,939.2,,937.0,,938.1,,938.1,,937.0,,937.0,,938.1,,938.1,,937.0,,937.0,,938.1,,937.0,,935.8,,935.8,,934.7,,935.8,,937.0,,937.0,,938.1,,935.8,,935.8,,937.0,,937.0,,937.0,,937.0,,935.8,,933.5,,934.7,,935.8,,937.0,,935.8,,937.0,,938.1,,940.4,,939.2,,939.2,,939.2,,940.4,,940.4,,937.0,,937.0,,938.1,,937.0,,938.1,,937.0,,939.2,,939.2,,939.2,,941.5,,940.4,,939.2,,940.4,,941.5,,941.5,,940.4,,943.8,,942.6,,942.6,,943.8,,944.9,,944.9,
nuclear,小計,3872.0(7.793%),3681.7(13.129%),,3678.0(13.156%),,3680.4(13.342%),,3674.0(13.410%),,3682.0(13.512%),,3680.3(13.631%),,3681.5(13.639%),,3678.0(13.784%),,3674.4(13.769%),,3672.1(13.877%),,3682.8(13.932%),,3675.4(13.950%),,3684.3(14.107%),,3680.5(14.124%),,3679.3(14.301%),,3683.0(14.269%),,3678.2(14.253%),,3678.0(14.283%),,3678.4(14.476%),,3683.4(14.531%),,3676.1(14.478%),,3678.2(14.605%),,3674.4(14.444%),,3674.7(14.685%),,3682.0(14.769%),,3684.2(14.747%),,3680.9(14.733%),,3682.0(14.745%),,3684.7(14.828%),,3679.6(14.854%),,3681.0(14.860%),,3684.3(14.923%),,3675.7(14.865%),,3682.0(14.926%),,3679.9(14.912%),,3676.3(14.955%),,3685.0(14.863%),,3683.3(14.810%),,3686.1(14.799%),,3685.9(14.682%),,3684.4(14.651%),,3680.9(14.461%),,3684.6(14.358%),,3683.6(14.218%),,3681.3(14.095%),,3691.3(14.111%),,3693.4(13.785%),,3683.5(13.372%),,3690.9(12.860%),,3683.3(12.342%),,3682.2(12.141%),,3678.6(11.780%),,3684.7(11.741%),,3685.1(11.534%),,3677.6(11.466%),,3687.0(11.413%),,3682.5(11.253%),,3682.0(11.297%),,3683.3(11.157%),,3670.8(11.110%),,3675.9(11.160%),,3678.3(11.049%),,3678.0(10.976%),,3670.6(10.916%),,3670.8(10.880%),,3678.0(10.830%),,3670.6(10.795%),,3666.7(10.654%),,3665.6(10.614%),,3663.4(10.638%),,3671.0(10.681%),,3670.8(10.686%),,3670.8(10.800%),,3675.7(11.026%),,3667.0(11.003%),,3665.9(11.129%),,3665.4(11.041%),,3669.7(11.063%),,3664.3(10.932%),,3673.5(10.618%),,3663.1(10.514%),,3652.9(10.435%),,3662.0(10.467%),,3664.2(10.485%),,3665.4(10.481%),,3661.8(10.432%),,3660.1(10.419%),,3669.0(10.467%),,3671.3(10.427%),,3671.3(10.451%),,3672.4(10.476%),,3672.4(10.526%),,3676.3(10.486%),,3675.0(10.526%),,3668.2(10.455%),,3666.8(10.449%),,3674.4(10.487%),,3670.6(10.484%),,3671.9(10.523%),,3672.4(10.574%),,3678.0(10.630%),,3682.0(10.741%),,3679.4(10.845%),,3681.3(10.998%),,3683.0(10.997%),,3675.3(10.995%),,3677.5(11.021%),,3687.4(11.012%),,3687.5(11.089%),,3682.6(11.055%),,3693.6(11.120%),,3689.8(11.070%),,3689.7(11.030%),,3694.6(11.040%),,3695.9(11.012%),,3693.4(11.110%),
coal,林口#1,800.0,753.8,,760.9,,756.1,,756.6,,758.0,,753.0,,758.9,,754.1,,755.1,,754.1,,752.5,,758.7,,751.4,,756.0,,754.6,,755.4,,757.5,,759.8,,753.5,,756.6,,757.3,,754.6,,759.3,,750.8,,753.6,,752.8,,759.6,,750.3,,754.3,,759.1,,754.8,,754.9,,758.5,,755.6,,758.6,,756.1,,758.0,,762.7,,756.4,,752.9,,753.4,,756.5,,758.0,,746.4,,753.5,,749.1,,754.0,,760.6,,747.5,,758.9,,752.7,,759.9,,753.6,,754.2,,755.0,,751.3,,755.0,,750.9,,748.6,,759.1,,752.9,,754.6,,757.7,,758.6,,751.8,,748.0,,753.5,,754.6,,749.4,,756.5,,755.1,,758.2,,757.1,,753.9,,761.3,,755.1,,757.5,,753.6,,757.5,,755.6,,754.5,,757.7,,750.3,,754.9,,756.1,,757.4,,760.4,,751.3,,753.3,,759.8,,757.5,,759.4,,753.0,,757.6,,758.4,,759.4,,753.2,,752.8,,756.1,,759.3,,754.4,,754.6,,754.6,,752.0,,752.8,,757.4,,759.5,,756.3,,753.7,,760.5,,757.7,,753.7,,754.9,,754.8,,757.4,,752.0,
coal,林口#2,800.0,755.8,,761.3,,758.7,,756.3,,758.0,,756.2,,759.4,,758.4,,760.3,,761.6,,756.0,,760.7,,755.4,,757.6,,754.6,,758.0,,758.6,,763.6,,757.6,,757.4,,758.6,,759.2,,762.4,,754.1,,756.2,,753.9,,760.8,,752.1,,756.5,,758.5,,754.9,,755.7,,754.4,,755.5,,761.0,,758.6,,760.6,,763.5,,760.0,,758.7,,754.9,,757.3,,760.7,,749.9,,753.9,,750.4,,756.9,,762.9,,752.6,,761.0,,756.2,,762.2,,757.7,,757.5,,757.7,,753.7,,757.0,,752.0,,751.2,,760.7,,755.6,,757.9,,760.5,,761.1,,753.8,,753.8,,761.9,,763.9,,759.8,,761.9,,758.8,,758.2,,759.0,,754.1,,758.1,,755.5,,758.9,,756.9,,759.6,,759.8,,759.0,,762.5,,757.3,,760.6,,758.8,,759.9,,763.5,,754.0,,756.7,,760.1,,759.2,,761.0,,754.0,,758.7,,756.3,,758.0,,751.7,,753.5,,756.5,,757.7,,757.8,,756.0,,757.2,,752.7,,758.2,,762.0,,762.9,,763.5,,758.2,,761.4,,761.0,,758.2,,758.8,,756.9,,758.4,,751.3,
coal,林口#3,800.0,756.8,,761.6,,757.6,,756.7,,759.4,,757.1,,761.4,,758.2,,760.4,,762.5,,757.0,,763.5,,754.8,,757.8,,754.1,,757.5,,760.7,,763.7,,757.1,,755.8,,758.1,,754.7,,759.6,,749.8,,753.5,,753.5,,763.5,,751.5,,757.5,,762.3,,757.1,,758.6,,762.5,,758.6,,762.5,,757.6,,760.7,,764.1,,758.2,,758.6,,754.7,,757.4,,759.3,,748.3,,753.0,,750.7,,756.8,,761.5,,752.0,,759.3,,755.0,,764.6,,755.4,,758.6,,758.6,,753.4,,759.4,,752.7,,754.0,,763.0,,757.3,,758.1,,758.9,,761.8,,755.0,,752.0,,760.7,,762.5,,760.4,,761.4,,758.7,,759.0,,759.7,,754.9,,759.5,,758.9,,759.4,,756.8,,759.8,,759.8,,758.1,,764.2,,754.7,,759.3,,757.6,,759.8,,763.7,,753.5,,758.7,,762.0,,758.2,,761.3,,754.8,,761.4,,760.2,,762.6,,756.8,,757.9,,759.8,,761.4,,758.4,,757.9,,757.5,,754.7,,757.3,,761.3,,763.7,,764.2,,759.0,,762.2,,763.1,,759.1,,759.6,,758.1,,760.0,,752.1,
coal,台中#1,550.0,429.0,,420.4,,426.0,,432.2,,425.1,,425.0,,431.3,,425.8,,428.9,,431.4,,420.4,,430.6,,424.2,,424.9,,430.4,,421.8,,436.8,,433.2,,428.1,,427.4,,428.9,,428.2,,428.1,,429.6,,437.9,,426.2,,397.6,,423.1,,419.5,,425.7,,411.6,,418.0,,411.8,,414.0,,410.2,,414.9,,404.1,,391.6,,381.1,,388.7,,386.9,,382.5,,391.0,,383.1,,391.3,,373.5,,384.4,,383.8,,378.0,,386.5,,384.2,,385.8,,385.2,,388.3,,389.1,,374.7,,385.8,,384.0,,388.1,,390.0,,383.6,,362.3,,346.3,,333.8,,327.6,,332.7,,335.2,,338.4,,335.4,,340.1,,338.4,,337.0,,336.8,,331.3,,337.1,,350.0,,371.1,,376.5,,402.0,,430.5,,432.2,,442.5,,438.9,,431.2,,426.3,,429.9,,434.6,,432.4,,424.5,,432.2,,426.7,,435.8,,442.9,,470.3,,478.0,,476.6,,474.1,,470.3,,490.0,,510.1,,518.6,,522.5,,518.1,,521.7,,521.7,,522.8,,509.5,,483.7,,467.4,,471.8,,471.7,,475.0,,479.0,,474.9,,479.7,,473.4,
coal,台中#2,550.0,411.1,,412.5,,407.7,,411.8,,416.5,,410.9,,414.0,,401.5,,409.9,,414.2,,400.9,,408.0,,404.6,,398.5,,407.9,,401.6,,408.7,,418.3,,396.8,,420.3,,426.7,,432.9,,433.8,,424.9,,425.2,,426.0,,426.9,,424.3,,422.1,,426.0,,429.0,,425.1,,429.3,,422.0,,422.9,,425.1,,387.2,,380.4,,373.1,,391.7,,384.0,,386.5,,390.5,,390.9,,381.5,,386.9,,381.6,,375.0,,375.5,,382.6,,385.5,,383.4,,380.2,,383.3,,385.6,,382.5,,386.4,,380.8,,393.3,,381.8,,387.3,,361.2,,352.4,,327.5,,322.8,,331.7,,333.6,,341.5,,325.2,,336.1,,332.8,,326.6,,327.3,,328.8,,329.7,,341.0,,366.2,,385.4,,391.6,,422.8,,422.6,,424.8,,425.4,,427.9,,420.0,,421.0,,429.7,,424.1,,415.6,,424.3,,421.5,,423.5,,451.6,,460.7,,474.7,,472.3,,475.2,,466.9,,476.2,,466.3,,497.5,,503.5,,523.6,,513.5,,514.0,,519.3,,500.5,,479.9,,474.5,,464.8,,471.7,,474.7,,491.5,,469.4,,472.5,,477.1,
