type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00
nuclear,核二#1,985.0,825.8,燃料限制,821.8,燃料限制,821.8,燃料限制,820.4,燃料限制,821.8,燃料限制,820.4,燃料限制,821.8,燃料限制,823.1,燃料限制,819.1,燃料限制,821.8,燃料限制,821.8,燃料限制,821.8,燃料限制,820.4,燃料限制,820.4,燃料限制,821.8,燃料限制,820.4,燃料限制,819.1,燃料限制,820.4,燃料限制,823.1,燃料限制,821.8,燃料限制,821.8,燃料限制,821.8,燃料限制,821.8,燃料限制,821.8,燃料限制,816.4,燃料限制,821.8,燃料限制,820.4,燃料限制,821.8,燃料限制,820.4,燃料限制,819.1,燃料限制,820.4,燃料限制,819.1,燃料限制,820.4,燃料限制,820.4,燃料限制,825.8,燃料限制,824.4,燃料限制,821.8,燃料限制
nuclear,核二#2,985.0,975.9,,973.2,,974.6,,970.6,,974.6,,971.9,,975.9,,973.2,,977.3,,974.6,,973.2,,974.6,,973.2,,974.6,,973.2,,973.2,,971.9,,971.9,,973.2,,974.6,,973.2,,975.9,,973.2,,973.2,,969.2,,974.6,,973.2,,973.2,,973.2,,973.2,,973.2,,971.9,,971.9,,973.2,,974.6,,975.9,,974.6,
nuclear,核三#1,951.0,947.2,,946.1,,947.2,,946.1,,946.1,,943.8,,947.2,,944.9,,944.9,,946.1,,944.9,,944.9,,944.9,,946.1,,944.9,,947.2,,944.9,,942.6,,943.8,,944.9,,944.9,,946.1,,943.8,,943.8,,942.6,,942.6,,942.6,,940.4,,943.8,,943.8,,942.6,,946.1,,941.5,,944.9,,944.9,,943.8,,944.9,
nuclear,核三#2,951.0,941.5,,940.4,,941.5,,939.2,,940.4,,937.0,,940.4,,939.2,,939.2,,940.4,,939.2,,940.4,,937.0,,940.4,,939.2,,939.2,,939.2,,939.2,,938.1,,939.2,,939.2,,939.2,,938.1,,939.2,,935.8,,938.1,,937.0,,937.0,,939.2,,939.2,,937.0,,940.4,,935.8,,939.2,,939.2,,938.1,,939.2,
nuclear,小計,3872.0(7.793%),3690.4(12.805%),,3681.5(13.008%),,3685.1(13.121%),,3676.3(13.066%),,3682.9(13.169%),,3673.1(13.356%),,3685.3(13.574%),,3680.4(13.549%),,3680.5(13.636%),,3682.9(13.648%),,3679.1(13.881%),,3681.7(13.819%),,3675.5(13.942%),,3681.5(14.089%),,3679.1(14.130%),,3680.0(14.147%),,3675.1(14.190%),,3674.1(14.165%),,3678.2(14.304%),,3680.5(14.349%),,3679.1(14.518%),,3683.0(14.596%),,3676.9(14.522%),,3678.0(14.671%),,3664.0(14.513%),,3677.1(14.666%),,3673.2(14.605%),,3672.4(14.617%),,3676.6(14.771%),,3675.3(14.661%),,3673.2(14.736%),,3677.5(14.806%),,3669.6(14.855%),,3677.7(14.855%),,3684.5(14.906%),,3682.2(14.954%),,3680.5(14.872%),
coal,林口#1,800.0,747.2,,751.9,,750.8,,759.2,,755.7,,756.7,,754.4,,754.7,,753.7,,759.1,,752.7,,751.5,,754.6,,757.6,,752.0,,753.1,,760.5,,758.3,,754.5,,757.2,,756.9,,755.0,,759.8,,752.1,,759.2,,748.5,,754.8,,756.6,,761.3,,760.4,,755.1,,759.7,,753.5,,761.3,,753.5,,748.9,,748.4,
coal,林口#2,800.0,753.6,,756.3,,754.6,,762.1,,759.8,,761.9,,755.9,,758.4,,755.2,,759.3,,755.6,,759.5,,762.7,,759.7,,758.8,,758.3,,760.8,,762.9,,755.4,,759.8,,758.2,,755.0,,761.1,,753.8,,761.9,,751.4,,759.0,,757.9,,763.4,,761.6,,758.3,,760.6,,754.4,,759.6,,756.2,,750.2,,748.8,
coal,林口#3,800.0,754.6,,758.9,,755.2,,765.2,,760.5,,764.6,,758.6,,760.7,,759.7,,763.4,,759.0,,758.1,,760.4,,759.9,,758.9,,759.6,,762.0,,761.4,,757.1,,760.3,,757.6,,757.3,,763.3,,752.5,,760.3,,750.6,,758.0,,760.9,,764.7,,762.0,,761.0,,764.4,,755.6,,764.6,,757.7,,752.6,,750.2,
coal,台中#1,550.0,423.3,,425.0,,425.9,,431.3,,423.4,,429.6,,430.4,,424.2,,423.1,,432.8,,424.8,,424.1,,429.6,,437.7,,428.1,,431.4,,431.3,,442.6,,444.6,,451.7,,451.9,,450.1,,453.9,,468.6,,491.5,,482.1,,465.6,,436.3,,430.1,,438.3,,426.7,,437.8,,411.3,,420.6,,406.6,,381.0,,381.2,
coal,台中#2,550.0,424.0,,431.1,,427.1,,436.5,,431.1,,431.1,,427.9,,427.1,,424.6,,432.8,,432.6,,425.7,,429.6,,441.4,,432.5,,431.0,,443.4,,435.5,,446.1,,456.8,,448.1,,455.8,,461.0,,488.8,,485.5,,467.4,,450.6,,413.9,,425.7,,432.0,,421.7,,432.8,,432.4,,431.0,,403.0,,394.0,,365.4,
coal,台中#3,550.0,426.6,,429.7,,426.6,,424.3,,426.5,,417.9,,431.4,,433.0,,420.9,,423.6,,425.1,,426.7,,429.9,,436.2,,426.6,,429.9,,432.2,,425.1,,453.2,,446.2,,449.6,,452.5,,453.2,,469.2,,492.1,,476.8,,457.2,,433.8,,430.6,,433.8,,428.8,,435.2,,431.8,,430.5,,416.2,,383.4,,379.5,
coal,台中#4,550.0,416.5,,420.2,,423.5,,421.1,,424.2,,426.7,,425.6,,421.8,,425.4,,421.7,,421.5,,421.7,,427.2,,431.9,,423.1,,426.9,,424.5,,427.7,,432.5,,431.3,,435.3,,433.5,,436.5,,449.2,,470.5,,459.8,,451.4,,413.1,,413.2,,414.7,,412.9,,417.9,,413.1,,417.8,,407.4,,380.5,,366.4,
coal,台中#5,550.0,434.4,,433.0,,435.4,,431.4,,435.2,,432.2,,434.4,,430.6,,437.4,,432.8,,436.0,,435.1,,433.7,,434.7,,432.8,,433.5,,432.7,,432.8,,451.0,,453.2,,454.0,,457.3,,452.7,,471.0,,481.0,,484.6,,472.4,,451.9,,434.5,,431.3,,429.1,,436.0,,433.5,,433.7,,422.9,,405.2,,383.4,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,422.9,,428.4,,431.0,,424.3,,428.2,,424.3,,427.4,,424.3,,428.7,,427.4,,427.3,,424.1,,426.6,,426.7,,425.6,,427.4,,425.8,,425.7,,443.7,,446.2,,447.8,,447.0,,447.0,,453.0,,474.0,,476.3,,476.3,,474.4,,473.6,,447.6,,428.3,,424.3,,423.4,,425.7,,421.8,,395.0,,376.6,
coal,台中#8,550.0,438.6,,438.6,,441.7,,437.8,,436.1,,437.0,,439.3,,437.8,,439.2,,438.6,,438.7,,438.7,,440.1,,438.7,,438.7,,436.3,,436.2,,436.9,,453.9,,456.9,,452.8,,457.0,,456.3,,466.1,,483.0,,485.8,,487.4,,488.3,,479.0,,453.1,,439.2,,437.1,,436.1,,437.0,,429.1,,403.8,,386.8,
coal,台中#9,550.0,475.8,,472.1,,472.6,,472.4,,472.0,,471.8,,472.0,,472.5,,472.5,,472.4,,472.4,,471.7,,472.7,,473.1,,473.1,,472.7,,473.1,,471.2,,460.1,,467.9,,470.0,,470.1,,471.6,,467.3,,468.9,,473.4,,471.3,,468.6,,472.8,,467.5,,469.5,,471.0,,472.1,,470.9,,470.7,,474.1,,472.0,
coal,台中#10,550.0,427.6,,427.7,,426.3,,428.0,,427.3,,427.7,,428.3,,427.6,,427.5,,428.2,,429.0,,427.1,,428.1,,428.3,,427.6,,427.4,,427.6,,429.1,,446.9,,446.7,,447.6,,447.8,,447.8,,459.2,,478.4,,477.4,,476.1,,473.3,,464.4,,436.7,,427.6,,430.0,,426.2,,429.0,,421.9,,393.1,,379.0,
