type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40
nuclear,核二#1,985.0,813.7,燃料限制,815.1,燃料限制,815.1,燃料限制,811.0,燃料限制,812.4,燃料限制,812.4,燃料限制,813.7,燃料限制,812.4,燃料限制,812.4,燃料限制,811.0,燃料限制,812.4,燃料限制,811.0,燃料限制,811.0,燃料限制,811.0,燃料限制,812.4,燃料限制,813.7,燃料限制,812.4,燃料限制
nuclear,核二#2,985.0,971.9,,970.6,,971.9,,971.9,,970.6,,971.9,,971.9,,967.9,,970.6,,969.2,,969.2,,970.6,,969.2,,967.9,,970.6,,973.2,,970.6,
nuclear,核三#1,951.0,949.5,,944.9,,944.9,,947.2,,946.1,,948.3,,944.9,,948.3,,946.1,,946.1,,947.2,,947.2,,948.3,,948.3,,947.2,,948.3,,948.3,
nuclear,核三#2,951.0,942.6,,939.2,,939.2,,940.4,,939.2,,941.5,,940.4,,940.4,,939.2,,939.2,,940.4,,941.5,,941.5,,941.5,,941.5,,939.2,,941.5,
nuclear,小計,3872.0(7.773%),3677.7(12.793%),,3669.8(12.913%),,3671.1(12.971%),,3670.5(13.046%),,3668.3(13.098%),,3674.1(13.285%),,3670.9(13.357%),,3669.0(13.379%),,3668.3(13.402%),,3665.5(13.526%),,3669.2(13.619%),,3670.3(13.667%),,3670.0(13.825%),,3668.7(13.846%),,3671.7(13.976%),,3674.4(14.109%),,3672.8(14.079%),
coal,林口#1,800.0,756.0,,756.9,,756.2,,756.8,,757.3,,754.4,,750.3,,762.6,,757.3,,759.8,,760.5,,757.7,,755.6,,754.1,,754.4,,752.3,,753.5,
coal,林口#2,800.0,759.7,,757.4,,757.3,,758.5,,758.0,,753.7,,753.2,,763.9,,760.9,,760.9,,763.8,,761.6,,758.6,,757.6,,753.8,,755.1,,755.7,
coal,林口#3,800.0,759.2,,757.9,,759.6,,758.8,,759.4,,755.9,,752.9,,764.8,,760.2,,760.8,,760.7,,760.5,,757.6,,757.7,,754.1,,753.3,,753.9,
coal,台中#1,550.0,340.2,,339.6,,339.1,,343.1,,339.1,,337.6,,337.4,,343.8,,336.9,,339.1,,336.2,,338.4,,336.0,,330.5,,334.5,,329.5,,336.9,
coal,台中#2,550.0,326.7,,334.3,,327.4,,328.3,,333.8,,325.2,,324.4,,332.3,,330.6,,332.3,,326.2,,324.5,,322.0,,322.0,,330.5,,324.0,,329.0,
coal,台中#3,550.0,332.2,,334.5,,329.8,,333.8,,329.9,,331.1,,331.3,,340.2,,335.3,,338.5,,334.6,,331.4,,332.2,,334.4,,337.6,,333.4,,333.7,
coal,台中#4,550.0,326.2,,327.4,,324.3,,330.9,,333.2,,331.6,,329.9,,332.6,,331.7,,329.5,,329.6,,332.5,,326.1,,327.0,,330.9,,324.3,,326.3,
coal,台中#5,550.0,328.8,,332.7,,334.9,,331.1,,333.6,,334.1,,332.7,,332.6,,332.7,,331.1,,331.1,,331.1,,333.5,,332.7,,333.4,,331.9,,334.1,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,233.1,,237.3,,249.7,,265.3,,283.9,,285.8,,281.6,,280.9,,280.9,,279.4,,276.2,,278.6,,277.7,,276.8,,277.7,,279.2,,276.2,
coal,台中#8,550.0,340.5,,338.1,,338.9,,338.1,,338.9,,337.3,,338.1,,337.2,,339.6,,339.0,,336.5,,338.0,,338.0,,339.6,,341.2,,339.5,,339.5,
coal,台中#9,550.0,328.9,,328.2,,328.9,,330.2,,330.8,,330.8,,330.3,,331.0,,330.9,,329.7,,330.2,,330.2,,330.3,,330.2,,331.0,,330.8,,330.2,
coal,台中#10,550.0,331.8,,330.3,,330.9,,331.6,,332.3,,330.5,,330.6,,332.6,,331.0,,332.1,,333.2,,331.7,,331.9,,331.2,,331.1,,331.8,,330.5,
coal,興達#1(註12),500.0,458.8,運轉限制,450.5,運轉限制,451.8,運轉限制,453.1,運轉限制,458.8,運轉限制,456.9,運轉限制,461.9,運轉限制,455.6,運轉限制,458.8,運轉限制,456.9,運轉限制,460.0,運轉限制,451.8,運轉限制,455.0,運轉限制,454.3,運轉限制,451.2,運轉限制,453.1,運轉限制,456.2,運轉限制
coal,興達#2(註12),500.0,476.5,,475.2,,482.2,,474.6,,475.9,,474.0,,471.4,,477.8,,477.1,,472.1,,479.6,,471.4,,472.7,,482.2,,477.8,,479.6,,472.1,
coal,興達#3(註12),550.0,511.4,,519.1,,516.8,,522.1,,522.1,,519.1,,514.4,,513.7,,523.7,,519.1,,517.5,,520.6,,522.1,,521.4,,516.8,,522.1,,515.2,
