type,name,capacity,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:23,note-08:23,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30,generation-15:40,note-15:40,generation-15:50,note-15:50,generation-16:00,note-16:00,generation-16:10,note-16:10,generation-16:20,note-16:20,generation-16:30,note-16:30,generation-16:40,note-16:40,generation-16:50,note-16:50,generation-17:00,note-17:00,generation-17:10,note-17:10,generation-17:20,note-17:20,generation-17:30,note-17:30,generation-17:40,note-17:40,generation-17:50,note-17:50,generation-18:00,note-18:00,generation-18:10,note-18:10,generation-18:20,note-18:20,generation-18:30,note-18:30,generation-18:40,note-18:40
nuclear,核二#1,985.0,811.0,燃料限制,805.7,燃料限制,805.7,燃料限制,805.7,燃料限制,807.0,燃料限制,807.0,燃料限制,808.4,燃料限制,808.4,燃料限制,804.3,燃料限制,808.4,燃料限制,807.0,燃料限制,809.7,燃料限制,808.4,燃料限制,805.7,燃料限制,808.4,燃料限制,807.0,燃料限制,805.7,燃料限制,805.7,燃料限制,805.7,燃料限制,804.3,燃料限制,808.4,燃料限制,809.7,燃料限制,807.0,燃料限制,807.0,燃料限制,805.7,燃料限制,805.7,燃料限制,807.0,燃料限制,807.0,燃料限制,805.7,燃料限制,807.0,燃料限制,807.0,燃料限制,805.7,燃料限制,807.0,燃料限制,805.7,燃料限制,807.0,燃料限制,805.7,燃料限制,805.7,燃料限制,804.3,燃料限制,805.7,燃料限制,809.7,燃料限制,805.7,燃料限制,807.0,燃料限制,805.7,燃料限制,805.7,燃料限制,807.0,燃料限制,807.0,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,803.0,燃料限制,805.7,燃料限制,805.7,燃料限制,804.3,燃料限制,803.0,燃料限制,805.7,燃料限制,804.3,燃料限制,805.7,燃料限制,804.3,燃料限制,803.0,燃料限制,805.7,燃料限制,804.3,燃料限制,801.7,燃料限制,804.3,燃料限制,804.3,燃料限制,801.7,燃料限制,803.0,燃料限制,804.3,燃料限制,805.7,燃料限制,805.7,燃料限制,803.0,燃料限制,803.0,燃料限制,804.3,燃料限制,803.0,燃料限制,804.3,燃料限制,804.3,燃料限制,803.0,燃料限制,804.3,燃料限制,804.3,燃料限制,808.4,燃料限制,801.7,燃料限制,805.7,燃料限制,805.7,燃料限制,803.0,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,805.7,燃料限制,801.7,燃料限制,801.7,燃料限制,804.3,燃料限制,803.0,燃料限制,807.0,燃料限制,804.3,燃料限制,803.0,燃料限制,805.7,燃料限制,804.3,燃料限制,805.7,燃料限制,805.7,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,805.7,燃料限制,805.7,燃料限制,803.0,燃料限制,803.0,燃料限制,803.0,燃料限制
nuclear,核二#2,985.0,974.6,,971.9,,973.2,,970.6,,973.2,,973.2,,973.2,,973.2,,971.9,,973.2,,969.2,,971.9,,971.9,,971.9,,971.9,,973.2,,973.2,,973.2,,971.9,,973.2,,973.2,,974.6,,971.9,,973.2,,973.2,,973.2,,973.2,,974.6,,970.6,,973.2,,974.6,,971.9,,974.6,,974.6,,973.2,,971.9,,969.2,,973.2,,971.9,,973.2,,974.6,,971.9,,970.6,,973.2,,973.2,,974.6,,970.6,,971.9,,973.2,,971.9,,969.2,,971.9,,969.2,,971.9,,970.6,,967.9,,971.9,,971.9,,969.2,,969.2,,967.9,,967.9,,970.6,,969.2,,969.2,,971.9,,971.9,,969.2,,969.2,,969.2,,969.2,,970.6,,971.9,,971.9,,970.6,,969.2,,971.9,,969.2,,971.9,,970.6,,969.2,,970.6,,970.6,,971.9,,971.9,,970.6,,971.9,,970.6,,970.6,,969.2,,970.6,,970.6,,971.9,,970.6,,971.9,,970.6,,971.9,,971.9,,970.6,,970.6,,970.6,,970.6,,970.6,,969.2,,969.2,,970.6,
nuclear,核三#1,951.0,955.2,,951.8,,951.8,,951.8,,952.9,,955.2,,954.0,,952.9,,955.2,,952.9,,954.0,,951.8,,954.0,,951.8,,954.0,,951.8,,951.8,,951.8,,954.0,,951.8,,951.8,,951.8,,952.9,,950.6,,952.9,,950.6,,951.8,,954.0,,950.6,,950.6,,951.8,,949.5,,951.8,,950.6,,952.9,,949.5,,949.5,,950.6,,951.8,,949.5,,952.9,,950.6,,951.8,,950.6,,950.6,,951.8,,951.8,,950.6,,951.8,,949.5,,950.6,,951.8,,948.3,,950.6,,949.5,,948.3,,949.5,,947.2,,949.5,,949.5,,948.3,,947.2,,948.3,,949.5,,949.5,,949.5,,949.5,,948.3,,948.3,,948.3,,950.6,,950.6,,950.6,,949.5,,948.3,,949.5,,949.5,,948.3,,950.6,,949.5,,949.5,,949.5,,949.5,,949.5,,950.6,,951.8,,952.9,,950.6,,950.6,,950.6,,952.9,,951.8,,951.8,,950.6,,950.6,,951.8,,952.9,,950.6,,950.6,,951.8,,951.8,,952.9,,952.9,,952.9,,950.6,,951.8,
nuclear,核三#2,951.0,946.1,,943.8,,944.9,,943.8,,944.9,,946.1,,946.1,,944.9,,946.1,,946.1,,944.9,,943.8,,946.1,,943.8,,946.1,,942.6,,943.8,,943.8,,946.1,,944.9,,942.6,,943.8,,944.9,,943.8,,944.9,,943.8,,944.9,,941.5,,943.8,,943.8,,944.9,,941.5,,944.9,,943.8,,944.9,,943.8,,942.6,,944.9,,943.8,,943.8,,943.8,,942.6,,944.9,,943.8,,944.9,,943.8,,943.8,,943.8,,944.9,,941.5,,942.6,,943.8,,942.6,,943.8,,943.8,,941.5,,943.8,,940.4,,942.6,,942.6,,942.6,,940.4,,941.5,,942.6,,942.6,,943.8,,942.6,,941.5,,942.6,,941.5,,943.8,,943.8,,942.6,,943.8,,942.6,,942.6,,942.6,,941.5,,944.9,,942.6,,942.6,,943.8,,942.6,,942.6,,943.8,,943.8,,946.1,,943.8,,943.8,,943.8,,946.1,,944.9,,944.9,,943.8,,944.9,,944.9,,946.1,,944.9,,942.6,,944.9,,946.1,,946.1,,944.9,,946.1,,943.8,,944.9,
nuclear,小計,3872.0(7.745%),3686.9(12.476%),,3673.2(12.436%),,3675.6(12.597%),,3671.9(12.545%),,3678.0(12.676%),,3681.5(12.841%),,3681.7(12.898%),,3679.4(12.949%),,3677.5(13.019%),,3680.6(13.086%),,3675.1(13.126%),,3677.2(13.179%),,3680.4(13.330%),,3673.2(13.269%),,3680.4(13.409%),,3674.6(13.374%),,3674.5(13.493%),,3674.5(13.502%),,3677.7(13.637%),,3674.2(13.614%),,3676.0(13.632%),,3679.9(13.724%),,3676.7(13.705%),,3674.6(13.777%),,3676.7(13.868%),,3673.3(13.805%),,3676.9(13.929%),,3677.1(13.943%),,3670.7(13.881%),,3674.6(13.872%),,3678.3(13.942%),,3668.6(13.786%),,3678.3(13.815%),,3674.7(13.849%),,3678.0(13.710%),,3670.9(13.655%),,3667.0(13.385%),,3673.0(13.258%),,3673.2(13.243%),,3676.2(13.072%),,3677.0(12.714%),,3672.1(12.292%),,3673.0(11.682%),,3673.3(11.439%),,3675.7(11.238%),,3677.2(11.071%),,3670.5(10.819%),,3670.6(10.746%),,3674.2(10.761%),,3665.9(10.616%),,3668.1(10.533%),,3673.2(10.447%),,3664.4(10.428%),,3669.3(10.484%),,3669.6(10.455%),,3662.0(10.315%),,3670.9(10.276%),,3663.8(10.209%),,3664.3(10.136%),,3667.0(10.116%),,3663.1(10.045%),,3657.2(9.966%),,3664.7(9.945%),,3665.6(9.943%),,3663.0(9.912%),,3668.2(10.088%),,3668.3(10.268%),,3664.7(10.227%),,3665.8(10.221%),,3662.0(10.152%),,3666.6(10.187%),,3669.3(10.143%),,3668.1(9.942%),,3669.5(9.816%),,3665.8(9.788%),,3664.3(9.680%),,3668.3(9.663%),,3663.3(9.711%),,3675.8(9.758%),,3664.4(9.730%),,3667.0(9.716%),,3669.6(9.733%),,3665.7(9.709%),,3668.3(9.771%),,3670.6(9.761%),,3670.5(9.719%),,3676.6(9.779%),,3666.7(9.744%),,3666.7(9.706%),,3667.9(9.774%),,3672.6(9.765%),,3674.3(9.798%),,3672.9(9.823%),,3668.0(9.842%),,3673.1(9.925%),,3671.6(10.071%),,3676.6(10.152%),,3673.1(10.207%),,3668.1(10.203%),,3671.6(10.249%),,3672.8(10.242%),,3675.3(10.272%),,3674.1(10.262%),,3671.2(10.269%),,3666.6(10.273%),,3670.3(10.258%),
coal,林口#1,800.0,748.6,,755.5,,756.6,,757.5,,753.0,,754.8,,749.1,,750.5,,754.8,,755.4,,754.5,,755.8,,756.5,,753.0,,757.4,,756.2,,752.4,,756.9,,757.2,,755.0,,753.1,,753.7,,753.6,,754.1,,755.6,,752.1,,748.2,,752.6,,755.6,,751.7,,755.0,,753.9,,755.8,,757.5,,760.7,,757.8,,762.2,,763.4,,758.1,,757.3,,756.1,,756.5,,755.5,,752.7,,753.9,,751.2,,750.6,,748.8,,751.2,,751.9,,756.7,,752.6,,755.2,,750.0,,753.4,,758.7,,758.0,,753.0,,754.9,,759.5,,761.0,,760.3,,757.9,,757.2,,760.3,,754.0,,753.4,,757.9,,754.2,,756.3,,756.7,,757.8,,757.5,,754.5,,750.7,,756.8,,744.9,,750.6,,754.3,,751.1,,752.3,,753.5,,761.7,,756.6,,756.7,,761.2,,752.6,,760.5,,756.8,,757.2,,760.1,,756.6,,755.9,,756.1,,756.0,,756.2,,754.7,,755.8,,756.1,,754.4,,756.2,,756.6,,759.4,,755.5,,754.5,,755.8,
coal,林口#2,800.0,749.1,,752.2,,749.6,,751.8,,746.3,,749.2,,748.3,,749.3,,749.0,,750.2,,749.4,,751.9,,753.3,,752.8,,756.1,,756.1,,753.2,,757.2,,757.7,,757.7,,754.4,,755.2,,755.1,,755.3,,755.1,,754.5,,747.9,,751.7,,755.8,,752.3,,750.0,,751.1,,751.9,,751.1,,757.1,,751.6,,754.2,,758.0,,756.4,,755.9,,753.6,,755.0,,758.2,,757.9,,758.6,,756.2,,756.8,,755.7,,759.3,,758.3,,761.5,,755.9,,755.1,,751.0,,754.4,,759.8,,758.2,,753.3,,757.1,,759.4,,761.5,,759.5,,759.5,,756.3,,758.4,,754.4,,752.5,,754.2,,756.1,,757.2,,754.3,,754.2,,753.3,,755.5,,755.3,,759.9,,751.0,,758.0,,757.9,,761.6,,758.3,,754.0,,761.7,,757.4,,759.2,,761.6,,751.0,,760.4,,758.3,,757.5,,757.5,,757.5,,757.6,,758.6,,757.3,,756.6,,758.1,,757.1,,759.2,,757.1,,758.1,,758.0,,759.6,,757.6,,758.4,,758.4,
coal,林口#3,800.0,754.6,,759.9,,759.9,,761.6,,756.4,,757.2,,754.8,,760.3,,758.1,,759.2,,758.4,,761.6,,758.5,,755.2,,755.8,,756.2,,754.5,,759.9,,762.0,,762.7,,759.6,,758.5,,759.8,,758.9,,760.3,,759.0,,752.3,,756.2,,760.7,,757.9,,758.5,,759.3,,757.6,,759.6,,762.2,,758.1,,763.3,,765.4,,760.3,,760.9,,758.6,,756.8,,758.8,,758.8,,758.4,,758.7,,759.8,,760.1,,760.6,,759.6,,765.7,,756.5,,757.3,,750.6,,756.2,,760.8,,758.9,,754.3,,757.8,,760.6,,760.3,,755.6,,755.5,,755.8,,757.8,,753.5,,753.6,,755.5,,752.0,,753.4,,753.4,,754.7,,755.4,,757.8,,754.2,,760.8,,751.4,,760.7,,759.3,,763.0,,759.8,,754.5,,763.7,,758.5,,760.3,,762.2,,753.0,,763.9,,759.2,,757.9,,760.7,,759.9,,759.7,,759.3,,758.8,,758.2,,755.3,,757.9,,758.5,,758.3,,756.2,,754.4,,756.0,,756.0,,756.7,,757.6,
coal,台中#1,550.0,380.1,,383.0,,383.3,,389.5,,379.3,,388.8,,377.1,,377.6,,387.8,,380.2,,389.4,,391.0,,375.1,,341.6,,317.3,,328.7,,332.6,,326.5,,338.8,,340.6,,330.2,,328.7,,331.1,,334.1,,336.3,,330.2,,330.3,,334.2,,334.3,,331.1,,338.1,,331.3,,332.5,,338.8,,337.4,,329.3,,331.7,,345.2,,338.8,,334.1,,337.1,,328.7,,332.3,,340.9,,335.4,,332.4,,336.2,,341.1,,343.5,,333.1,,355.4,,373.6,,369.2,,369.2,,370.0,,374.9,,363.6,,368.2,,369.7,,372.2,,373.1,,371.5,,366.8,,369.0,,385.3,,409.6,,430.4,,433.6,,425.1,,427.7,,438.2,,448.1,,457.4,,443.6,,471.9,,495.3,,478.5,,484.8,,491.6,運轉限制,487.0,運轉限制,489.1,運轉限制,483.4,運轉限制,484.5,運轉限制,484.5,運轉限制,480.8,運轉限制,480.7,運轉限制,480.7,運轉限制,479.4,運轉限制,473.7,運轉限制,471.5,運轉限制,474.8,運轉限制,479.3,運轉限制,482.3,運轉限制,479.4,運轉限制,479.4,運轉限制,484.8,運轉限制,479.8,運轉限制,484.6,運轉限制,488.3,運轉限制,433.4,運轉限制,465.3,運轉限制,484.8,運轉限制,483.8,運轉限制,482.0,運轉限制,479.6,運轉限制,480.3,運轉限制
coal,台中#2,550.0,377.6,,375.4,,374.0,,384.1,,367.5,,378.7,,367.5,,379.2,,373.8,,381.1,,381.9,,370.8,,385.3,,341.8,,356.7,,333.2,,349.8,,342.3,,335.5,,322.2,,328.9,,332.9,,332.9,,329.1,,331.3,,334.2,,330.5,,336.9,,334.8,,331.4,,324.4,,329.1,,330.2,,328.7,,333.4,,322.4,,330.6,,326.6,,327.8,,331.0,,328.5,,323.4,,327.3,,332.8,,332.0,,326.2,,325.5,,328.1,,324.1,,331.7,,336.5,,386.2,,388.8,,370.9,,369.8,,386.4,,370.8,,375.1,,378.2,,374.6,,379.0,,375.8,,378.3,,379.0,,408.5,,409.0,,423.4,,429.5,,409.1,,417.9,,453.6,,429.2,,465.9,,505.9,,516.9,,522.9,,522.2,,516.3,,531.5,,531.6,,526.5,,521.1,,517.2,,520.6,,518.2,,522.0,,522.0,,522.1,,517.9,,519.6,,519.6,,525.1,,521.8,,515.2,,515.0,,522.9,,501.0,,493.6,,478.9,,466.6,,474.5,,497.9,,514.9,,513.4,,511.2,,509.3,
