type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00
nuclear,核二#1,985.0,803.0,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,808.4,燃料限制,807.0,燃料限制,804.3,燃料限制,803.0,燃料限制,804.3,燃料限制,803.0,燃料限制,803.0,燃料限制,805.7,燃料限制,801.7,燃料限制,803.0,燃料限制,805.7,燃料限制,808.4,燃料限制,807.0,燃料限制,805.7,燃料限制,803.0,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,805.7,燃料限制,804.3,燃料限制,809.7,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制,804.3,燃料限制
nuclear,核二#2,985.0,970.6,,973.2,,973.2,,971.9,,974.6,,971.9,,973.2,,973.2,,971.9,,971.9,,971.9,,974.6,,969.2,,973.2,,974.6,,973.2,,974.6,,974.6,,973.2,,973.2,,971.9,,974.6,,974.6,,974.6,,971.9,,974.6,,971.9,,971.9,,971.9,,973.2,,974.6,
nuclear,核三#1,951.0,950.6,,951.8,,948.3,,950.6,,951.8,,952.9,,950.6,,949.5,,950.6,,950.6,,950.6,,952.9,,947.2,,952.9,,951.8,,952.9,,951.8,,951.8,,949.5,,950.6,,948.3,,949.5,,951.8,,949.5,,949.5,,950.6,,950.6,,952.9,,949.5,,951.8,,951.8,
nuclear,核三#2,951.0,943.8,,944.9,,943.8,,943.8,,944.9,,946.1,,943.8,,942.6,,944.9,,943.8,,944.9,,947.2,,943.8,,946.1,,946.1,,947.2,,944.9,,944.9,,943.8,,946.1,,943.8,,944.9,,944.9,,944.9,,944.9,,947.2,,943.8,,946.1,,943.8,,944.9,,944.9,
nuclear,小計,3872.0(7.745%),3668.0(11.764%),,3674.2(11.923%),,3669.6(11.926%),,3670.6(12.068%),,3679.7(12.181%),,3677.9(12.199%),,3671.9(12.237%),,3668.3(12.335%),,3671.7(12.410%),,3669.3(12.504%),,3670.4(12.626%),,3680.4(12.705%),,3661.9(12.674%),,3675.2(12.784%),,3678.2(12.916%),,3681.7(12.951%),,3678.3(12.975%),,3677.0(13.064%),,3669.5(13.060%),,3674.2(13.241%),,3668.3(13.210%),,3673.3(13.343%),,3675.6(13.459%),,3674.7(13.521%),,3670.6(13.544%),,3682.1(13.504%),,3670.6(13.486%),,3675.2(13.590%),,3669.5(13.698%),,3674.2(13.843%),,3675.6(13.812%),
coal,林口#1,800.0,758.4,,754.9,,753.7,,759.7,,756.7,,758.3,,754.1,,757.0,,756.2,,752.3,,750.4,,748.8,,753.6,,752.8,,758.7,,754.0,,757.0,,755.4,,759.1,,755.9,,756.5,,757.1,,755.8,,753.0,,755.8,,757.6,,756.2,,759.0,,756.5,,755.4,,751.8,
coal,林口#2,800.0,761.6,,758.1,,758.1,,762.0,,758.0,,761.7,,759.1,,758.9,,757.9,,759.1,,756.8,,755.1,,759.7,,752.0,,755.9,,753.7,,756.6,,758.7,,759.3,,758.7,,759.9,,758.4,,758.9,,754.1,,756.8,,758.6,,760.3,,760.2,,758.7,,756.6,,754.7,
coal,林口#3,800.0,759.9,,755.0,,755.2,,757.6,,756.9,,761.0,,756.9,,761.1,,760.4,,762.0,,764.7,,761.6,,764.8,,759.6,,761.4,,757.4,,757.5,,759.8,,761.6,,758.6,,763.7,,760.2,,759.8,,755.4,,759.7,,763.1,,762.9,,761.7,,761.4,,759.5,,756.1,
coal,台中#1,550.0,387.8,運轉限制,375.4,運轉限制,355.6,運轉限制,338.9,運轉限制,329.8,運轉限制,331.3,運轉限制,339.2,運轉限制,337.7,運轉限制,337.7,運轉限制,340.9,運轉限制,339.3,運轉限制,339.4,運轉限制,341.6,運轉限制,337.9,運轉限制,339.4,運轉限制,333.1,運轉限制,334.7,運轉限制,337.8,運轉限制,340.1,運轉限制,337.0,運轉限制,344.1,運轉限制,340.9,運轉限制,329.9,運轉限制,334.7,運轉限制,338.6,運轉限制,335.5,,334.9,,338.8,,339.6,,336.4,,336.3,
coal,台中#2,550.0,377.4,,366.5,,339.5,,325.0,,323.9,,326.9,,329.5,,318.5,,337.6,,329.7,,326.7,,326.6,,325.7,,328.1,,322.7,,322.5,,321.2,,321.0,,322.5,,322.7,,323.5,,324.8,,323.4,,319.4,,319.4,,323.4,,317.1,,331.4,,322.0,,330.4,,325.6,
