type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40
nuclear,核二#1,985.0,801.7,燃料限制,803.0,燃料限制,807.0,燃料限制,803.0,燃料限制,807.0,燃料限制,804.3,燃料限制,803.0,燃料限制,801.7,燃料限制,803.0,燃料限制,799.0,燃料限制,803.0,燃料限制,801.7,燃料限制,805.7,燃料限制,803.0,燃料限制,803.0,燃料限制,803.0,燃料限制,801.7,燃料限制,807.0,燃料限制,800.3,燃料限制,803.0,燃料限制,804.3,燃料限制,801.7,燃料限制,801.7,燃料限制
nuclear,核二#2,985.0,970.6,,973.2,,974.6,,973.2,,973.2,,975.9,,974.6,,973.2,,973.2,,970.6,,971.9,,970.6,,973.2,,971.9,,974.6,,974.6,,971.9,,975.9,,970.6,,973.2,,973.2,,974.6,,971.9,
nuclear,核三#1,951.0,949.5,,950.6,,951.8,,950.6,,951.8,,950.6,,949.5,,950.6,,951.8,,950.6,,949.5,,949.5,,951.8,,949.5,,949.5,,949.5,,949.5,,950.6,,950.6,,949.5,,950.6,,950.6,,948.3,
nuclear,核三#2,951.0,941.5,,943.8,,944.9,,943.8,,943.8,,942.6,,942.6,,942.6,,942.6,,942.6,,941.5,,942.6,,943.8,,942.6,,942.6,,941.5,,941.5,,942.6,,941.5,,941.5,,942.6,,941.5,,940.4,
nuclear,小計,3872.0(7.745%),3663.3(12.347%),,3670.6(12.492%),,3678.3(12.695%),,3670.6(12.585%),,3675.8(12.822%),,3673.4(12.820%),,3669.7(12.960%),,3668.1(13.014%),,3670.6(13.042%),,3662.8(13.174%),,3665.9(13.224%),,3664.4(13.268%),,3674.5(13.373%),,3667.0(13.500%),,3669.7(13.562%),,3668.6(13.599%),,3664.6(13.659%),,3676.1(13.734%),,3663.0(13.786%),,3667.2(13.814%),,3670.7(14.003%),,3668.4(13.982%),,3662.3(14.062%),
coal,林口#1,800.0,755.5,,752.8,,753.9,,754.7,,754.2,,748.2,,756.1,,755.2,,756.6,,760.7,,754.3,,756.9,,755.0,,752.5,,748.2,,748.9,,748.5,,750.9,,760.5,,758.9,,754.9,,758.3,,758.8,
coal,林口#2,800.0,758.8,,688.1,,670.9,,691.7,,688.1,,687.2,,687.8,,678.2,,678.5,,738.6,,753.6,,758.9,,758.7,,759.4,,759.6,,758.0,,762.9,,754.1,,765.0,,761.7,,758.8,,764.6,,765.9,
coal,林口#3,800.0,758.5,,752.4,,753.3,,753.9,,755.4,,750.0,,758.2,,758.8,,759.8,,762.5,,758.1,,763.0,,759.2,,755.3,,758.0,,758.3,,760.7,,754.8,,760.6,,756.4,,758.5,,755.9,,758.4,
coal,台中#1,550.0,371.4,,379.2,,380.1,,380.8,,377.5,,377.2,,379.9,,378.3,,364.2,,341.2,,330.2,,337.9,,340.8,,335.4,,335.3,,336.1,,341.0,,333.8,,340.1,,337.7,,333.1,,335.3,,339.4,
coal,台中#2,550.0,375.2,,389.6,,376.8,,371.4,,375.2,,379.7,,384.7,,376.9,,359.3,,345.8,,329.5,,327.1,,328.5,,336.3,,326.2,,327.0,,324.8,,325.3,,334.1,,332.3,,331.0,,323.7,,320.8,
