type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00
nuclear,核二#1,985.0,796.3,燃料限制,792.3,燃料限制,793.6,燃料限制,793.6,燃料限制,793.6,燃料限制,792.3,燃料限制,792.3,燃料限制,795.0,燃料限制,795.0,燃料限制,796.3,燃料限制,795.0,燃料限制,796.3,燃料限制,797.6,燃料限制,796.3,燃料限制,795.0,燃料限制,797.6,燃料限制,796.3,燃料限制,797.6,燃料限制,796.3,燃料限制,796.3,燃料限制,799.0,燃料限制,796.3,燃料限制,797.6,燃料限制,797.6,燃料限制,797.6,燃料限制,800.3,燃料限制,800.3,燃料限制,797.6,燃料限制,797.6,燃料限制,796.3,燃料限制,796.3,燃料限制,797.6,燃料限制,799.0,燃料限制,800.3,燃料限制,796.3,燃料限制,800.3,燃料限制,797.6,燃料限制,797.6,燃料限制,799.0,燃料限制,795.0,燃料限制,796.3,燃料限制,796.3,燃料限制,799.0,燃料限制,796.3,燃料限制,799.0,燃料限制,796.3,燃料限制,795.0,燃料限制,796.3,燃料限制,793.6,燃料限制,795.0,燃料限制,793.6,燃料限制,796.3,燃料限制,793.6,燃料限制,793.6,燃料限制,793.6,燃料限制,795.0,燃料限制,793.6,燃料限制,793.6,燃料限制,793.6,燃料限制,793.6,燃料限制,793.6,燃料限制,792.3,燃料限制,792.3,燃料限制,795.0,燃料限制,790.9,燃料限制,792.3,燃料限制,793.6,燃料限制,795.0,燃料限制,792.3,燃料限制,790.9,燃料限制,789.6,燃料限制,789.6,燃料限制,790.9,燃料限制,792.3,燃料限制,789.6,燃料限制,790.9,燃料限制,792.3,燃料限制,789.6,燃料限制,792.3,燃料限制,789.6,燃料限制,790.9,燃料限制,790.9,燃料限制,792.3,燃料限制,790.9,燃料限制,792.3,燃料限制
nuclear,核二#2,985.0,970.6,,967.9,,969.2,,967.9,,967.9,,967.9,,965.2,,967.9,,970.6,,969.2,,970.6,,970.6,,970.6,,971.9,,969.2,,973.2,,970.6,,973.2,,970.6,,970.6,,973.2,,971.9,,971.9,,970.6,,973.2,,973.2,,973.2,,971.9,,969.2,,970.6,,970.6,,973.2,,973.2,,973.2,,971.9,,971.9,,970.6,,971.9,,974.6,,970.6,,971.9,,973.2,,971.9,,971.9,,970.6,,970.6,,970.6,,969.2,,967.9,,970.6,,969.2,,969.2,,970.6,,967.9,,969.2,,969.2,,966.5,,967.9,,969.2,,967.9,,969.2,,967.9,,966.5,,967.9,,966.5,,966.5,,967.9,,969.2,,967.9,,966.5,,966.5,,966.5,,965.2,,966.5,,966.5,,965.2,,965.2,,965.2,,966.5,,963.8,,966.5,,966.5,,966.5,,965.2,,966.5,
nuclear,核三#1,951.0,949.5,,947.2,,949.5,,949.5,,949.5,,948.3,,947.2,,948.3,,949.5,,949.5,,947.2,,949.5,,949.5,,948.3,,950.6,,946.1,,950.6,,949.5,,947.2,,948.3,,948.3,,949.5,,948.3,,950.6,,948.3,,948.3,,947.2,,947.2,,949.5,,947.2,,948.3,,949.5,,949.5,,948.3,,948.3,,947.2,,947.2,,948.3,,948.3,,949.5,,948.3,,949.5,,949.5,,948.3,,949.5,,950.6,,950.6,,949.5,,949.5,,948.3,,948.3,,949.5,,948.3,,948.3,,949.5,,948.3,,947.2,,948.3,,949.5,,949.5,,946.1,,948.3,,946.1,,948.3,,946.1,,947.2,,949.5,,948.3,,948.3,,946.1,,946.1,,946.1,,948.3,,947.2,,946.1,,946.1,,947.2,,947.2,,947.2,,947.2,,948.3,,948.3,,948.3,,947.2,,948.3,
nuclear,核三#2,951.0,942.6,,939.2,,941.5,,940.4,,942.6,,941.5,,939.2,,941.5,,941.5,,939.2,,941.5,,942.6,,941.5,,942.6,,941.5,,940.4,,943.8,,941.5,,940.4,,939.2,,940.4,,941.5,,941.5,,942.6,,941.5,,941.5,,940.4,,941.5,,941.5,,940.4,,942.6,,941.5,,941.5,,941.5,,941.5,,941.5,,942.6,,941.5,,939.2,,941.5,,941.5,,941.5,,942.6,,940.4,,942.6,,943.8,,943.8,,941.5,,942.6,,943.8,,942.6,,942.6,,943.8,,942.6,,942.6,,942.6,,941.5,,942.6,,942.6,,942.6,,942.6,,941.5,,939.2,,941.5,,940.4,,939.2,,940.4,,940.4,,941.5,,940.4,,940.4,,939.2,,942.6,,940.4,,939.2,,939.2,,940.4,,941.5,,941.5,,940.4,,941.5,,941.5,,941.5,,940.4,,941.5,
nuclear,小計,3872.0(7.745%),3659.0(12.453%),,3646.6(12.467%),,3653.8(12.584%),,3651.4(12.759%),,3653.6(12.835%),,3650.0(12.930%),,3643.9(12.914%),,3652.7(13.062%),,3656.6(13.189%),,3654.2(13.108%),,3654.3(13.307%),,3659.0(13.326%),,3659.2(13.434%),,3659.1(13.565%),,3656.3(13.614%),,3657.3(13.667%),,3661.3(13.722%),,3661.8(13.766%),,3654.5(13.800%),,3654.4(13.863%),,3660.9(13.953%),,3659.2(13.945%),,3659.3(13.966%),,3661.4(14.039%),,3660.6(14.124%),,3663.3(14.158%),,3661.1(14.087%),,3658.2(14.199%),,3657.8(14.090%),,3654.5(14.268%),,3657.8(14.207%),,3661.8(14.274%),,3663.2(14.309%),,3663.3(14.341%),,3658.0(14.343%),,3660.9(14.355%),,3658.0(14.402%),,3659.3(14.140%),,3661.1(14.279%),,3656.6(14.071%),,3658.0(14.048%),,3660.5(14.056%),,3663.0(13.856%),,3656.9(13.765%),,3661.7(13.573%),,3661.3(13.597%),,3660.0(13.368%),,3656.5(13.032%),,3653.6(12.632%),,3657.7(12.126%),,3653.7(11.809%),,3657.6(11.609%),,3656.3(11.460%),,3652.4(11.284%),,3654.9(11.247%),,3655.1(11.125%),,3648.8(11.050%),,3652.4(10.962%),,3654.9(10.941%),,3653.6(10.934%),,3651.5(10.911%),,3650.0(10.861%),,3644.1(10.758%),,3652.7(10.764%),,3643.9(10.603%),,3645.2(10.546%),,3651.4(10.516%),,3652.9(10.500%),,3650.0(10.373%),,3643.9(10.417%),,3642.6(10.387%),,3641.4(10.432%),,3647.0(10.625%),,3646.4(10.885%),,3641.4(10.845%),,3641.4(10.903%),,3645.1(10.938%),,3643.5(10.952%),,3647.5(10.858%),,3641.0(10.512%),,3647.2(10.467%),,3647.2(10.513%),,3648.6(10.486%),,3643.7(10.523%),,3648.6(10.551%),
coal,林口#1,800.0,754.3,,757.3,,757.1,,757.3,,754.6,,753.3,,757.2,,757.3,,747.4,,748.8,,742.8,,751.3,,754.8,,753.0,,757.3,,750.9,,762.1,,752.8,,760.3,,757.9,,757.1,,756.5,,755.2,,759.3,,759.9,,757.3,,756.0,,755.3,,760.8,,758.7,,758.3,,759.8,,755.5,,755.2,,759.2,,757.8,,756.3,,760.1,,752.4,,759.6,,758.2,,753.9,,754.5,,763.1,,749.2,,748.0,,747.0,,754.1,,752.4,,750.6,,754.1,,754.6,,751.3,,752.9,,751.9,,752.8,,758.5,,757.1,,751.7,,756.0,,759.1,,760.3,,760.0,,760.3,,760.0,,756.9,,758.5,,753.2,,754.4,,755.3,,756.7,,757.4,,757.0,,753.3,,758.2,,756.8,,757.3,,760.2,,756.6,,759.9,,755.1,,754.2,,754.3,,755.5,,752.7,
coal,林口#2,800.0,756.2,,759.3,,759.7,,760.3,,756.5,,756.6,,761.0,,762.5,,754.8,,760.3,,752.1,,758.5,,753.3,,758.4,,761.7,,750.7,,761.4,,750.5,,758.5,,758.8,,757.2,,758.3,,756.2,,760.3,,758.8,,757.3,,757.3,,757.2,,761.4,,760.2,,759.6,,760.8,,758.1,,759.4,,760.8,,760.4,,759.3,,761.6,,753.8,,762.5,,759.9,,757.8,,758.0,,764.0,,754.1,,751.3,,752.7,,758.4,,760.5,,759.2,,761.5,,759.6,,758.7,,761.5,,758.6,,755.0,,757.7,,755.6,,749.8,,756.5,,758.5,,760.6,,762.0,,761.2,,761.9,,759.4,,760.3,,757.8,,759.7,,760.4,,761.2,,760.0,,761.4,,756.7,,759.9,,759.4,,759.2,,761.0,,759.4,,761.2,,760.7,,758.9,,759.8,,760.3,,758.7,
coal,林口#3,800.0,756.2,,759.1,,758.9,,759.8,,757.1,,758.2,,761.2,,763.0,,753.4,,758.6,,751.6,,757.8,,752.9,,759.2,,760.4,,751.4,,761.2,,752.4,,760.2,,761.0,,758.7,,757.4,,758.4,,761.4,,760.1,,758.8,,757.1,,756.6,,762.7,,757.5,,757.5,,761.4,,756.2,,758.8,,760.5,,759.1,,759.3,,760.7,,754.1,,758.8,,761.0,,758.4,,757.7,,765.4,,753.7,,752.6,,753.0,,760.3,,760.0,,757.2,,760.4,,759.4,,758.8,,759.8,,758.4,,760.0,,762.3,,764.1,,758.5,,761.2,,760.2,,762.3,,762.0,,759.9,,758.6,,756.8,,760.0,,754.1,,758.4,,759.0,,760.9,,758.7,,762.1,,754.5,,759.9,,758.1,,756.1,,761.0,,757.1,,761.8,,760.9,,759.4,,761.3,,763.3,,758.8,
coal,台中#1,550.0,329.4,,328.4,,329.2,,332.4,,328.5,,330.7,,327.7,,331.6,,332.1,,328.4,,329.1,,328.4,,326.8,,330.8,,333.8,,327.4,,332.2,,326.7,,334.5,,327.6,,331.5,,331.3,,330.5,,329.8,,329.1,,328.1,,325.0,,327.2,,332.0,,329.6,,329.9,,333.5,,328.1,,332.9,,330.5,,329.7,,328.1,,332.2,,331.1,,332.7,,335.9,,325.7,,328.0,,337.7,,331.3,,335.1,,329.0,,329.1,,333.8,,336.6,,325.1,,328.3,,328.1,,328.0,,328.9,,332.1,,328.0,,328.1,,327.2,,333.4,,328.6,,331.6,,331.5,,335.3,,341.7,,364.3,,366.0,,365.9,,368.3,,370.7,,369.9,,376.1,,388.9,,379.7,,362.2,,367.0,,365.1,,363.8,,358.4,,366.1,,365.3,,362.7,,372.9,,389.0,,401.1,
coal,台中#2,550.0,319.5,,325.9,,325.9,,324.9,,328.0,,330.2,,325.5,,330.9,,326.2,,327.2,,319.2,,332.5,,326.9,,322.4,,325.7,,319.1,,331.6,,332.0,,329.3,,325.4,,326.0,,326.6,,322.0,,330.6,,326.8,,329.8,,328.3,,333.1,,330.2,,333.0,,340.2,,342.4,,344.0,,346.3,,348.5,,346.0,,344.6,,347.7,,344.3,,359.3,,351.7,,344.8,,328.4,,332.4,,336.7,,334.5,,323.7,,332.6,,333.8,,329.1,,331.6,,333.2,,330.9,,328.5,,325.4,,337.2,,329.4,,332.6,,328.6,,328.5,,326.9,,327.0,,328.4,,327.0,,329.2,,345.0,,379.7,,378.1,,375.1,,375.9,,375.2,,395.0,,404.4,,414.0,,410.9,,417.9,,424.1,,400.0,,443.0,,466.1,,477.5,,477.9,,483.5,,483.8,,470.1,
