type,name,capacity,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40
nuclear,核二#1,985.0,788.3,燃料限制,786.9,燃料限制,786.9,燃料限制
nuclear,核二#2,985.0,843.2,,843.2,,844.6,
nuclear,核三#1,951.0,952.9,,949.5,,949.5,
nuclear,核三#2,951.0,943.8,,941.5,,942.6,
nuclear,小計,3872.0(7.745%),3528.2(13.310%),,3521.1(13.248%),,3523.6(13.334%),
coal,林口#1,800.0,761.8,,760.0,,761.2,
coal,林口#2,800.0,763.8,,761.6,,763.1,
coal,林口#3,800.0,763.9,,761.0,,763.7,
coal,台中#1,550.0,359.2,,320.1,,333.2,
coal,台中#2,550.0,349.3,,326.1,,321.6,
coal,台中#3,550.0,341.3,,342.1,,341.3,
coal,台中#4,550.0,358.2,,330.4,,328.9,
coal,台中#5,550.0,0.0,環保停機,0.0,環保停機,0.0,環保停機
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,337.9,,319.2,,318.5,
coal,台中#8,550.0,355.2,,336.5,,336.5,
coal,台中#9,550.0,340.2,,333.6,,333.2,
coal,台中#10,550.0,331.9,,331.9,,331.2,
coal,興達#1(註12),500.0,470.2,運轉限制,467.6,運轉限制,464.5,運轉限制
coal,興達#2(註12),500.0,479.6,,475.9,,475.9,
coal,興達#3(註12),550.0,521.4,,522.1,,524.4,
coal,興達#4(註12),550.0,520.2,,521.7,,521.7,
coal,大林#1,800.0,756.2,,757.7,,761.6,
coal,大林#2,800.0,763.4,,760.3,,764.9,
coal,小計,11600.0(23.203%),8573.7(32.344%),,8427.8(31.709%),,8445.4(31.958%),
cogen,汽電共生,618.0,614.6,,808.0,,695.9,
cogen,小計,618.0(1.236%),614.6(2.319%),,808.0(3.040%),,695.9(2.634%),
ippcoal,和平#1,648.6,577.5,,575.8,,566.1,
ippcoal,和平#2,648.6,575.6,,573.8,,563.8,
ippcoal,麥寮#1,600.0,570.8,,571.9,,570.4,
ippcoal,麥寮#2,600.0,422.9,運轉限制,419.7,運轉限制,395.4,運轉限制
ippcoal,麥寮#3,600.0,545.4,,540.6,,547.8,
ippcoal,小計,3097.1(6.195%),2692.2(10.156%),,2681.8(10.090%),,2643.5(10.003%),
lng,大潭CC#1,742.7,525.7,,522.6,,523.0,
lng,大潭CC#2,742.7,513.6,,508.6,,508.4,
lng,大潭CC#3,724.7,600.4,,595.2,,595.2,
lng,大潭CC#4,724.7,650.1,,647.3,,645.0,
lng,大潭CC#5,724.7,574.8,,564.0,,561.7,
lng,大潭CC#6,724.7,0.0,歲修,0.0,歲修,0.0,歲修
lng,大潭CC#7,600.0,0.0,,0.0,,0.0,
lng,通霄CC#1,892.6,402.1,部分檢修,401.6,部分檢修,401.5,部分檢修
lng,通霄CC#2,892.6,869.2,,875.6,,878.6,
lng,通霄CC#3,892.6,859.4,,864.9,,870.1,
lng,通霄CC#4,386.0,210.9,,207.8,,209.4,
lng,通霄CC#5,386.0,225.3,,225.5,,225.0,
lng,通霄CC#6,321.2,329.8,,344.3,,337.1,
lng,興達CC#1,445.2,347.8,,386.0,,438.8,
lng,興達CC#2,445.2,380.4,,372.1,,378.5,
lng,興達CC#3,445.2,337.1,,346.0,,337.0,
lng,興達CC#4,445.2,385.1,,355.0,,326.3,
lng,興達CC#5,445.2,362.2,,431.5,,440.9,
lng,南部CC#1,288.8,270.3,,270.8,,271.8,
lng,南部CC#2,288.8,210.1,,221.5,,222.1,
lng,南部CC#3,288.8,228.3,,229.6,,230.0,
lng,南部CC#4,251.4,235.3,,234.9,,233.6,
lng,大林#5,500.0,141.6,,140.9,,139.6,
lng,大林#6,550.0,0.0,歲修,0.0,歲修,0.0,歲修
lng,小計,13149.0(26.301%),8659.5(32.668%),,8745.7(32.905%),,8773.6(33.200%),
ipplng,海湖#1,450.0,0.0,檢修,0.0,檢修,0.0,檢修
ipplng,海湖#2,450.0,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,新桃#1,600.0,0.0,檢修,0.0,檢修,0.0,檢修
ipplng,國光#1,480.0,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,星彰#1,506.9,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,星元#1,490.0,0.0,部分故障,0.0,部分故障,0.0,部分故障
ipplng,嘉惠#1,670.0,0.0,檢修,0.0,檢修,0.0,檢修
ipplng,嘉惠#2(註10),-,502.8,新機組試俥,502.7,新機組試俥,502.9,新機組試俥
ipplng,豐德#1,506.9,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,豐德#2,506.9,0.0,合約限制,0.0,合約限制,0.0,合約限制
ipplng,小計,4660.6(9.322%),502.8(1.897%),,502.7(1.891%),,502.9(1.903%),
oil,協和#3,500.0,139.2,環保限制,138.6,環保限制,139.9,環保限制
oil,協和#4,500.0,136.6,環保限制,136.6,環保限制,138.5,環保限制
oil,小計,1000.0(2.000%),275.8(1.040%),,275.2(1.035%),,278.4(1.053%),
diesel,核二Gas1,-,0.0,,0.0,,0.0,
diesel,核二Gas2,-,0.0,,0.0,,0.0,
diesel,核三Gas1,-,0.0,,0.0,,0.0,
diesel,核三Gas2,-,0.0,,0.0,,0.0,
diesel,台中Gas1&amp;2,140.0,0.0,,0.0,,0.0,
diesel,台中Gas3&amp;4,140.0,0.0,,0.0,,0.0,
diesel,澎湖尖山(註4),129.8,56.0,,55.2,,54.4,
diesel,金門塔山(註4),113.3,36.8,,36.1,,36.0,
diesel,馬祖珠山(註4),28.6,7.8,,7.9,,7.7,
diesel,離島其他(註4),42.7,N/A,,N/A,,N/A,
diesel,小計(註5),594.4(1.189%),100.6(0.380%),,99.2(0.373%),,98.1(0.371%),
hydro,德基#1,78.0,0.0,,0.0,,0.0,
hydro,德基#2,78.0,0.0,,0.0,,0.0,
hydro,德基#3,78.0,0.0,,0.0,,0.0,
hydro,青山#1,92.0,0.0,,0.0,,0.0,
hydro,青山#2,92.0,0.0,,0.0,,0.0,
hydro,青山#3,92.0,0.0,,0.0,,0.0,
hydro,青山#4,92.0,0.0,,0.0,,0.0,
hydro,谷關#1,54.4,0.0,,0.0,,0.0,
hydro,谷關#2,54.4,0.0,,0.0,,0.0,
hydro,谷關#3,54.4,15.7,,15.7,,16.8,
hydro,谷關#4,54.4,0.0,,0.0,,0.0,
hydro,天輪#1,22.5,12.7,,12.7,,12.7,
hydro,天輪#2,22.5,0.0,,0.0,,0.0,
hydro,天輪#3,22.5,12.9,,13.0,,12.9,
hydro,天輪#4,22.5,0.0,,0.0,,0.0,
hydro,天輪#5,105.0,0.0,,0.0,,0.0,
hydro,馬鞍#1,66.7,0.0,,0.0,,0.0,
hydro,馬鞍#2,66.7,32.0,,31.6,,32.4,
hydro,卓蘭#1,40.0,27.8,,27.6,,27.8,
hydro,卓蘭#2,40.0,27.3,,27.0,,27.0,
hydro,萬大#1,10.4,0.0,,0.0,,0.0,
hydro,萬大#2,10.4,0.0,,0.0,,0.0,
hydro,萬大#3,15.3,3.4,,3.3,,2.8,
hydro,萬大#4,19.7,0.0,,0.0,,0.0,
hydro,松林#1&amp;2,20.9,0.0,,0.0,,0.0,
hydro,大觀一#1,22.0,2.5,,4.8,,5.0,
hydro,大觀一#2,22.0,2.1,,5.2,,5.2,
hydro,大觀一#3,22.0,1.2,,5.2,,4.8,
hydro,大觀一#4,22.0,1.8,,5.2,,4.5,
hydro,大觀一#5,22.0,0.0,檢修,0.0,檢修,0.0,檢修
hydro,鉅工#1,21.8,0.0,歲修,0.0,歲修,0.0,歲修
hydro,鉅工#2,21.8,5.3,,4.7,,5.9,
hydro,水里#1,12.8,6.0,,6.0,,6.0,
hydro,立霧#1&amp;#2,32.0,25.0,,25.0,,25.0,
hydro,龍澗#1,48.6,25.2,,25.1,,25.2,
hydro,龍澗#2,48.6,0.0,,0.0,,0.0,
hydro,碧海,61.2,60.2,,60.3,,60.2,
hydro,烏來&amp;桂山&amp;粗坑,40.5,40.8,,40.8,,40.7,
hydro,北部小水力(註6),26.6,N/A,,N/A,,N/A,
hydro,中部小水力(註6),9.8,N/A,,N/A,,N/A,
hydro,南部小水力(註6),7.2,N/A,,N/A,,N/A,
hydro,東部小水力(註6),54.6,38.0,,38.0,,38.0,
hydro,翡翠#1,70.0,0.0,,0.0,,0.0,
hydro,石門#1,45.0,0.0,,0.0,,0.0,
hydro,石門#2,45.0,0.0,,0.0,,0.0,
hydro,曾文#1,50.0,0.0,,0.0,,0.0,
hydro,義興#1,40.0,38.5,,38.4,,38.5,
hydro,名間,16.7,14.9,,14.0,,14.7,
hydro,嘉南西口、烏山頭和八田,22.5,0.0,,0.0,,0.0,
hydro,后里示範,0.1,N/A,,N/A,,N/A,
hydro,卑南,2.0,0.8,,0.8,,0.8,
hydro,捷祥關山,1.0,0.0,,0.0,,0.0,
hydro,小計,2092.5(4.186%),433.1(1.634%),,443.4(1.668%),,445.9(1.687%),
wind,石門,4.0,0.0,,0.0,,0.0,
wind,林口,6.0,0.5,,0.5,,1.1,
wind,蘆竹,7.2,1.2,,1.9,,1.2,
wind,大潭,15.1,10.3,,10.1,,10.2,
wind,觀園,30.0,15.5,,16.2,,17.2,
wind,香山,12.0,4.4,,4.8,,6.5,
wind,台中,6.0,0.3,,0.1,,0.3,
wind,台中港,36.0,5.2,,5.2,,4.8,
wind,王功,23.0,2.3,,3.1,,3.9,
wind,彰工,71.2,13.5,,12.2,,12.1,
wind,永興,9.2,0.6,,0.8,,1.2,
wind,離岸一期(註10),-,1.7,,1.7,,2.0,
wind,雲麥,46.0,2.8,,3.1,,4.5,
wind,四湖,28.0,2.3,,2.8,,2.7,
wind,恆春,4.5,0.8,,0.9,,1.1,
wind,澎湖中屯,4.8,0.7,,0.7,,0.8,
wind,金門金沙,4.0,0.5,,0.3,,0.2,
wind,澎湖湖西,5.4,0.3,,0.3,,0.3,
wind,苗栗竹南,7.8,8.5,,9.0,,8.5,
wind,苗栗大鵬,42.0,12.5,,11.3,,10.6,
wind,鹿威彰濱,55.2,6.7,,5.6,,5.6,
wind,鹿威鹿港,41.4,4.8,,4.2,,4.5,
wind,觀威觀音&amp;桃威新屋,48.3,38.1,,34.4,,36.1,
wind,中威大安,75.9,1.8,,1.2,,1.3,
wind,崎威崎頂,6.9,4.6,,5.8,,3.9,
wind,豐威,11.5,10.8,,10.9,,10.9,
wind,龍威後龍,44.1,21.1,,19.9,,15.9,
wind,苗栗通苑,39.1,7.5,,6.4,,6.9,
wind,安威,11.5,1.1,,0.9,,0.5,
wind,清風清水,2.3,0.5,,0.4,,0.5,
wind,東鋼龍港,11.5,4.9,,4.8,,5.2,
wind,海洋竹南,128.0,89.2,,89.2,,89.2,
wind,禾風麥寮,2.3,0.2,,0.2,,0.2,
wind,小計,840.2(1.681%),275.3(1.038%),,269.0(1.012%),,270.0(1.022%),
solar,金門金沙,0.5,0.000,,0.000,,0.000,
solar,台中生水池,2.1,0.000,,0.000,,0.000,
solar,興達生水池,1.6,0.000,,0.000,,0.000,
solar,嘉義民雄,0.1,0.000,,0.000,,0.000,
solar,中部儲運,0.1,0.000,,0.000,,0.000,
solar,東勢新伯公,0.1,0.000,,0.000,,0.000,
solar,永安鹽灘地,4.6,0.000,,0.000,,0.000,
solar,路北,0.1,0.000,,0.000,,0.000,
solar,中原大學,0.0,0.000,,0.000,,0.000,
solar,大潭生水池,0.6,0.000,,0.000,,0.000,
solar,核三生水池,1.5,0.000,,0.000,,0.000,
solar,七美,0.4,0.000,,0.000,,0.000,
solar,尖山,0.1,0.000,,0.000,,0.000,
solar,卓蘭,0.0,0.000,,0.000,,0.000,
solar,后里,0.1,0.000,,0.000,,0.000,
solar,台中龍井,6.5,0.000,,0.000,,0.000,
solar,七股,1.8,0.000,,0.000,,0.000,
solar,龍潭E/S,0.2,0.000,,0.000,,0.000,
solar,竹工E/S,0.2,0.000,,0.000,,0.000,
solar,中科E/S,0.2,0.000,,0.000,,0.000,
solar,彰林E/S,0.3,0.000,,0.000,,0.000,
solar,高雄E/S,0.4,0.000,,0.000,,0.000,
solar,燕巢倉庫,0.5,0.000,,0.000,,0.000,
solar,大潭,0.7,0.000,,0.000,,0.000,
solar,北儲,0.9,0.000,,0.000,,0.000,
solar,彰濱光,100.0,0.000,,0.000,,0.000,
solar,南鹽光(註10),-,0.000,,0.000,,0.000,
solar,崙尾光,181.0,0.000,,0.000,,0.000,
solar,太陽能購電(註7),5562.9,0.000,,0.000,,0.000,
solar,小計,5867.5(11.736%),0.0(0.000%),,0.0(0.000%),,0.0(0.000%),
pumpinggen,大觀二#1,250.0,150.1,,149.4,,138.2,
pumpinggen,大觀二#2,250.0,0.0,檢修,0.0,檢修,0.0,檢修
pumpinggen,大觀二#3,250.0,0.0,,0.0,,0.0,
pumpinggen,大觀二#4,250.0,0.0,,0.0,,0.0,
pumpinggen,明潭#1,267.0,0.0,檢修,0.0,檢修,0.0,檢修
pumpinggen,明潭#2,267.0,167.2,,156.7,,140.9,
pumpinggen,明潭#3,267.0,196.8,,190.7,,174.9,
pumpinggen,明潭#4,267.0,168.5,,149.0,,146.3,
pumpinggen,明潭#5,267.0,168.9,,158.4,,148.7,
pumpinggen,明潭#6,267.0,0.0,,0.0,,0.0,
pumpinggen,小計,2602.0(5.205%),851.5(3.212%),,804.2(3.026%),,749.0(2.834%),
pumpingload,大觀二#1,-,0.0,,0.0,,0.0,
pumpingload,大觀二#2,-,0.0,檢修,0.0,檢修,0.0,檢修
pumpingload,大觀二#3,-,0.0,,0.0,,0.0,
pumpingload,大觀二#4,-,0.0,,0.0,,0.0,
pumpingload,明潭#1,-,0.0,檢修,0.0,檢修,0.0,檢修
pumpingload,明潭#2,-,0.0,,0.0,,0.0,
pumpingload,明潭#3,-,0.0,,0.0,,0.0,
pumpingload,明潭#4,-,0.0,,0.0,,0.0,
pumpingload,明潭#5,-,0.0,,0.0,,0.0,
pumpingload,明潭#6,-,0.0,,0.0,,0.0,
geothermal,小型地熱能,0.3,0.2,,0.2,,0.2,
geothermal,小計,0.3(0.001%),0.2(0.001%),,0.2(0.001%),,0.2(0.001%),
