type,name,capacity,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30
nuclear,核二#1,985.0,784.2,燃料限制,785.6,燃料限制,784.2,燃料限制,780.2,燃料限制,781.6,燃料限制,782.9,燃料限制,781.6,燃料限制,785.6,燃料限制,782.9,燃料限制,781.6,燃料限制,782.9,燃料限制,782.9,燃料限制,786.9,燃料限制,781.6,燃料限制,784.2,燃料限制,784.2,燃料限制,785.6,燃料限制,782.9,燃料限制,784.2,燃料限制,781.6,燃料限制,784.2,燃料限制,782.9,燃料限制,784.2,燃料限制,782.9,燃料限制,782.9,燃料限制,785.6,燃料限制,784.2,燃料限制,784.2,燃料限制,784.2,燃料限制
nuclear,核二#2,985.0,971.9,,973.2,,971.9,,969.2,,971.9,,973.2,,971.9,,973.2,,974.6,,971.9,,971.9,,973.2,,973.2,,971.9,,973.2,,973.2,,971.9,,970.6,,971.9,,973.2,,973.2,,973.2,,971.9,,973.2,,971.9,,974.6,,974.6,,974.6,,974.6,
nuclear,核三#1,951.0,949.5,,951.8,,951.8,,948.3,,947.2,,948.3,,950.6,,949.5,,949.5,,947.2,,948.3,,950.6,,948.3,,948.3,,947.2,,948.3,,950.6,,947.2,,948.3,,947.2,,949.5,,947.2,,947.2,,948.3,,947.2,,947.2,,947.2,,948.3,,948.3,
nuclear,核三#2,951.0,942.6,,943.8,,943.8,,941.5,,940.4,,941.5,,941.5,,940.4,,940.4,,939.2,,941.5,,940.4,,940.4,,939.2,,939.2,,940.4,,943.8,,942.6,,940.4,,939.2,,942.6,,939.2,,940.4,,940.4,,939.2,,940.4,,940.4,,940.4,,940.4,
nuclear,小計,3872.0(7.745%),3648.2(13.428%),,3654.4(13.561%),,3651.7(13.477%),,3639.2(13.554%),,3641.1(13.619%),,3645.9(13.733%),,3645.6(13.793%),,3648.7(13.912%),,3647.4(13.831%),,3639.9(13.974%),,3644.6(13.978%),,3647.1(14.093%),,3648.8(14.097%),,3641.0(14.167%),,3643.8(14.249%),,3646.1(14.227%),,3651.9(14.275%),,3643.3(14.344%),,3644.8(14.348%),,3641.2(14.368%),,3649.5(14.409%),,3642.5(14.382%),,3643.7(14.501%),,3644.8(14.443%),,3641.2(14.506%),,3647.8(14.469%),,3646.4(14.546%),,3647.5(14.592%),,3647.5(14.627%),
coal,林口#1,800.0,754.2,,756.7,,761.2,,756.0,,757.7,,756.7,,759.5,,755.7,,755.5,,759.0,,760.1,,755.1,,755.6,,759.5,,762.6,,757.5,,757.0,,759.2,,753.7,,756.6,,758.4,,754.7,,757.0,,757.8,,756.9,,756.8,,757.0,,755.2,,756.4,
coal,林口#2,800.0,758.8,,760.1,,762.2,,757.2,,759.6,,757.7,,761.2,,760.2,,759.0,,761.0,,762.2,,757.3,,759.7,,760.6,,763.7,,760.2,,759.0,,760.1,,756.8,,760.6,,760.1,,759.5,,760.3,,760.5,,758.3,,758.7,,759.6,,759.1,,760.2,
coal,林口#3,800.0,755.9,,760.9,,762.7,,757.3,,759.3,,757.2,,759.1,,759.4,,758.7,,763.1,,763.0,,758.0,,759.3,,761.1,,763.4,,760.8,,758.2,,760.3,,757.2,,759.2,,760.5,,758.7,,758.8,,759.4,,759.2,,758.6,,755.1,,752.8,,756.3,
coal,台中#1,550.0,374.5,,374.5,,378.5,,373.8,,376.9,,378.5,,376.9,,377.8,,373.0,,377.1,,379.1,,375.3,,373.8,,379.4,,380.1,,376.1,,376.9,,378.5,,377.6,,379.3,,377.0,,375.4,,376.9,,378.4,,379.9,,374.7,,378.6,,369.8,,380.8,
coal,台中#2,550.0,371.9,,383.5,,376.8,,375.0,,385.4,,377.5,,384.5,,374.3,,382.2,,376.8,,376.8,,379.0,,387.8,,373.9,,383.1,,380.8,,369.1,,386.3,,369.8,,379.1,,376.9,,373.0,,378.6,,373.6,,371.1,,373.7,,369.9,,386.2,,372.2,
