type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30
nuclear,核二#1,985.0,784.2,燃料限制,785.6,燃料限制,781.6,燃料限制,781.6,燃料限制,782.9,燃料限制,781.6,燃料限制,780.2,燃料限制,781.6,燃料限制,781.6,燃料限制,782.9,燃料限制,784.2,燃料限制,782.9,燃料限制,781.6,燃料限制,778.9,燃料限制,782.9,燃料限制,781.6,燃料限制,781.6,燃料限制,784.2,燃料限制,780.2,燃料限制,781.6,燃料限制,778.9,燃料限制,781.6,燃料限制,781.6,燃料限制,784.2,燃料限制,781.6,燃料限制,780.2,燃料限制,781.6,燃料限制,782.9,燃料限制,782.9,燃料限制,782.9,燃料限制,781.6,燃料限制,781.6,燃料限制,781.6,燃料限制,781.6,燃料限制
nuclear,核二#2,985.0,974.6,,977.3,,974.6,,974.6,,974.6,,974.6,,971.9,,974.6,,973.2,,974.6,,974.6,,974.6,,973.2,,971.9,,974.6,,974.6,,974.6,,974.6,,973.2,,974.6,,973.2,,975.9,,974.6,,974.6,,974.6,,973.2,,974.6,,973.2,,974.6,,974.6,,973.2,,973.2,,973.2,,971.9,
nuclear,核三#1,951.0,948.3,,950.6,,950.6,,949.5,,949.5,,949.5,,950.6,,949.5,,949.5,,949.5,,948.3,,949.5,,949.5,,948.3,,946.1,,947.2,,949.5,,948.3,,946.1,,947.2,,946.1,,946.1,,947.2,,949.5,,946.1,,947.2,,947.2,,946.1,,948.3,,947.2,,948.3,,947.2,,947.2,,947.2,
nuclear,核三#2,951.0,941.5,,941.5,,941.5,,940.4,,941.5,,941.5,,943.8,,941.5,,941.5,,942.6,,941.5,,941.5,,940.4,,940.4,,940.4,,940.4,,939.2,,940.4,,940.4,,939.2,,939.2,,941.5,,939.2,,938.1,,937.0,,940.4,,940.4,,939.2,,940.4,,939.2,,935.8,,939.2,,941.5,,939.2,
nuclear,小計,3872.0(7.745%),3648.6(12.799%),,3655.0(13.028%),,3648.3(13.022%),,3646.1(13.064%),,3648.5(13.173%),,3647.2(13.338%),,3646.5(13.376%),,3647.2(13.437%),,3645.8(13.487%),,3649.6(13.628%),,3648.6(13.766%),,3648.5(13.754%),,3644.7(13.816%),,3639.5(13.871%),,3644.0(13.958%),,3643.8(13.931%),,3644.9(14.085%),,3647.5(14.079%),,3639.9(14.218%),,3642.6(14.253%),,3637.4(14.313%),,3645.1(14.413%),,3642.6(14.477%),,3646.4(14.461%),,3639.3(14.404%),,3641.0(14.479%),,3643.8(14.470%),,3641.4(14.476%),,3646.2(14.521%),,3643.9(14.493%),,3638.9(14.540%),,3641.2(14.634%),,3643.5(14.716%),,3639.9(14.754%),
coal,林口#1,800.0,760.4,,757.8,,758.9,,761.7,,757.9,,758.3,,760.3,,759.9,,760.2,,759.1,,757.3,,760.9,,757.7,,760.0,,757.6,,754.9,,754.1,,759.2,,757.9,,756.3,,760.6,,754.7,,756.4,,756.4,,757.3,,756.3,,760.2,,758.7,,756.3,,750.9,,751.2,,757.8,,756.6,,757.6,
coal,林口#2,800.0,759.7,,759.6,,760.6,,761.8,,759.7,,759.8,,761.4,,760.5,,762.5,,759.5,,757.9,,761.3,,760.3,,761.9,,759.3,,758.1,,756.4,,760.4,,760.7,,759.6,,761.8,,755.9,,759.5,,759.4,,759.3,,760.4,,761.2,,761.7,,759.4,,759.2,,756.6,,761.9,,759.9,,759.8,
coal,林口#3,800.0,760.9,,759.7,,761.2,,763.7,,759.9,,759.3,,756.5,,757.4,,759.7,,759.0,,758.4,,762.2,,760.5,,759.6,,760.4,,758.8,,754.9,,761.6,,760.8,,758.1,,761.6,,757.5,,759.8,,760.6,,759.5,,761.1,,762.7,,764.8,,760.8,,759.5,,756.2,,764.4,,760.1,,761.1,
coal,台中#1,550.0,361.8,,336.6,,324.0,,337.0,,344.1,,338.8,,340.1,,334.8,,340.2,,337.0,,341.6,,337.0,,340.9,,339.2,,341.7,,334.6,,336.8,,337.7,,336.1,,339.9,,340.7,,337.7,,337.7,,338.5,,338.4,,332.1,,343.9,,342.2,,330.6,,340.7,,340.1,,334.5,,339.2,,338.1,
coal,台中#2,550.0,359.0,,337.7,,322.7,,326.6,,330.5,,335.9,,331.9,,333.1,,329.1,,331.4,,332.8,,333.1,,324.5,,324.5,,329.7,,324.3,,325.1,,325.9,,325.2,,326.5,,333.6,,334.5,,335.3,,328.4,,332.3,,325.2,,324.5,,336.0,,327.5,,333.8,,325.2,,333.8,,329.0,,334.4,
