type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,971.9,,970.6,,970.6,,971.9,,971.9,,969.2,,974.6,,971.9,,975.9,,975.9,,975.9,,974.6,,971.9,,974.6,,973.2,,973.2,,971.9,,974.6,,974.6,,973.2,,973.2,,973.2,,974.6,,974.6,,973.2,,971.9,,974.6,,974.6,,973.2,,974.6,,973.2,,971.9,,971.9,,974.6,,974.6,,970.6,,974.6,,973.2,,975.9,,973.2,,973.2,,973.2,,973.2,,973.2,,973.2,,973.2,,970.6,,971.9,,975.9,,973.2,,974.6,,973.2,,973.2,,973.2,,971.9,,971.9,,973.2,,970.6,,973.2,,973.2,,973.2,,969.2,,967.9,,969.2,,970.6,,971.9,,970.6,,969.2,,970.6,,969.2,,967.9,,967.9,,967.9,,969.2,,970.6,,970.6,,970.6,,970.6,,973.2,,971.9,,971.9,,971.9,,970.6,,971.9,,971.9,,970.6,,971.9,,971.9,
nuclear,核三#1,951.0,944.9,,944.9,,943.8,,939.2,,941.5,,944.9,,942.6,,940.4,,944.9,,942.6,,946.1,,943.8,,943.8,,943.8,,942.6,,944.9,,942.6,,944.9,,944.9,,941.5,,941.5,,944.9,,944.9,,944.9,,942.6,,943.8,,944.9,,944.9,,943.8,,944.9,,942.6,,943.8,,942.6,,943.8,,946.1,,942.6,,944.9,,943.8,,944.9,,944.9,,944.9,,944.9,,944.9,,943.8,,946.1,,942.6,,942.6,,941.5,,946.1,,943.8,,943.8,,943.8,,943.8,,946.1,,942.6,,942.6,,943.8,,943.8,,943.8,,944.9,,946.1,,943.8,,943.8,,942.6,,942.6,,942.6,,944.9,,944.9,,947.2,,944.9,,944.9,,944.9,,946.1,,944.9,,944.9,,946.1,,944.9,,943.8,,944.9,,944.9,,944.9,,947.2,,946.1,,943.8,,943.8,,944.9,,946.1,,946.1,
nuclear,核三#2,951.0,938.1,,939.2,,938.1,,935.8,,935.8,,934.7,,937.0,,931.3,,939.2,,937.0,,939.2,,937.0,,938.1,,938.1,,937.0,,938.1,,937.0,,938.1,,939.2,,937.0,,935.8,,938.1,,935.8,,938.1,,937.0,,938.1,,938.1,,939.2,,938.1,,939.2,,937.0,,938.1,,935.8,,938.1,,939.2,,937.0,,939.2,,938.1,,939.2,,938.1,,938.1,,938.1,,937.0,,937.0,,937.0,,937.0,,937.0,,935.8,,939.2,,937.0,,938.1,,937.0,,937.0,,938.1,,937.0,,935.8,,937.0,,938.1,,937.0,,935.8,,938.1,,937.0,,937.0,,937.0,,935.8,,935.8,,937.0,,935.8,,938.1,,935.8,,935.8,,935.8,,938.1,,937.0,,935.8,,935.8,,935.8,,935.8,,937.0,,937.0,,935.8,,937.0,,937.0,,935.8,,935.8,,935.8,,938.1,,935.8,
nuclear,小計,3872.0(7.745%),2854.9(9.378%),,2854.7(9.460%),,2852.5(9.552%),,2846.9(9.546%),,2849.2(9.615%),,2848.8(9.681%),,2854.2(9.811%),,2843.6(9.772%),,2860.0(9.971%),,2855.5(10.022%),,2861.2(10.122%),,2855.4(10.111%),,2853.8(10.151%),,2856.5(10.308%),,2852.8(10.344%),,2856.2(10.315%),,2851.5(10.358%),,2857.6(10.542%),,2858.7(10.505%),,2851.7(10.527%),,2850.5(10.534%),,2856.2(10.670%),,2855.3(10.665%),,2857.6(10.728%),,2852.8(10.761%),,2853.8(10.772%),,2857.6(10.846%),,2858.7(10.825%),,2855.1(10.941%),,2858.7(10.951%),,2852.8(10.952%),,2853.8(11.071%),,2850.3(11.042%),,2856.5(11.178%),,2859.9(11.283%),,2850.2(11.191%),,2858.7(11.296%),,2855.1(11.177%),,2860.0(11.214%),,2856.2(11.176%),,2856.2(11.260%),,2856.2(11.148%),,2855.1(11.119%),,2854.0(11.039%),,2856.3(10.997%),,2852.8(10.884%),,2850.2(10.784%),,2849.2(10.654%),,2861.2(10.559%),,2854.0(10.269%),,2856.5(10.244%),,2854.0(10.099%),,2854.0(10.011%),,2857.4(10.040%),,2851.5(9.892%),,2850.3(9.843%),,2854.0(9.781%),,2852.5(9.734%),,2854.0(9.737%),,2853.9(9.643%),,2857.4(9.539%),,2850.0(9.151%),,2848.7(9.018%),,2848.8(9.008%),,2849.0(8.937%),,2850.3(8.946%),,2852.5(8.972%),,2849.9(8.973%),,2855.9(8.991%),,2849.9(8.958%),,2848.6(8.825%),,2848.6(8.854%),,2852.1(8.728%),,2851.1(8.593%),,2851.3(8.563%),,2852.5(8.549%),,2851.3(8.510%),,2850.2(8.516%),,2855.1(8.558%),,2853.8(8.466%),,2852.6(8.526%),,2856.1(8.561%),,2853.7(8.548%),,2851.5(8.533%),,2851.5(8.589%),,2851.3(8.586%),,2856.1(8.635%),,2853.8(8.596%),
coal,林口#1,800.0,756.5,,760.5,,757.6,,759.3,,761.4,,762.1,,761.2,,758.2,,755.6,,759.5,,754.4,,757.9,,761.8,,760.1,,762.3,,760.5,,758.2,,758.8,,755.7,,757.2,,759.1,,759.7,,757.6,,760.2,,759.9,,757.8,,758.3,,756.7,,759.3,,754.2,,759.3,,759.8,,762.8,,749.9,,758.5,,762.6,,758.5,,761.2,,752.1,,759.7,,759.8,,759.3,,755.6,,758.8,,755.1,,760.9,,756.5,,761.8,,756.4,,761.0,,763.3,,759.8,,761.2,,760.0,,758.8,,755.9,,757.1,,759.4,,758.2,,756.5,,756.1,,757.2,,760.8,,757.4,,754.0,,748.6,,755.8,,758.1,,749.1,,760.9,,756.4,,757.5,,761.6,,760.9,,761.0,,758.2,,759.3,,758.0,,755.3,,754.6,,759.2,,757.4,,757.6,,756.1,,758.6,,757.1,,748.8,,757.8,
coal,林口#2,800.0,757.8,,761.1,,759.1,,760.6,,764.1,,764.4,,762.0,,761.3,,757.6,,758.5,,756.5,,758.6,,760.9,,759.1,,761.8,,760.9,,757.8,,761.3,,758.6,,759.1,,761.5,,762.4,,761.5,,760.6,,761.1,,760.1,,761.8,,758.2,,762.2,,759.5,,760.6,,760.5,,764.8,,751.7,,757.9,,763.1,,759.5,,762.0,,754.5,,759.2,,758.9,,760.7,,759.3,,761.4,,759.5,,762.8,,758.4,,762.3,,755.8,,759.0,,763.3,,761.5,,762.1,,760.1,,761.1,,758.1,,759.2,,760.8,,760.7,,759.4,,759.5,,761.1,,761.5,,760.7,,759.3,,752.4,,757.3,,763.3,,755.0,,762.9,,760.5,,759.8,,764.4,,764.6,,764.0,,761.5,,762.3,,760.6,,759.1,,758.6,,761.1,,762.9,,759.3,,758.2,,761.5,,760.9,,753.7,,761.7,
coal,林口#3,800.0,759.7,,761.4,,759.3,,761.4,,765.2,,764.0,,763.5,,761.5,,757.9,,760.0,,756.8,,759.5,,761.2,,760.2,,761.4,,758.7,,759.1,,760.6,,757.7,,760.4,,760.9,,757.9,,754.0,,757.8,,758.2,,760.1,,760.3,,759.0,,761.6,,758.8,,760.6,,760.2,,766.2,,750.9,,760.6,,763.1,,760.8,,762.0,,754.0,,760.6,,760.4,,759.9,,760.0,,762.9,,760.6,,764.4,,758.8,,760.8,,756.1,,757.5,,756.4,,755.4,,758.5,,759.5,,758.6,,758.1,,758.7,,759.5,,760.5,,756.2,,756.5,,760.3,,763.1,,760.9,,758.3,,751.8,,758.3,,765.2,,752.6,,756.5,,755.8,,757.7,,759.7,,760.6,,762.7,,759.9,,759.6,,757.3,,757.3,,756.3,,759.2,,757.8,,758.2,,759.4,,759.5,,758.7,,751.9,,760.0,
coal,台中#1,550.0,427.1,,430.1,,426.2,,427.9,,428.9,,424.2,,412.9,,410.4,,414.8,,453.4,,467.5,,464.1,,471.9,,477.0,,482.0,,470.9,,468.7,,470.2,,470.3,,473.6,,468.0,,468.3,,460.1,,466.4,,471.9,,465.8,,470.4,,466.5,,466.5,,465.7,,468.3,,472.2,,475.4,,466.8,,449.8,,434.2,,428.1,,429.5,,433.7,,429.2,,435.6,,430.1,,422.4,,420.5,,396.9,,406.5,,406.5,,405.9,,406.6,,405.6,,423.1,,435.0,,427.1,,433.5,,422.6,,426.3,,428.7,,430.9,,429.6,,411.4,,383.6,,472.9,,478.0,,472.7,,471.3,,464.6,,455.0,,437.1,,424.6,,431.7,,435.2,,470.8,,486.3,,484.3,,484.2,,509.0,,512.0,,510.3,,503.5,,510.1,,519.0,,523.8,,520.5,,517.9,,522.6,,518.0,,518.9,,515.0,
coal,台中#2,550.0,372.7,運轉限制,375.9,運轉限制,370.4,運轉限制,368.7,運轉限制,370.5,運轉限制,370.5,運轉限制,374.3,運轉限制,366.6,運轉限制,367.4,運轉限制,376.0,運轉限制,368.8,運轉限制,372.6,運轉限制,371.4,運轉限制,372.6,運轉限制,375.2,運轉限制,368.8,運轉限制,370.5,運轉限制,372.5,運轉限制,371.8,運轉限制,375.1,運轉限制,368.6,運轉限制,375.2,運轉限制,368.8,運轉限制,371.9,運轉限制,375.0,運轉限制,372.9,運轉限制,375.1,運轉限制,364.8,運轉限制,369.6,運轉限制,370.2,運轉限制,374.3,運轉限制,381.3,運轉限制,375.3,運轉限制,377.0,運轉限制,383.7,運轉限制,367.2,運轉限制,376.4,運轉限制,367.9,運轉限制,358.1,運轉限制,377.0,運轉限制,377.1,運轉限制,362.9,運轉限制,377.2,運轉限制,378.0,運轉限制,370.0,運轉限制,366.4,運轉限制,374.0,運轉限制,374.1,運轉限制,375.6,運轉限制,374.0,運轉限制,377.9,運轉限制,373.1,運轉限制,376.3,運轉限制,381.1,運轉限制,368.4,運轉限制,372.4,運轉限制,384.3,運轉限制,374.0,運轉限制,372.6,運轉限制,386.5,運轉限制,371.6,運轉限制,369.1,運轉限制,375.4,運轉限制,370.7,運轉限制,378.6,運轉限制,369.7,運轉限制,378.4,運轉限制,373.9,運轉限制,376.1,運轉限制,380.8,運轉限制,373.7,運轉限制,377.0,運轉限制,372.3,運轉限制,377.8,運轉限制,378.7,運轉限制,377.1,運轉限制,378.7,運轉限制,377.3,運轉限制,373.1,運轉限制,374.8,運轉限制,375.4,運轉限制,376.5,運轉限制,374.2,運轉限制,372.5,運轉限制,378.8,運轉限制,377.2,運轉限制,375.8,運轉限制,375.9,運轉限制
