type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,969.2,,970.6,,969.2,,967.9,,969.2,,970.6,,970.6,,967.9,,969.2,,971.9,,969.2,,971.9,,970.6,,970.6,,971.9,,970.6,,973.2,,973.2,,973.2,,971.9,,973.2,,974.6,,974.6,,974.6,,971.9,,973.2,,971.9,,973.2,,971.9,,971.9,,973.2,,971.9,,973.2,,971.9,,971.9,,973.2,,971.9,,969.2,,974.6,,973.2,,971.9,,973.2,,971.9,,970.6,,974.6,,969.2,,974.6,,973.2,,974.6,,971.9,,971.9,,971.9,,971.9,,970.6,
nuclear,核三#1,951.0,942.6,,943.8,,943.8,,942.6,,942.6,,946.1,,943.8,,943.8,,944.9,,941.5,,944.9,,947.2,,944.9,,942.6,,943.8,,943.8,,943.8,,943.8,,946.1,,944.9,,944.9,,946.1,,943.8,,942.6,,943.8,,941.5,,942.6,,942.6,,943.8,,941.5,,944.9,,943.8,,943.8,,942.6,,944.9,,944.9,,942.6,,942.6,,941.5,,944.9,,941.5,,943.8,,942.6,,941.5,,943.8,,942.6,,944.9,,943.8,,944.9,,943.8,,944.9,,944.9,,943.8,,942.6,
nuclear,核三#2,951.0,934.7,,935.8,,937.0,,935.8,,935.8,,939.2,,937.0,,937.0,,937.0,,935.8,,939.2,,935.8,,938.1,,935.8,,937.0,,935.8,,937.0,,937.0,,937.0,,937.0,,937.0,,938.1,,937.0,,935.8,,937.0,,934.7,,935.8,,935.8,,934.7,,933.5,,937.0,,937.0,,935.8,,935.8,,938.1,,937.0,,935.8,,937.0,,935.8,,938.1,,934.7,,937.0,,935.8,,933.5,,938.1,,935.8,,937.0,,937.0,,937.0,,937.0,,935.8,,935.8,,934.7,,934.7,
nuclear,小計,3872.0(7.745%),2846.5(9.618%),,2850.2(9.756%),,2850.0(9.735%),,2846.3(9.870%),,2847.6(9.876%),,2855.9(9.969%),,2851.4(10.022%),,2848.7(10.112%),,2851.1(10.155%),,2849.2(10.289%),,2853.3(10.321%),,2854.9(10.435%),,2853.6(10.440%),,2849.0(10.511%),,2852.7(10.563%),,2850.2(10.658%),,2854.0(10.654%),,2854.0(10.756%),,2856.3(10.806%),,2853.8(10.867%),,2855.1(10.877%),,2858.8(10.888%),,2855.4(11.019%),,2853.0(11.071%),,2852.7(11.118%),,2849.4(11.139%),,2850.3(11.142%),,2851.6(11.068%),,2850.4(11.234%),,2846.9(11.135%),,2855.1(11.249%),,2852.7(11.340%),,2852.8(11.433%),,2850.3(11.511%),,2854.9(11.545%),,2855.1(11.569%),,2850.3(11.450%),,2848.8(11.472%),,2851.9(11.473%),,2856.2(11.517%),,2848.1(11.452%),,2854.0(11.527%),,2850.3(11.417%),,2845.6(11.497%),,2856.5(11.459%),,2847.6(11.366%),,2856.5(11.387%),,2854.0(11.317%),,2856.5(11.313%),,2852.7(11.177%),,2852.6(11.079%),,2852.6(11.030%),,2850.4(10.942%),,2847.9(10.882%),
coal,林口#1,800.0,759.6,,750.9,,759.7,,762.7,,760.3,,757.7,,761.6,,757.1,,762.5,,762.6,,759.8,,755.0,,759.8,,760.3,,758.5,,761.4,,759.1,,757.0,,754.2,,756.2,,755.7,,752.9,,758.4,,755.8,,758.5,,753.0,,760.6,,760.3,,759.8,,753.5,,756.1,,756.7,,757.0,,757.1,,759.0,,754.9,,761.7,,762.5,,754.5,,755.9,,756.5,,753.0,,756.6,,759.1,,754.7,,763.6,,755.6,,758.2,,755.3,,761.0,,756.6,,754.6,,753.9,,757.7,
coal,林口#2,800.0,761.4,,755.3,,763.6,,765.2,,761.6,,759.9,,757.6,,759.6,,763.3,,764.8,,762.8,,759.6,,763.3,,762.4,,760.3,,762.8,,761.0,,758.5,,758.2,,759.9,,760.0,,757.0,,759.2,,760.6,,759.5,,759.3,,763.8,,762.0,,763.1,,760.0,,761.3,,760.3,,760.8,,761.4,,763.9,,760.0,,764.5,,765.7,,759.5,,759.8,,759.5,,757.1,,762.8,,761.2,,760.1,,764.4,,760.7,,761.0,,758.4,,762.6,,760.8,,755.7,,762.1,,759.9,
coal,林口#3,800.0,758.6,,750.5,,760.5,,760.8,,758.0,,756.9,,757.1,,758.0,,760.3,,761.1,,759.5,,757.1,,760.2,,758.6,,757.4,,759.7,,758.2,,756.3,,756.2,,758.7,,757.3,,752.7,,759.0,,756.0,,757.7,,755.5,,759.9,,758.1,,760.3,,756.1,,756.8,,753.3,,759.1,,758.2,,762.1,,758.6,,761.9,,764.2,,755.6,,757.3,,758.1,,755.9,,761.1,,761.5,,759.2,,765.8,,760.9,,760.3,,759.1,,764.1,,758.5,,753.6,,754.6,,756.1,
coal,台中#1,550.0,521.8,,515.7,,522.7,,518.9,,522.5,,520.0,,518.6,,518.5,,519.3,,521.9,,519.6,,519.5,,520.4,,525.8,,522.5,,520.3,,521.7,,519.3,,521.6,,519.5,,517.1,,521.7,,525.3,,525.2,,511.0,,493.8,,479.2,,480.6,,482.1,,479.0,,472.0,,453.6,,423.5,,429.2,,436.9,,432.2,,419.7,,383.1,,377.2,,387.3,,389.7,,385.8,,387.2,,352.0,,324.9,,348.2,,338.4,,338.3,,335.1,,342.4,,336.2,,345.2,,333.6,,339.1,
coal,台中#2,550.0,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修,0.0,檢修
