type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,946.4,運轉限制,945.1,運轉限制,947.8,運轉限制,945.1,運轉限制,946.4,運轉限制,946.4,運轉限制,942.4,運轉限制,946.4,運轉限制,943.7,運轉限制,945.1,運轉限制,943.7,運轉限制,946.4,運轉限制,945.1,運轉限制,943.7,運轉限制,945.1,運轉限制,946.4,運轉限制,943.7,運轉限制,943.7,運轉限制,945.1,運轉限制,943.7,運轉限制,942.4,運轉限制,943.7,運轉限制,943.7,運轉限制,943.7,運轉限制,945.1,運轉限制,945.1,運轉限制,945.1,運轉限制,945.1,運轉限制,943.7,運轉限制,943.7,運轉限制,942.4,運轉限制,945.1,運轉限制,945.1,運轉限制,942.4,運轉限制,943.7,運轉限制,943.7,運轉限制,945.1,運轉限制,943.7,運轉限制,946.4,運轉限制,945.1,運轉限制,943.7,運轉限制,946.4,運轉限制,946.4,運轉限制,946.4,運轉限制,947.8,運轉限制,946.4,運轉限制,947.8,運轉限制,946.4,運轉限制,947.8,運轉限制,947.8,運轉限制,947.8,運轉限制,945.1,運轉限制,945.1,運轉限制,946.4,運轉限制,949.1,運轉限制,947.8,運轉限制,947.8,運轉限制,947.8,運轉限制,945.1,運轉限制,946.4,運轉限制,947.8,運轉限制,946.4,運轉限制,946.4,運轉限制,947.8,運轉限制,946.4,運轉限制,945.1,運轉限制,946.4,運轉限制,942.4,運轉限制,945.1,運轉限制,943.7,運轉限制,943.7,運轉限制,943.7,運轉限制,943.7,運轉限制,943.7,運轉限制
nuclear,核三#1,951.0,943.8,,943.8,,946.1,,942.6,,944.9,,942.6,,943.8,,941.5,,941.5,,941.5,,942.6,,943.8,,942.6,,943.8,,943.8,,943.8,,943.8,,941.5,,944.9,,942.6,,942.6,,941.5,,943.8,,943.8,,944.9,,943.8,,946.1,,940.4,,942.6,,942.6,,942.6,,943.8,,943.8,,942.6,,943.8,,943.8,,943.8,,943.8,,943.8,,942.6,,943.8,,942.6,,942.6,,942.6,,944.9,,942.6,,942.6,,942.6,,944.9,,946.1,,941.5,,943.8,,942.6,,941.5,,943.8,,944.9,,944.9,,941.5,,942.6,,943.8,,943.8,,942.6,,942.6,,943.8,,941.5,,940.4,,941.5,,940.4,,942.6,,942.6,,941.5,,941.5,,941.5,,941.5,
nuclear,核三#2,951.0,937.0,,933.5,,939.2,,935.8,,937.0,,937.0,,935.8,,935.8,,935.8,,937.0,,935.8,,937.0,,935.8,,935.8,,935.8,,935.8,,934.7,,935.8,,937.0,,934.7,,935.8,,935.8,,937.0,,934.7,,935.8,,937.0,,938.1,,934.7,,935.8,,935.8,,934.7,,937.0,,937.0,,934.7,,937.0,,937.0,,937.0,,938.1,,935.8,,937.0,,938.1,,935.8,,935.8,,935.8,,937.0,,935.8,,935.8,,935.8,,938.1,,939.2,,938.1,,937.0,,937.0,,934.7,,935.8,,937.0,,938.1,,934.7,,937.0,,938.1,,937.0,,934.7,,934.7,,937.0,,934.7,,934.7,,935.8,,934.7,,935.8,,935.8,,935.8,,934.7,,935.8,,935.8,
nuclear,小計,3872.0(7.745%),2827.2(8.981%),,2822.4(9.074%),,2833.1(9.233%),,2823.5(9.264%),,2828.3(9.387%),,2826.0(9.408%),,2822.0(9.466%),,2823.7(9.517%),,2821.0(9.607%),,2823.6(9.696%),,2822.1(9.679%),,2827.2(9.861%),,2823.5(9.849%),,2823.3(9.940%),,2824.7(9.948%),,2826.0(10.036%),,2822.2(10.077%),,2821.0(10.061%),,2827.0(10.164%),,2821.0(10.143%),,2820.8(10.218%),,2821.0(10.272%),,2824.5(10.366%),,2822.2(10.378%),,2825.8(10.454%),,2825.9(10.402%),,2829.3(10.442%),,2820.2(10.431%),,2822.1(10.506%),,2822.1(10.567%),,2819.7(10.573%),,2825.9(10.652%),,2825.9(10.756%),,2819.7(10.688%),,2824.5(10.805%),,2824.5(10.704%),,2825.9(10.744%),,2825.6(10.605%),,2826.0(10.752%),,2824.7(10.646%),,2825.6(10.599%),,2824.8(10.561%),,2824.8(10.514%),,2824.8(10.332%),,2829.7(10.226%),,2824.8(10.097%),,2826.2(9.943%),,2824.8(9.730%),,2830.8(9.443%),,2833.1(8.982%),,2827.4(8.788%),,2825.9(8.605%),,2824.7(8.483%),,2822.6(8.387%),,2828.7(8.281%),,2829.7(8.206%),,2830.8(8.146%),,2824.0(8.086%),,2824.7(8.089%),,2828.3(8.032%),,2828.6(8.049%),,2823.7(7.929%),,2823.7(7.928%),,2828.6(7.938%),,2822.6(7.878%),,2820.2(7.799%),,2823.7(7.771%),,2817.5(7.694%),,2823.5(7.659%),,2822.1(7.673%),,2821.0(7.634%),,2819.9(7.623%),,2821.0(7.719%),,2821.0(7.847%),
coal,林口#1,800.0,755.9,,758.8,,753.8,,758.5,,756.9,,757.1,,761.5,,756.2,,755.8,,756.6,,761.4,,756.8,,755.1,,759.7,,759.0,,754.1,,759.6,,758.1,,748.9,,757.0,,760.7,,763.2,,756.0,,761.1,,758.2,,756.3,,759.1,,757.0,,761.5,,760.9,,760.1,,755.2,,761.3,,762.3,,759.2,,756.6,,757.8,,755.0,,752.9,,754.9,,754.8,,756.0,,757.9,,762.3,,757.3,,759.5,,758.2,,756.6,,752.5,,755.3,,758.0,,762.2,,766.0,,758.5,,759.8,,755.9,,756.0,,754.3,,758.5,,761.0,,750.9,,755.3,,760.5,,756.7,,760.7,,757.5,,756.9,,762.2,,756.2,,764.0,,760.5,,757.1,,752.2,,757.5,
coal,林口#2,800.0,759.5,,762.6,,757.9,,760.7,,760.5,,759.2,,763.8,,758.7,,758.2,,758.3,,761.6,,756.2,,758.3,,762.8,,760.8,,755.7,,760.4,,760.2,,754.2,,758.9,,763.3,,763.9,,759.4,,764.5,,760.1,,759.4,,760.3,,759.6,,763.8,,760.9,,761.8,,756.4,,763.4,,765.3,,760.8,,759.6,,761.6,,760.1,,756.2,,758.4,,759.5,,759.4,,760.5,,764.0,,760.4,,761.2,,760.1,,759.9,,756.3,,759.2,,761.8,,763.0,,765.0,,760.0,,761.5,,758.5,,758.2,,757.7,,761.4,,761.1,,754.8,,758.2,,763.1,,758.9,,761.2,,760.3,,758.5,,763.0,,757.9,,762.5,,760.1,,757.8,,753.6,,757.4,
coal,林口#3,800.0,758.7,,763.4,,759.1,,762.2,,761.0,,759.5,,763.7,,758.5,,759.7,,759.6,,762.9,,759.4,,759.6,,764.5,,762.2,,756.3,,763.9,,761.3,,754.3,,760.2,,763.9,,765.7,,760.4,,765.6,,759.4,,759.1,,760.5,,758.9,,761.2,,761.2,,758.7,,754.2,,762.9,,764.6,,761.8,,760.5,,760.7,,760.4,,757.9,,757.4,,759.9,,758.9,,761.0,,765.6,,759.2,,763.6,,760.8,,760.4,,757.5,,757.8,,760.0,,763.5,,765.8,,761.0,,760.9,,759.4,,759.7,,759.2,,762.3,,762.7,,754.6,,759.2,,765.2,,759.9,,761.3,,755.9,,758.5,,760.7,,755.7,,758.9,,756.9,,757.1,,753.8,,757.7,
coal,台中#1,550.0,472.3,,477.9,,474.5,,477.8,,480.0,,472.3,,473.1,,466.6,,472.1,,474.4,,476.8,,471.3,,477.6,,480.9,,475.1,,471.9,,475.1,,473.5,,462.9,,450.6,,430.7,,413.8,,394.6,,392.7,,386.8,,374.4,,381.3,,380.6,,382.1,,386.8,,382.9,,379.0,,383.8,,386.0,,376.6,,382.7,,385.1,,377.9,,379.6,,378.2,,378.9,,379.7,,382.0,,381.4,,382.2,,375.0,,379.7,,378.2,,383.4,,385.8,,379.6,,381.8,,383.0,,379.0,,381.2,,381.4,,382.2,,379.7,,381.0,,385.2,,378.0,,382.6,,380.5,,382.7,,384.4,,380.1,,381.7,,384.4,,379.7,,386.5,,380.9,,393.1,,415.8,,436.6,
coal,台中#2,550.0,467.1,,474.4,,462.1,,477.7,,463.7,,466.0,,466.9,,463.0,,464.3,,466.9,,463.8,,472.3,,466.8,,473.9,,473.9,,466.9,,469.3,,473.9,,460.9,,434.3,,417.2,,397.7,,379.1,,383.4,,382.7,,383.5,,387.5,,386.5,,387.6,,389.0,,388.2,,373.3,,386.0,,395.4,,378.0,,386.0,,381.4,,384.7,,387.0,,368.4,,387.2,,376.9,,381.8,,385.1,,380.5,,379.0,,383.7,,383.8,,386.1,,413.4,,434.4,,460.6,,484.0,,503.2,,511.9,,525.6,,522.5,,512.3,,520.6,,527.3,,514.2,,514.1,,525.1,,527.2,,516.6,,512.4,,509.2,,519.0,,513.6,,521.3,,514.4,,513.4,,510.2,,521.1,
