type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,970.6,,970.6,,970.6,,970.6,,970.6,,971.9,,967.9,,975.9,,970.6,,971.9,,971.9,,971.9,,970.6,,969.2,,973.2,,970.6,,970.6,,973.2,,969.2,,967.9,,971.9,,971.9,,970.6,,971.9,,971.9,,971.9,,970.6,,969.2,,971.9,,973.2,,971.9,,971.9,,973.2,,973.2,,970.6,,971.9,,970.6,,974.6,,971.9,,973.2,,971.9,,973.2,,971.9,,971.9,,973.2,,970.6,,973.2,,970.6,,973.2,,975.9,,973.2,,974.6,,973.2,,973.2,,973.2,,970.6,,971.9,,971.9,,971.9,,975.9,,973.2,,971.9,,973.2,,971.9,,970.6,,973.2,,969.2,,973.2,,971.9,,971.9,,970.6,,969.2,,969.2,,971.9,,967.9,,970.6,,967.9,,970.6,
nuclear,核三#1,951.0,943.8,,943.8,,943.8,,943.8,,946.1,,943.8,,942.6,,944.9,,943.8,,943.8,,942.6,,944.9,,946.1,,942.6,,946.1,,946.1,,942.6,,943.8,,943.8,,943.8,,944.9,,943.8,,940.4,,942.6,,943.8,,946.1,,942.6,,943.8,,942.6,,943.8,,944.9,,943.8,,943.8,,944.9,,943.8,,943.8,,943.8,,946.1,,941.5,,944.9,,943.8,,944.9,,942.6,,941.5,,944.9,,944.9,,943.8,,943.8,,946.1,,943.8,,942.6,,944.9,,946.1,,942.6,,944.9,,942.6,,941.5,,942.6,,943.8,,942.6,,943.8,,943.8,,942.6,,939.2,,942.6,,943.8,,942.6,,941.5,,943.8,,941.5,,944.9,,943.8,,942.6,,944.9,,940.4,,942.6,,941.5,,942.6,
nuclear,核三#2,951.0,940.4,,938.1,,935.8,,937.0,,938.1,,937.0,,935.8,,937.0,,934.7,,938.1,,935.8,,938.1,,935.8,,934.7,,939.2,,938.1,,934.7,,935.8,,938.1,,937.0,,937.0,,935.8,,934.7,,935.8,,937.0,,935.8,,935.8,,935.8,,934.7,,935.8,,937.0,,937.0,,937.0,,938.1,,938.1,,937.0,,935.8,,938.1,,934.7,,938.1,,937.0,,938.1,,935.8,,933.5,,938.1,,937.0,,937.0,,937.0,,939.2,,937.0,,935.8,,938.1,,939.2,,938.1,,938.1,,914.2,,893.7,,873.2,,849.4,,822.0,,803.8,,784.5,,766.3,,748.1,,735.6,,747.0,,767.4,,790.2,,809.5,,827.7,,853.9,,874.4,,896.0,,919.9,,925.6,,934.7,,932.4,,935.8,
nuclear,小計,3872.0(7.745%),2854.8(9.477%),,2852.5(9.490%),,2850.2(9.572%),,2851.4(9.706%),,2854.8(9.740%),,2852.7(9.858%),,2846.3(9.853%),,2857.8(10.009%),,2849.1(10.035%),,2853.8(10.101%),,2850.3(10.093%),,2854.9(10.189%),,2852.5(10.257%),,2846.5(10.259%),,2858.5(10.398%),,2854.8(10.396%),,2847.9(10.442%),,2852.8(10.499%),,2851.1(10.579%),,2848.7(10.620%),,2853.8(10.670%),,2851.5(10.734%),,2845.7(10.737%),,2850.3(10.773%),,2852.7(10.859%),,2853.8(10.915%),,2849.0(10.959%),,2848.8(10.943%),,2849.2(10.951%),,2852.8(11.037%),,2853.8(11.083%),,2852.7(11.128%),,2854.0(11.220%),,2856.2(11.265%),,2852.5(11.406%),,2852.7(11.376%),,2850.2(11.310%),,2858.8(11.388%),,2848.1(11.279%),,2856.2(11.495%),,2852.7(11.372%),,2856.2(11.373%),,2850.3(11.299%),,2846.9(11.166%),,2856.2(11.376%),,2852.5(11.212%),,2854.0(11.284%),,2851.4(11.140%),,2858.5(11.154%),,2856.7(11.001%),,2851.6(10.784%),,2857.6(10.810%),,2858.5(10.776%),,2853.9(10.604%),,2856.2(10.632%),,2827.4(10.363%),,2807.1(10.299%),,2787.7(10.226%),,2765.1(10.069%),,2740.5(9.934%),,2720.8(9.747%),,2700.2(9.590%),,2682.1(9.557%),,2659.2(9.359%),,2648.8(9.316%),,2664.0(9.356%),,2679.2(9.246%),,2704.9(9.327%),,2725.2(9.273%),,2741.1(9.286%),,2769.4(9.321%),,2787.4(9.318%),,2807.8(9.333%),,2836.7(9.433%),,2833.9(9.336%),,2847.9(9.406%),,2841.8(9.340%),,2849.0(9.294%),
coal,林口#1,800.0,753.6,,758.7,,754.6,,758.3,,755.5,,751.5,,761.3,,754.6,,757.1,,757.1,,754.7,,756.4,,755.0,,753.8,,753.3,,755.3,,751.9,,753.0,,760.4,,758.5,,757.4,,755.5,,757.1,,757.2,,752.4,,755.7,,760.4,,758.0,,756.9,,757.5,,760.9,,760.3,,753.0,,754.7,,756.0,,759.3,,756.9,,749.1,,755.4,,750.9,,760.5,,758.0,,757.1,,756.8,,760.3,,759.8,,757.3,,759.8,,753.2,,754.8,,758.3,,753.9,,756.4,,752.9,,760.0,,754.9,,760.9,,753.1,,757.8,,751.7,,759.7,,760.9,,755.4,,755.3,,760.7,,759.3,,760.8,,757.4,,760.9,,752.9,,755.6,,762.4,,758.9,,753.7,,757.8,,751.1,,757.2,,755.2,
coal,林口#2,800.0,757.9,,764.9,,761.1,,762.4,,760.6,,754.5,,765.0,,757.3,,761.3,,760.8,,759.8,,759.9,,760.4,,764.6,,760.4,,760.7,,759.3,,759.8,,762.6,,761.8,,760.1,,759.5,,761.5,,760.5,,756.4,,758.5,,761.6,,762.3,,761.6,,760.8,,764.7,,763.9,,757.5,,760.0,,760.8,,763.4,,763.2,,753.6,,759.3,,755.1,,763.4,,761.2,,760.8,,760.7,,761.8,,764.1,,761.1,,763.2,,758.3,,759.5,,763.8,,757.7,,760.1,,759.8,,764.3,,761.5,,764.0,,757.6,,760.9,,757.0,,761.3,,765.0,,759.4,,754.8,,760.3,,760.2,,762.3,,761.1,,763.9,,757.0,,760.3,,765.0,,762.4,,760.6,,764.6,,754.6,,760.5,,760.2,
coal,林口#3,800.0,759.2,,764.7,,760.5,,761.5,,761.4,,755.2,,766.3,,758.9,,761.9,,762.1,,760.9,,760.1,,761.1,,765.2,,760.2,,760.4,,758.9,,758.4,,763.8,,762.8,,761.3,,758.4,,760.7,,760.7,,754.5,,756.7,,757.8,,760.3,,756.3,,761.3,,762.1,,765.1,,758.7,,758.9,,760.9,,764.6,,762.4,,753.4,,760.1,,754.8,,764.5,,760.2,,762.1,,761.6,,764.3,,764.0,,760.6,,764.9,,755.3,,759.2,,761.3,,757.5,,759.2,,756.1,,763.9,,763.7,,663.1,,671.2,,670.4,,663.1,,667.9,,683.4,,679.1,,660.5,,669.5,,753.9,,754.9,,755.1,,758.5,,752.9,,757.5,,764.6,,758.2,,756.9,,757.5,,749.8,,756.3,,756.9,
coal,台中#1,550.0,481.2,,488.1,,486.5,,492.7,,486.4,,481.7,,486.2,,483.1,,481.5,,484.5,,482.4,,482.4,,487.8,,490.2,,493.3,,480.9,,487.5,,485.6,,491.0,,488.7,,490.1,,491.9,,490.4,,493.4,,484.2,,489.2,,490.8,,488.0,,500.3,,495.1,,496.9,,496.0,,488.3,,496.7,,495.4,,484.3,,471.2,,478.2,,480.9,,475.5,,459.3,,425.4,,428.8,,433.5,,440.9,,422.5,,394.9,,382.4,,384.0,,390.0,,377.2,,399.7,,430.6,,428.7,,456.6,,469.2,,486.5,,476.6,,475.0,,467.6,,469.2,,476.2,,473.0,,471.9,,478.3,,477.7,,478.5,,476.9,,493.5,,516.0,,525.2,,517.6,,519.7,,516.4,,525.0,,515.2,,511.2,,514.6,
coal,台中#2,550.0,517.1,,521.2,,510.2,,522.5,,513.9,,525.6,,518.2,,516.2,,510.7,,519.4,,525.8,,519.0,,512.5,,523.5,,516.7,,516.5,,512.5,,512.3,,517.3,,523.3,,521.1,,515.8,,515.7,,514.2,,517.2,,517.5,,515.9,,513.5,,519.0,,516.5,,519.8,,516.6,,515.7,,520.4,,497.1,,486.5,,469.5,,465.2,,465.8,,475.4,,457.6,,415.6,,415.4,,415.3,,427.0,,402.0,,375.1,,377.6,,360.2,,371.0,,379.7,,397.3,,418.5,,416.9,,450.0,,463.6,,467.9,,471.7,,465.3,,465.8,,465.8,,470.5,,471.0,,464.8,,471.6,,472.3,,473.8,,480.5,,493.1,,505.5,,514.8,,520.6,,524.7,,516.7,,521.8,,520.6,,519.5,,518.6,
