type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,971.9,,969.2,,970.6,,971.9,,970.6,,967.9,,969.2,,970.6,,970.6,,967.9,,969.2,,969.2,,969.2,,970.6,,966.5,,971.9,,971.9,,970.6,,969.2,,971.9,,970.6,,970.6,,970.6,,971.9,
nuclear,核三#1,951.0,950.6,,947.2,,947.2,,948.3,,947.2,,946.1,,944.9,,946.1,,943.8,,948.3,,948.3,,946.1,,947.2,,949.5,,947.2,,948.3,,946.1,,947.2,,944.9,,947.2,,946.1,,944.9,,946.1,,944.9,
nuclear,核三#2,951.0,943.8,,941.5,,941.5,,940.4,,941.5,,939.2,,938.1,,939.2,,938.1,,940.4,,941.5,,938.1,,939.2,,941.5,,939.2,,940.4,,940.4,,940.4,,938.1,,938.1,,939.2,,937.0,,939.2,,938.1,
nuclear,小計,3872.0(7.745%),2866.3(9.917%),,2857.9(9.916%),,2859.3(10.029%),,2860.6(10.052%),,2859.3(10.127%),,2853.2(10.214%),,2852.2(10.226%),,2855.9(10.335%),,2852.5(10.344%),,2856.6(10.441%),,2859.0(10.504%),,2853.4(10.508%),,2855.6(10.592%),,2861.6(10.657%),,2852.9(10.698%),,2860.6(10.833%),,2858.4(10.895%),,2858.2(10.842%),,2852.2(10.929%),,2857.2(10.978%),,2855.9(11.049%),,2852.5(11.083%),,2855.9(11.088%),,2854.9(11.195%),
coal,林口#1,800.0,757.3,,761.2,,758.9,,754.4,,755.2,,757.9,,755.7,,758.2,,761.9,,756.6,,759.3,,756.4,,759.1,,753.7,,761.4,,753.0,,759.9,,753.0,,756.4,,755.3,,755.9,,754.9,,754.8,,753.3,
coal,林口#2,800.0,757.2,,763.1,,760.8,,757.1,,756.6,,759.3,,757.2,,755.2,,762.1,,760.1,,761.5,,759.5,,761.1,,756.7,,763.2,,756.4,,762.0,,756.1,,760.5,,760.5,,758.7,,759.6,,759.6,,756.3,
coal,林口#3,800.0,758.3,,763.9,,762.2,,758.0,,759.3,,762.0,,760.4,,760.9,,765.4,,761.1,,759.9,,760.6,,761.9,,756.7,,764.7,,755.1,,762.4,,753.1,,757.2,,759.3,,756.0,,759.0,,758.0,,756.8,
coal,台中#1,550.0,511.7,,511.4,,476.3,,473.6,,468.6,,474.2,,476.7,,475.9,,476.6,,473.5,,475.1,,467.0,,475.7,,476.3,,482.7,,476.4,,476.6,,469.7,,475.3,,470.1,,476.5,,468.7,,471.7,,457.1,
coal,台中#2,550.0,509.6,,506.8,,481.1,,472.4,,466.0,,476.1,,468.0,,473.6,,475.9,,473.8,,474.1,,468.7,,466.7,,474.6,,473.1,,470.5,,471.6,,467.6,,474.8,,469.2,,464.4,,475.3,,464.6,,453.5,
coal,台中#3,550.0,488.2,,481.7,,471.9,,476.5,,474.1,,476.6,,473.3,,479.1,,474.1,,475.0,,477.9,,472.4,,479.7,,475.7,,473.3,,477.2,,477.9,,474.0,,477.1,,482.8,,481.6,,479.4,,476.2,,461.5,
coal,台中#4,550.0,488.8,,463.5,,460.5,,462.6,,466.9,,464.1,,461.0,,474.6,,461.3,,465.8,,461.9,,461.7,,464.2,,465.1,,464.4,,466.6,,464.4,,464.6,,461.6,,461.9,,460.4,,465.1,,460.5,,441.8,
coal,台中#5,550.0,527.2,,511.4,,487.1,,486.3,,486.2,,487.0,,486.2,,487.0,,486.2,,486.8,,485.3,,485.3,,487.5,,487.5,,482.2,,485.1,,484.4,,485.9,,486.6,,484.9,,485.7,,484.9,,486.6,,457.6,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,489.4,,493.9,,493.2,,475.7,,467.1,,476.7,,462.0,,464.2,,457.2,,462.3,,464.1,,463.9,,462.2,,471.7,,471.7,,463.4,,468.4,,467.6,,494.2,,470.1,,423.6,,436.5,,431.5,,497.7,
coal,台中#8,550.0,533.5,,531.9,,528.1,,518.1,,492.1,,486.8,,488.2,,486.7,,490.6,,485.9,,488.2,,489.8,,490.7,,489.0,,489.0,,489.0,,488.2,,491.4,,490.7,,489.0,,489.1,,489.1,,489.8,,493.7,
coal,台中#9,550.0,496.1,,495.3,,496.5,,499.8,,491.7,,489.8,,495.2,,496.7,,495.9,,492.6,,498.5,,497.1,,496.5,,496.5,,495.7,,495.8,,498.8,,497.8,,495.9,,496.9,,496.4,,496.4,,496.5,,495.8,
coal,台中#10,550.0,506.4,,507.8,,508.0,,486.7,,475.7,,477.9,,477.1,,478.0,,477.9,,477.4,,478.7,,476.3,,477.7,,476.7,,478.4,,476.4,,478.9,,476.7,,477.9,,478.8,,476.5,,477.4,,477.4,,477.4,
coal,興達#1(註12),500.0,453.1,,454.3,,460.7,,453.7,,444.8,,444.2,,442.9,,432.8,,432.2,,439.1,,442.3,,434.1,,447.4,,444.8,,434.7,,432.2,,425.2,,429.0,,426.5,,422.7,,433.4,,420.1,,422.0,,436.0,
coal,興達#2(註12),500.0,474.0,,475.2,,475.9,,476.5,,475.9,,477.8,,480.3,,476.5,,472.1,,473.3,,469.5,,468.3,,475.2,,472.1,,472.7,,475.2,,474.0,,468.9,,480.3,,475.9,,471.4,,479.6,,473.3,,476.5,
coal,興達#3(註12),550.0,519.1,,520.6,,516.8,,520.6,,512.1,,519.1,,520.6,,519.8,,516.0,,519.1,,522.1,,517.5,,516.0,,519.1,,517.5,,521.4,,516.8,,521.4,,510.6,,518.3,,519.1,,519.1,,515.2,,516.0,
coal,興達#4(註12),550.0,521.7,,520.9,,520.2,,517.1,,514.8,,522.5,,518.6,,517.8,,520.2,,520.9,,517.1,,515.5,,520.2,,518.6,,521.7,,520.2,,521.7,,519.4,,517.1,,519.4,,524.8,,524.8,,513.2,,517.8,
coal,大林#1,800.0,760.1,,763.1,,760.1,,760.1,,760.1,,758.6,,758.6,,758.6,,760.1,,758.6,,758.6,,755.5,,760.1,,758.6,,758.6,,755.5,,761.6,,758.6,,757.0,,757.0,,758.6,,760.1,,758.6,,758.6,
coal,大林#2,800.0,763.4,,764.9,,761.8,,763.4,,760.3,,763.4,,760.3,,760.3,,761.8,,761.8,,761.8,,760.3,,761.8,,763.4,,761.8,,760.3,,761.8,,763.4,,761.8,,760.3,,760.3,,761.8,,761.8,,761.8,
coal,小計,11600.0(23.203%),10315.1(35.687%),,10290.9(35.707%),,10180.1(35.706%),,10112.6(35.535%),,10027.5(35.516%),,10074.0(36.064%),,10042.3(36.005%),,10055.9(36.389%),,10047.5(36.434%),,10043.7(36.711%),,10055.9(36.945%),,10009.9(36.862%),,10063.7(37.330%),,10056.8(37.452%),,10066.8(37.750%),,10029.7(37.982%),,10054.6(38.324%),,10018.2(38.003%),,10061.5(38.553%),,10032.4(38.547%),,9992.4(38.658%),,10011.8(38.899%),,9971.3(38.714%),,9969.2(39.093%),
cogen,汽電共生,618.0,635.2,,594.7,,775.7,,838.6,,830.5,,782.1,,850.9,,720.1,,799.7,,947.7,,736.0,,817.1,,754.3,,751.5,,731.6,,768.9,,752.5,,981.5,,828.0,,760.8,,820.0,,760.2,,767.3,,707.1,
