type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,966.5,,970.6,,973.2,,971.9,,971.9,,970.6,,973.2,,970.6,,970.6,,971.9,,970.6,,971.9,,969.2,,971.9,,970.6,,971.9,,969.2,,970.6,,971.9,,970.6,,970.6,,970.6,,973.2,,971.9,,971.9,,967.9,,970.6,,970.6,,967.9,,969.2,,971.9,,971.9,,969.2,,971.9,,971.9,,969.2,,966.5,,970.6,,969.2,,971.9,,971.9,,973.2,,967.9,,969.2,,969.2,,970.6,,969.2,,970.6,,967.9,,969.2,,969.2,,969.2,,971.9,,970.6,,970.6,,970.6,,971.9,,970.6,
nuclear,核三#1,951.0,946.1,,944.9,,949.5,,949.5,,946.1,,948.3,,948.3,,948.3,,944.9,,947.2,,948.3,,947.2,,944.9,,948.3,,947.2,,948.3,,948.3,,946.1,,947.2,,948.3,,946.1,,946.1,,946.1,,946.1,,946.1,,946.1,,946.1,,943.8,,943.8,,943.8,,944.9,,944.9,,944.9,,944.9,,946.1,,943.8,,944.9,,946.1,,944.9,,943.8,,946.1,,943.8,,943.8,,942.6,,946.1,,944.9,,943.8,,943.8,,944.9,,944.9,,944.9,,944.9,,944.9,,944.9,,943.8,,946.1,,944.9,,944.9,
nuclear,核三#2,951.0,938.1,,939.2,,940.4,,941.5,,938.1,,940.4,,940.4,,940.4,,938.1,,940.4,,942.6,,940.4,,939.2,,941.5,,940.4,,940.4,,940.4,,939.2,,940.4,,941.5,,939.2,,939.2,,939.2,,939.2,,939.2,,938.1,,938.1,,939.2,,935.8,,937.0,,938.1,,938.1,,937.0,,937.0,,938.1,,935.8,,938.1,,938.1,,938.1,,937.0,,940.4,,935.8,,935.8,,937.0,,938.1,,937.0,,938.1,,935.8,,937.0,,937.0,,937.0,,937.0,,937.0,,938.1,,937.0,,938.1,,938.1,,938.1,
nuclear,小計,3872.0(7.677%),2850.7(9.190%),,2854.7(9.387%),,2863.1(9.432%),,2862.9(9.516%),,2856.1(9.485%),,2859.3(9.616%),,2861.9(9.724%),,2859.3(9.788%),,2853.6(9.785%),,2859.5(9.845%),,2861.5(9.892%),,2859.5(9.954%),,2853.3(9.997%),,2861.7(10.191%),,2858.2(10.129%),,2860.6(10.191%),,2857.9(10.226%),,2855.9(10.242%),,2859.5(10.334%),,2860.4(10.434%),,2855.9(10.459%),,2855.9(10.445%),,2858.5(10.557%),,2857.2(10.520%),,2857.2(10.635%),,2852.1(10.587%),,2854.8(10.625%),,2853.6(10.697%),,2847.5(10.680%),,2850.0(10.624%),,2854.9(10.741%),,2854.9(10.822%),,2851.1(10.845%),,2853.8(10.871%),,2856.1(10.881%),,2848.8(10.840%),,2849.5(10.853%),,2854.8(10.816%),,2852.2(10.755%),,2852.7(10.801%),,2858.4(10.747%),,2852.8(10.582%),,2847.5(10.605%),,2848.8(10.364%),,2853.4(10.304%),,2852.5(10.219%),,2851.1(10.073%),,2850.2(9.823%),,2849.8(9.442%),,2851.1(9.016%),,2851.1(8.815%),,2851.1(8.686%),,2853.8(8.569%),,2853.6(8.458%),,2851.4(8.382%),,2854.8(8.339%),,2854.9(8.307%),,2853.6(8.186%),
coal,林口#1,800.0,761.8,,759.0,,755.5,,753.9,,757.5,,760.8,,758.5,,755.5,,760.9,,759.4,,757.8,,756.0,,760.2,,758.1,,759.8,,758.9,,754.2,,755.9,,757.3,,756.5,,749.7,,755.0,,752.1,,752.3,,752.7,,759.8,,759.0,,761.0,,757.5,,757.8,,755.3,,753.5,,760.4,,756.7,,755.1,,758.5,,759.4,,756.9,,754.1,,750.8,,753.2,,760.7,,759.2,,758.1,,763.4,,754.3,,753.1,,760.2,,761.8,,757.5,,755.9,,754.4,,755.6,,761.0,,758.4,,757.7,,758.6,,759.6,
coal,林口#2,800.0,765.5,,761.7,,759.4,,755.8,,760.2,,764.7,,760.4,,761.8,,763.5,,762.1,,761.9,,760.6,,761.5,,760.0,,762.7,,762.3,,759.5,,760.4,,761.2,,760.4,,754.3,,760.7,,756.6,,760.3,,759.2,,764.0,,762.3,,763.6,,762.1,,761.9,,758.9,,757.6,,763.9,,759.8,,761.5,,762.9,,762.3,,760.5,,760.3,,754.8,,757.4,,765.2,,761.7,,762.4,,765.1,,757.8,,758.8,,765.1,,765.7,,760.0,,760.1,,757.6,,755.5,,759.8,,756.5,,758.7,,760.1,,759.2,
coal,林口#3,800.0,764.2,,763.1,,760.8,,756.1,,759.8,,764.5,,761.2,,761.8,,764.4,,763.9,,762.5,,759.9,,763.0,,761.7,,763.5,,761.9,,759.1,,758.7,,760.5,,760.6,,754.2,,760.6,,756.2,,757.9,,759.0,,765.5,,763.8,,765.8,,760.1,,763.5,,760.3,,758.3,,764.5,,761.3,,760.5,,763.5,,764.4,,761.1,,760.8,,750.9,,752.7,,761.0,,760.0,,757.6,,763.9,,753.7,,753.9,,756.4,,760.1,,755.1,,756.5,,754.3,,757.7,,759.6,,759.9,,758.6,,760.0,,760.9,
coal,台中#1,550.0,517.2,,524.0,,505.4,,512.2,,510.0,,513.8,,516.3,,514.2,,512.6,,513.9,,513.9,,513.9,,511.4,,513.2,,503.8,,481.0,,481.0,,478.4,,481.7,,478.7,,470.0,,471.4,,470.1,,471.6,,473.2,,474.8,,475.6,,473.2,,470.8,,471.5,,463.4,,437.9,,423.2,,405.7,,380.1,,368.6,,376.2,,384.9,,375.7,,371.3,,379.0,,383.5,,380.4,,382.6,,385.8,,380.3,,370.0,,377.2,,384.6,,405.7,,432.1,,421.2,,422.8,,432.8,,461.5,,494.3,,514.7,,519.4,
coal,台中#2,550.0,511.4,,518.5,,511.5,,511.3,,505.1,,511.6,,509.3,,510.8,,511.8,,517.3,,512.1,,504.1,,509.9,,520.1,,500.4,,476.6,,461.5,,464.4,,471.4,,472.4,,466.0,,463.0,,472.4,,459.8,,465.2,,473.3,,466.2,,466.4,,463.1,,470.9,,458.7,,429.5,,411.4,,407.5,,398.7,,372.5,,369.9,,386.8,,377.5,,388.1,,382.0,,390.7,,375.8,,379.2,,392.4,,378.1,,382.8,,375.2,,392.6,,417.8,,441.1,,413.2,,415.2,,418.7,,439.6,,470.2,,486.3,,498.9,
