type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,967.9,,971.9,,969.2,,970.6,,970.6,,969.2,,970.6,
nuclear,核三#1,951.0,943.8,,943.8,,942.6,,946.1,,943.8,,944.9,,946.1,
nuclear,核三#2,951.0,937.0,,938.1,,935.8,,939.2,,938.1,,937.0,,939.2,
nuclear,小計,3872.0(7.677%),2848.7(9.740%),,2853.8(9.895%),,2847.6(9.970%),,2855.9(10.080%),,2852.5(10.067%),,2851.1(10.101%),,2855.9(10.212%),
coal,林口#1,800.0,760.0,,758.1,,760.4,,757.1,,758.9,,759.9,,757.0,
coal,林口#2,800.0,761.1,,759.8,,761.6,,760.3,,759.6,,763.3,,760.1,
coal,林口#3,800.0,762.7,,761.0,,763.0,,761.8,,761.8,,765.8,,761.0,
coal,台中#1,550.0,423.7,,426.3,,428.6,,427.8,,422.3,,435.0,,427.1,
coal,台中#2,550.0,422.1,,428.6,,422.4,,414.6,,420.5,,422.4,,418.2,
coal,台中#3,550.0,431.2,,434.2,,431.1,,433.5,,433.5,,436.0,,437.6,
coal,台中#4,550.0,435.5,,415.3,,416.7,,418.3,,412.9,,424.9,,417.5,
coal,台中#5,550.0,431.6,運轉限制,431.5,運轉限制,432.4,運轉限制,435.7,運轉限制,431.7,運轉限制,434.0,運轉限制,433.8,運轉限制
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,411.8,,453.6,,451.2,,377.3,,424.3,,452.7,,423.9,
coal,台中#8,550.0,437.7,,438.4,,440.0,,442.4,,437.5,,443.2,,440.1,
coal,台中#9,550.0,500.7,,500.0,,500.7,,501.2,,500.3,,500.1,,500.3,
coal,台中#10,550.0,380.2,,379.9,,379.2,,378.8,,378.5,,380.7,,378.8,
coal,興達#1(註12),500.0,465.7,,465.1,,461.3,,462.6,,465.7,,467.0,,461.3,
coal,興達#2(註12),500.0,474.6,,474.6,,473.3,,477.1,,480.3,,477.1,,480.3,
coal,興達#3(註12),550.0,526.0,,523.7,,515.2,,512.9,,522.9,,525.2,,516.8,
coal,興達#4(註12),550.0,515.5,,516.3,,524.0,,520.9,,524.0,,520.9,,522.5,
coal,大林#1,800.0,756.2,,758.6,,758.6,,760.1,,757.0,,761.6,,758.6,
coal,大林#2,800.0,760.3,,764.9,,761.8,,761.8,,760.3,,763.4,,761.8,
coal,小計,11600.0(23.000%),9656.6(33.018%),,9689.9(33.598%),,9681.5(33.895%),,9604.2(33.900%),,9652.0(34.064%),,9733.2(34.484%),,9656.7(34.529%),
cogen,汽電共生,618.0,806.2,,590.6,,696.5,,707.0,,748.7,,624.2,,758.0,
cogen,小計,618.0(1.225%),806.2(2.757%),,590.6(2.048%),,696.5(2.439%),,707.0(2.496%),,748.7(2.643%),,624.2(2.212%),,758.0(2.710%),
ippcoal,和平#1,648.6,566.6,,560.5,,565.8,,561.7,,564.9,,575.7,,564.9,
ippcoal,和平#2,648.6,562.3,,557.9,,567.9,,560.9,,564.3,,569.2,,553.8,
ippcoal,麥寮#1,600.0,570.2,,571.5,,571.4,,570.9,,570.2,,571.7,,570.8,
ippcoal,麥寮#2,600.0,568.0,,567.9,,568.9,,568.9,,567.5,,567.1,,567.6,
ippcoal,麥寮#3,600.0,573.5,,576.2,,573.9,,573.3,,576.0,,574.1,,573.6,
ippcoal,小計,3097.1(6.141%),2840.6(9.713%),,2834.0(9.826%),,2847.9(9.971%),,2835.7(10.009%),,2842.9(10.033%),,2857.8(10.125%),,2830.7(10.122%),
lng,大潭CC#1,742.7,673.8,,664.7,,677.8,,679.8,,679.5,,552.2,,481.7,
lng,大潭CC#2,742.7,460.5,部分故障,456.1,部分故障,456.8,部分故障,332.1,部分故障,318.2,部分故障,322.3,部分故障,319.5,部分故障
lng,大潭CC#3,724.7,652.5,,653.0,,651.6,,658.5,,655.9,,657.6,,653.9,
lng,大潭CC#4,724.7,672.6,,672.5,,675.4,,675.4,,674.4,,676.5,,678.8,
lng,大潭CC#5,724.7,679.3,,680.8,,676.4,,680.8,,680.4,,680.8,,681.3,
lng,大潭CC#6,724.7,688.5,測試運轉,689.9,測試運轉,688.9,測試運轉,689.9,測試運轉,687.9,測試運轉,689.5,測試運轉,688.4,測試運轉
lng,大潭CC#7,600.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
lng,通霄CC#1,892.6,868.5,,873.1,,873.7,,876.7,,874.2,,875.7,,875.7,
lng,通霄CC#2,892.6,863.5,,865.6,,865.0,,866.5,,864.0,,865.0,,865.0,
lng,通霄CC#3,892.6,861.3,,856.3,,851.0,,855.1,,860.6,,854.2,,858.6,
lng,通霄CC#4,386.0,362.5,,359.5,,365.6,,360.4,,354.2,,356.0,,360.9,
