type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,970.6,,970.6,,971.9,,970.6,,966.5,,969.2,,969.2,,967.9,,967.9,,966.5,,971.9,,973.2,,970.6,,970.6,,971.9,,969.2,,971.9,,970.6,,970.6,,973.2,,971.9,,974.6,,971.9,,971.9,,969.2,,970.6,,970.6,,970.6,,971.9,,970.6,,970.6,,967.9,,969.2,,971.9,,971.9,,970.6,,971.9,,971.9,,970.6,,970.6,,970.6,,971.9,,970.6,,971.9,,973.2,,973.2,,971.9,,970.6,,969.2,,967.9,,967.9,,967.9,,970.6,,967.9,,969.2,,967.9,,966.5,,967.9,,967.9,,969.2,,970.6,,969.2,,967.9,,967.9,,967.9,,967.9,,966.5,,965.2,,967.9,,966.5,,965.2,,966.5,,966.5,,966.5,,966.5,,967.9,,967.9,,967.9,,967.9,
nuclear,核三#1,951.0,944.9,,944.9,,944.9,,944.9,,943.8,,942.6,,946.1,,944.9,,943.8,,943.8,,942.6,,946.1,,943.8,,944.9,,944.9,,942.6,,944.9,,943.8,,941.5,,943.8,,943.8,,944.9,,941.5,,941.5,,943.8,,942.6,,942.6,,942.6,,941.5,,942.6,,941.5,,941.5,,942.6,,942.6,,942.6,,939.2,,943.8,,941.5,,942.6,,942.6,,943.8,,943.8,,942.6,,942.6,,940.4,,944.9,,944.9,,942.6,,944.9,,939.2,,941.5,,940.4,,942.6,,940.4,,943.8,,942.6,,941.5,,942.6,,942.6,,941.5,,942.6,,946.1,,943.8,,942.6,,943.8,,943.8,,942.6,,942.6,,943.8,,942.6,,943.8,,941.5,,944.9,,944.9,,943.8,,943.8,,946.1,,943.8,,944.9,
nuclear,核三#2,951.0,935.8,,935.8,,935.8,,935.8,,935.8,,934.7,,938.1,,935.8,,935.8,,935.8,,935.8,,937.0,,934.7,,938.1,,935.8,,934.7,,937.0,,935.8,,934.7,,935.8,,937.0,,939.2,,934.7,,934.7,,934.7,,935.8,,933.5,,935.8,,935.8,,934.7,,934.7,,934.7,,934.7,,935.8,,934.7,,932.4,,934.7,,934.7,,935.8,,935.8,,935.8,,935.8,,935.8,,934.7,,934.7,,937.0,,934.7,,937.0,,935.8,,932.4,,934.7,,933.5,,935.8,,932.4,,934.7,,934.7,,933.5,,935.8,,934.7,,933.5,,934.7,,935.8,,934.7,,934.7,,934.7,,935.8,,934.7,,933.5,,933.5,,933.5,,933.5,,934.7,,935.8,,935.8,,935.8,,934.7,,938.1,,935.8,,937.0,
nuclear,小計,3872.0(7.677%),2851.3(9.392%),,2851.3(9.404%),,2852.6(9.513%),,2851.3(9.518%),,2846.1(9.601%),,2846.5(9.658%),,2853.4(9.728%),,2848.6(9.778%),,2847.5(9.841%),,2846.1(9.886%),,2850.3(9.891%),,2856.3(9.975%),,2849.1(10.040%),,2853.6(10.122%),,2852.6(10.144%),,2846.5(10.214%),,2853.8(10.240%),,2850.2(10.315%),,2846.8(10.320%),,2852.8(10.416%),,2852.7(10.470%),,2858.7(10.487%),,2848.1(10.478%),,2848.1(10.552%),,2847.7(10.557%),,2849.0(10.573%),,2846.7(10.590%),,2849.0(10.718%),,2849.2(10.709%),,2847.9(10.664%),,2846.8(10.635%),,2844.1(10.700%),,2846.5(10.750%),,2850.3(10.819%),,2849.2(10.859%),,2842.2(10.771%),,2850.4(10.733%),,2848.1(10.699%),,2849.0(10.733%),,2849.0(10.720%),,2850.2(10.566%),,2851.5(10.522%),,2849.0(10.424%),,2849.2(10.265%),,2848.3(10.230%),,2855.1(10.146%),,2851.5(9.956%),,2850.2(9.734%),,2849.9(9.374%),,2839.5(8.855%),,2844.1(8.738%),,2841.8(8.556%),,2849.0(8.511%),,2840.7(8.388%),,2847.7(8.302%),,2845.2(8.250%),,2841.5(8.125%),,2846.3(8.070%),,2845.2(8.085%),,2844.2(8.023%),,2847.9(7.996%),,2851.1(8.070%),,2846.4(7.964%),,2845.2(7.928%),,2846.4(7.925%),,2847.5(7.831%),,2843.8(7.794%),,2841.3(7.698%),,2845.2(7.752%),,2842.6(7.690%),,2842.5(7.689%),,2842.7(7.679%),,2847.2(7.790%),,2847.2(7.954%),,2846.1(7.931%),,2846.4(7.946%),,2852.1(7.951%),,2847.5(7.897%),,2849.8(7.821%),
coal,林口#1,800.0,757.2,,756.1,,756.4,,758.8,,760.7,,761.0,,755.4,,757.5,,762.8,,762.8,,761.0,,753.5,,757.9,,756.3,,759.3,,759.5,,753.3,,751.8,,756.9,,754.5,,756.5,,751.4,,750.3,,756.2,,756.0,,760.7,,759.0,,752.7,,754.7,,762.6,,755.8,,760.9,,759.6,,751.5,,756.9,,757.4,,757.0,,756.4,,756.4,,753.7,,754.7,,754.5,,759.3,,754.9,,758.8,,757.4,,751.6,,751.2,,754.0,,757.1,,758.3,,756.7,,752.2,,756.5,,756.9,,756.5,,760.7,,755.8,,755.0,,757.7,,757.6,,758.6,,756.2,,756.0,,755.7,,756.1,,758.0,,761.2,,761.9,,760.9,,759.9,,760.3,,754.3,,754.0,,757.4,,756.0,,759.1,,756.5,,755.3,
coal,林口#2,800.0,759.8,,760.4,,759.9,,760.9,,761.4,,763.1,,758.6,,757.7,,764.3,,765.1,,763.5,,757.0,,762.1,,759.4,,761.5,,760.5,,756.6,,754.3,,758.3,,758.4,,758.7,,754.8,,754.7,,758.8,,759.7,,761.2,,760.1,,757.3,,757.6,,765.5,,760.3,,763.4,,761.2,,754.8,,758.6,,760.6,,763.1,,758.9,,759.8,,757.1,,759.4,,758.7,,759.6,,757.9,,760.9,,759.8,,751.3,,753.5,,756.7,,760.7,,761.6,,760.1,,756.4,,760.1,,759.6,,759.0,,762.3,,756.0,,757.9,,760.2,,761.1,,760.0,,761.0,,761.1,,761.2,,756.7,,760.5,,762.0,,762.8,,763.8,,763.5,,762.5,,757.9,,757.1,,759.8,,758.8,,759.9,,758.7,,758.2,
coal,林口#3,800.0,760.3,,761.8,,761.2,,761.9,,763.0,,765.4,,760.5,,758.7,,766.1,,762.9,,761.0,,756.1,,760.9,,759.7,,758.1,,760.5,,756.3,,753.2,,759.0,,758.7,,758.5,,754.5,,752.8,,757.9,,757.3,,760.9,,760.9,,758.9,,756.8,,754.4,,750.8,,755.1,,755.1,,744.1,,749.5,,751.3,,749.4,,750.3,,750.5,,748.9,,749.5,,748.4,,752.2,,749.3,,751.9,,751.5,,746.5,,745.7,,747.2,,754.3,,753.8,,751.5,,747.4,,750.8,,750.3,,753.0,,760.6,,757.9,,759.4,,754.3,,755.2,,759.4,,757.7,,756.8,,760.0,,755.4,,757.5,,758.2,,759.8,,757.5,,758.4,,757.9,,751.7,,753.4,,753.0,,753.6,,757.4,,756.0,,754.7,
coal,台中#1,550.0,525.2,,519.8,,522.9,,524.6,,524.4,,527.7,,521.9,,518.2,,519.8,,515.3,,515.7,,513.9,,520.9,,521.1,,514.9,,519.2,,514.4,,517.4,,530.1,,523.2,,518.5,,522.5,,509.8,,512.4,,520.9,,506.0,,484.3,,472.7,,468.7,,465.4,,446.5,,427.5,,428.7,,426.8,,424.9,,427.1,,428.9,,427.4,,429.3,,421.5,,432.1,,425.3,,426.9,,430.6,,433.9,,430.7,,430.4,,419.5,,429.8,,434.5,,432.7,,438.1,,450.7,,476.6,,473.4,,475.7,,477.3,,476.3,,471.4,,475.5,,473.9,,475.6,,471.6,,474.6,,472.5,,474.0,,477.5,,476.9,,476.9,,477.4,,477.5,,475.2,,476.8,,470.5,,472.7,,477.7,,478.7,,471.6,,478.1,
coal,台中#2,550.0,520.2,,516.2,,518.0,,516.4,,524.3,,514.8,,516.8,,524.2,,521.1,,521.1,,517.9,,518.5,,518.6,,509.7,,516.9,,520.0,,517.0,,515.9,,520.8,,510.0,,510.7,,513.2,,510.8,,517.2,,515.9,,494.0,,466.1,,466.9,,465.7,,457.0,,430.4,,422.5,,415.9,,417.9,,414.3,,421.9,,423.9,,426.5,,420.4,,418.4,,418.1,,423.4,,422.7,,417.8,,425.5,,425.3,,421.3,,416.7,,424.6,,424.0,,423.3,,423.9,,434.1,,456.8,,472.1,,466.9,,472.7,,470.2,,470.1,,469.4,,472.4,,467.3,,466.9,,472.5,,469.2,,471.5,,467.6,,473.0,,475.5,,469.9,,466.6,,473.1,,458.8,,472.9,,464.4,,470.5,,466.6,,465.1,,482.4,
