type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,967.9,,967.9,,966.5,,969.2,,970.6,,969.2,,970.6,,970.6,,967.9,,966.5,,967.9,,969.2,,970.6,
nuclear,核三#1,951.0,944.9,,944.9,,944.9,,947.2,,944.9,,944.9,,944.9,,942.6,,943.8,,941.5,,943.8,,944.9,,942.6,
nuclear,核三#2,951.0,937.0,,937.0,,938.1,,938.1,,937.0,,937.0,,935.8,,935.8,,937.0,,934.7,,935.8,,935.8,,935.8,
nuclear,小計,3872.0(7.677%),2849.8(9.589%),,2849.8(9.671%),,2849.5(9.677%),,2854.5(9.865%),,2852.5(9.840%),,2851.1(9.991%),,2851.3(9.948%),,2849.0(10.013%),,2848.7(10.086%),,2842.7(10.094%),,2847.5(10.166%),,2849.9(10.250%),,2849.0(10.353%),
coal,林口#1,800.0,755.7,,762.0,,759.2,,756.5,,755.2,,755.5,,758.3,,756.3,,753.1,,758.3,,758.8,,759.2,,751.6,
coal,林口#2,800.0,759.1,,764.2,,765.6,,758.7,,759.0,,758.0,,760.9,,760.0,,756.9,,762.5,,760.9,,763.8,,757.7,
coal,林口#3,800.0,759.8,,762.6,,764.8,,759.7,,759.9,,758.6,,759.8,,757.8,,755.9,,761.7,,758.7,,763.9,,756.2,
coal,台中#1,550.0,381.2,,378.8,,388.3,,381.1,,383.4,,378.6,,382.7,,378.8,,378.8,,381.9,,379.4,,381.3,,376.3,
coal,台中#2,550.0,382.9,,384.7,,380.9,,386.2,,383.8,,379.1,,384.0,,376.9,,384.6,,381.0,,379.0,,387.9,,381.4,
coal,台中#3,550.0,381.1,,381.9,,385.2,,385.8,,382.9,,383.5,,388.4,,380.4,,385.2,,386.1,,385.9,,387.6,,385.1,
coal,台中#4,550.0,384.4,,374.3,,376.7,,380.4,,370.2,,381.2,,377.3,,374.0,,376.3,,374.8,,372.2,,381.8,,377.6,
coal,台中#5,550.0,378.8,,383.0,,382.5,,382.4,,382.3,,384.3,,383.0,,384.4,,383.7,,381.4,,382.7,,383.6,,381.2,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,380.5,,370.0,,378.3,,371.3,,379.3,,369.2,,368.5,,377.2,,374.6,,380.5,,373.4,,403.3,,337.7,
coal,台中#8,550.0,390.8,,391.6,,389.4,,391.6,,390.8,,390.9,,389.3,,389.3,,389.3,,389.3,,389.2,,391.6,,392.2,
coal,台中#9,550.0,504.0,,507.4,,506.3,,500.9,,502.0,,507.5,,502.8,,504.0,,500.5,,506.7,,503.1,,501.3,,506.1,
coal,台中#10,550.0,377.6,,378.9,,379.6,,378.3,,377.4,,378.1,,377.6,,378.3,,379.1,,379.2,,378.4,,379.7,,377.6,
coal,興達#1(註12),500.0,453.1,,452.4,,452.4,,454.3,,447.4,,447.4,,455.6,,456.9,,441.0,,452.4,,445.5,,443.6,,448.0,
coal,興達#2(註12),500.0,474.0,,477.8,,464.5,,477.8,,472.7,,471.4,,475.2,,474.0,,475.9,,474.0,,475.9,,470.2,,470.2,
coal,興達#3(註12),550.0,522.1,,519.1,,521.4,,519.1,,512.9,,517.5,,522.9,,519.8,,519.1,,520.6,,523.7,,523.7,,519.1,
coal,興達#4(註12),550.0,514.8,,513.2,,517.8,,519.4,,515.5,,512.5,,514.8,,515.5,,517.1,,515.5,,514.8,,509.4,,516.3,
coal,大林#1,800.0,758.6,,758.6,,761.6,,761.6,,760.1,,758.6,,760.1,,758.6,,760.1,,760.1,,755.5,,760.1,,761.6,
coal,大林#2,800.0,761.8,,761.8,,764.9,,761.0,,761.8,,759.4,,763.4,,761.8,,761.8,,763.4,,756.4,,759.4,,759.4,
coal,小計,11600.0(23.000%),9320.3(31.361%),,9322.3(31.635%),,9339.4(31.718%),,9326.1(32.231%),,9296.6(32.070%),,9291.3(32.558%),,9324.6(32.534%),,9304.0(32.700%),,9293.0(32.902%),,9329.4(33.126%),,9293.5(33.178%),,9351.4(33.635%),,9255.3(33.633%),
