type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40,generation-13:50,note-13:50,generation-14:00,note-14:00,generation-14:10,note-14:10,generation-14:20,note-14:20,generation-14:30,note-14:30,generation-14:40,note-14:40,generation-14:50,note-14:50,generation-15:00,note-15:00,generation-15:10,note-15:10,generation-15:20,note-15:20,generation-15:30,note-15:30,generation-15:40,note-15:40,generation-15:50,note-15:50,generation-16:00,note-16:00,generation-16:10,note-16:10,generation-16:20,note-16:20,generation-16:30,note-16:30,generation-16:40,note-16:40,generation-16:50,note-16:50,generation-17:00,note-17:00,generation-17:10,note-17:10,generation-17:20,note-17:20
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,973.2,,974.6,,978.6,,973.2,,974.6,,977.3,,975.9,,975.9,,974.6,,975.9,,971.9,,977.3,,974.6,,977.3,,977.3,,975.9,,975.9,,977.3,,977.3,,973.2,,977.3,,974.6,,977.3,,975.9,,971.9,,979.9,,977.3,,978.6,,973.2,,977.3,,975.9,,974.6,,975.9,,977.3,,975.9,,975.9,,974.6,,974.6,,974.6,,975.9,,977.3,,979.9,,977.3,,977.3,,978.6,,974.6,,977.3,,977.3,,975.9,,973.2,,975.9,,979.9,,975.9,,974.6,,973.2,,974.6,,978.6,,975.9,,974.6,,977.3,,974.6,,974.6,,974.6,,979.9,,978.6,,977.3,,978.6,,977.3,,975.9,,975.9,,973.2,,973.2,,978.6,,975.9,,978.6,,974.6,,975.9,,977.3,,978.6,,978.6,,977.3,,975.9,,973.2,,978.6,,977.3,,975.9,,975.9,,977.3,,978.6,,975.9,,975.9,,973.2,,971.9,,977.3,,974.6,,977.3,,977.3,,974.6,,975.9,,979.9,,974.6,,974.6,,974.6,,977.3,,977.3,
nuclear,核三#1,951.0,946.1,,950.6,,948.3,,948.3,,948.3,,950.6,,947.2,,948.3,,951.8,,949.5,,949.5,,948.3,,948.3,,949.5,,947.2,,950.6,,948.3,,948.3,,947.2,,949.5,,950.6,,946.1,,949.5,,948.3,,948.3,,948.3,,948.3,,949.5,,947.2,,949.5,,947.2,,948.3,,948.3,,950.6,,950.6,,951.8,,948.3,,947.2,,948.3,,949.5,,947.2,,950.6,,950.6,,948.3,,949.5,,949.5,,950.6,,949.5,,949.5,,948.3,,950.6,,950.6,,952.9,,949.5,,947.2,,949.5,,950.6,,948.3,,949.5,,949.5,,949.5,,948.3,,948.3,,949.5,,950.6,,948.3,,948.3,,948.3,,949.5,,948.3,,949.5,,946.1,,950.6,,947.2,,950.6,,948.3,,948.3,,947.2,,949.5,,949.5,,948.3,,949.5,,949.5,,949.5,,947.2,,949.5,,948.3,,949.5,,949.5,,949.5,,947.2,,949.5,,948.3,,949.5,,949.5,,948.3,,949.5,,948.3,,950.6,,948.3,,948.3,,947.2,,950.6,,949.5,,950.6,
nuclear,核三#2,951.0,939.2,,942.6,,941.5,,942.6,,942.6,,921.0,,944.9,,941.5,,943.8,,941.5,,942.6,,942.6,,942.6,,941.5,,941.5,,942.6,,941.5,,942.6,,941.5,,942.6,,942.6,,941.5,,942.6,,942.6,,941.5,,941.5,,942.6,,942.6,,940.4,,942.6,,940.4,,942.6,,941.5,,943.8,,943.8,,943.8,,941.5,,942.6,,941.5,,941.5,,940.4,,942.6,,941.5,,941.5,,942.6,,942.6,,943.8,,943.8,,942.6,,940.4,,942.6,,943.8,,943.8,,942.6,,941.5,,941.5,,943.8,,941.5,,941.5,,941.5,,941.5,,942.6,,940.4,,942.6,,942.6,,941.5,,941.5,,941.5,,943.8,,940.4,,943.8,,940.4,,943.8,,941.5,,943.8,,942.6,,940.4,,941.5,,941.5,,943.8,,941.5,,940.4,,939.2,,942.6,,941.5,,941.5,,941.5,,940.4,,943.8,,943.8,,940.4,,941.5,,940.4,,942.6,,941.5,,941.5,,942.6,,941.5,,943.8,,942.6,,942.6,,940.4,,943.8,,943.8,,942.6,
nuclear,小計,3872.0(7.677%),2858.5(9.934%),,2867.8(10.041%),,2868.4(10.123%),,2864.1(10.187%),,2865.5(10.299%),,2848.9(10.240%),,2868.0(10.352%),,2865.7(10.438%),,2870.2(10.530%),,2866.9(10.521%),,2864.0(10.589%),,2868.2(10.698%),,2865.5(10.774%),,2868.3(10.841%),,2866.0(10.772%),,2869.1(10.912%),,2865.7(10.872%),,2868.2(10.966%),,2866.0(11.043%),,2865.3(10.985%),,2870.5(11.160%),,2862.2(11.155%),,2869.4(11.214%),,2866.8(11.208%),,2861.7(11.279%),,2869.7(11.305%),,2868.2(11.285%),,2870.7(11.387%),,2860.8(11.328%),,2869.4(11.394%),,2863.5(11.400%),,2865.5(11.366%),,2865.7(11.507%),,2871.7(11.431%),,2870.3(11.458%),,2871.5(11.435%),,2864.4(11.390%),,2864.4(11.425%),,2864.4(11.490%),,2866.9(11.459%),,2864.9(11.396%),,2873.1(11.421%),,2869.4(11.374%),,2867.1(11.338%),,2870.7(11.250%),,2866.7(11.259%),,2871.7(11.257%),,2870.6(11.121%),,2868.0(10.922%),,2861.9(10.692%),,2869.1(10.596%),,2874.3(10.628%),,2872.6(10.488%),,2866.7(10.364%),,2861.9(10.273%),,2865.6(10.294%),,2873.0(10.287%),,2865.7(10.203%),,2865.6(10.068%),,2868.3(10.049%),,2865.6(10.071%),,2865.5(9.980%),,2863.3(9.903%),,2872.0(9.908%),,2871.8(9.805%),,2867.1(9.766%),,2868.4(9.754%),,2867.1(9.701%),,2869.2(9.685%),,2864.6(9.602%),,2866.5(9.548%),,2859.7(9.494%),,2873.0(9.674%),,2864.6(9.769%),,2873.0(9.718%),,2865.5(9.706%),,2864.6(9.704%),,2866.0(9.764%),,2869.6(9.615%),,2871.9(9.492%),,2867.1(9.456%),,2865.8(9.415%),,2861.9(9.468%),,2870.7(9.477%),,2866.0(9.471%),,2866.9(9.439%),,2865.7(9.475%),,2867.2(9.500%),,2871.9(9.483%),,2869.2(9.518%),,2863.5(9.396%),,2864.2(9.453%),,2860.6(9.394%),,2869.4(9.453%),,2865.6(9.414%),,2867.1(9.414%),,2869.4(9.482%),,2864.4(9.371%),,2870.3(9.453%),,2870.8(9.459%),,2865.5(9.397%),,2862.2(9.411%),,2869.0(9.518%),,2870.6(9.583%),,2870.5(9.613%),
coal,林口#1,800.0,761.7,,760.3,,757.4,,757.5,,756.8,,755.4,,757.1,,759.5,,757.9,,755.9,,752.6,,756.3,,753.7,,754.0,,752.5,,751.9,,752.7,,760.2,,751.3,,762.0,,752.1,,760.4,,760.8,,754.5,,756.8,,753.1,,755.1,,758.7,,763.0,,756.5,,762.1,,759.6,,759.9,,757.7,,756.2,,757.7,,757.0,,754.6,,757.8,,754.8,,757.9,,760.4,,760.3,,757.0,,759.2,,758.6,,756.9,,758.5,,755.2,,755.8,,755.8,,752.0,,757.9,,757.6,,756.6,,758.7,,756.9,,754.4,,761.1,,756.8,,760.3,,756.8,,760.0,,753.6,,756.8,,755.4,,758.3,,758.5,,759.0,,763.3,,763.0,,760.1,,748.0,,760.4,,752.2,,756.6,,756.3,,750.2,,755.1,,755.6,,754.9,,760.2,,756.4,,754.9,,752.3,,756.0,,762.2,,758.4,,759.0,,753.1,,760.2,,757.7,,759.8,,751.3,,760.3,,759.9,,758.2,,760.1,,761.5,,756.0,,756.6,,760.2,,758.7,,752.4,,753.8,
coal,林口#2,800.0,764.0,,760.1,,760.2,,759.2,,758.8,,757.5,,759.3,,759.7,,759.9,,758.3,,755.8,,759.4,,754.1,,758.2,,757.0,,753.2,,755.7,,761.5,,754.7,,764.3,,753.9,,760.3,,759.3,,755.0,,758.4,,755.7,,757.6,,760.7,,764.2,,758.3,,762.7,,760.8,,759.6,,759.5,,757.7,,760.0,,760.1,,758.2,,758.8,,758.0,,759.5,,761.4,,760.4,,758.1,,760.6,,760.9,,759.7,,758.6,,761.4,,761.0,,763.4,,754.6,,758.1,,759.3,,758.1,,760.1,,758.7,,755.6,,762.8,,758.1,,760.0,,757.3,,762.4,,757.6,,759.9,,758.6,,759.1,,760.5,,759.5,,763.4,,764.4,,762.0,,752.3,,761.9,,755.6,,759.0,,758.2,,752.6,,759.4,,756.7,,759.4,,761.7,,756.3,,754.1,,755.3,,757.9,,761.6,,758.4,,760.1,,754.2,,760.4,,759.1,,760.4,,751.7,,761.0,,760.3,,759.8,,761.8,,763.0,,755.6,,756.7,,760.9,,759.6,,753.4,,756.1,
coal,林口#3,800.0,760.9,,758.5,,755.8,,756.0,,759.0,,755.5,,758.3,,759.8,,757.4,,755.9,,754.8,,755.7,,753.8,,755.5,,756.0,,753.5,,753.8,,760.9,,752.0,,757.4,,752.8,,758.6,,755.0,,750.7,,756.8,,752.2,,755.8,,760.9,,763.6,,759.7,,762.6,,760.7,,759.2,,758.3,,757.9,,757.1,,756.9,,758.6,,759.2,,754.2,,755.0,,755.0,,756.1,,755.1,,755.2,,756.3,,756.3,,756.5,,757.4,,756.8,,761.6,,753.4,,756.1,,757.1,,755.9,,756.0,,759.8,,754.1,,761.0,,758.1,,761.0,,757.6,,759.5,,755.3,,757.4,,756.3,,758.8,,762.2,,754.3,,760.8,,762.1,,758.6,,750.8,,760.2,,755.0,,759.6,,760.3,,754.6,,757.3,,755.4,,758.6,,764.2,,758.9,,753.4,,754.0,,758.3,,763.1,,759.7,,760.4,,755.0,,761.9,,759.1,,763.2,,752.5,,762.4,,762.4,,759.7,,761.2,,761.8,,756.6,,758.9,,760.6,,761.6,,753.6,,758.2,
coal,台中#1,550.0,335.6,,334.1,,332.5,,335.7,,335.4,,334.2,,338.2,,334.2,,333.4,,334.8,,334.8,,338.9,,334.8,,335.9,,334.9,,329.5,,334.2,,334.9,,340.3,,336.5,,337.3,,341.7,,342.1,,334.0,,341.9,,336.5,,339.6,,338.2,,341.3,,336.5,,335.0,,335.0,,334.9,,326.5,,329.5,,330.2,,325.5,,332.7,,329.5,,330.5,,333.7,,333.0,,344.1,,343.7,,337.0,,337.7,,333.0,,339.2,,336.3,,337.7,,338.5,,335.2,,341.3,,335.9,,338.4,,334.5,,340.7,,335.4,,348.5,,307.6,,284.5,,275.1,,282.1,,281.0,,286.6,,301.5,,330.5,,336.4,,332.9,,325.8,,331.3,,331.1,,325.5,,330.3,,326.4,,327.3,,325.5,,324.5,,324.0,,330.3,,337.0,,337.4,,337.4,,332.0,,328.7,,340.3,,332.8,,337.4,,334.7,,332.1,,335.6,,331.1,,336.6,,332.6,,335.9,,332.6,,337.4,,335.7,,332.6,,333.3,,336.6,,332.6,,329.5,,330.9,,327.2,
coal,台中#2,550.0,333.5,,342.2,,325.7,,332.7,,333.5,,334.9,,332.8,,336.7,,328.8,,335.7,,331.1,,333.7,,331.2,,341.3,,334.4,,338.0,,327.3,,338.4,,330.3,,331.3,,330.4,,342.3,,335.3,,326.5,,341.9,,326.6,,329.8,,329.0,,332.1,,338.9,,328.9,,339.8,,323.4,,338.2,,330.6,,337.5,,326.5,,333.6,,333.4,,327.1,,330.9,,333.8,,338.7,,329.3,,334.1,,332.6,,327.7,,338.9,,331.3,,326.7,,335.2,,329.6,,333.5,,328.8,,341.4,,330.9,,338.1,,329.5,,330.4,,296.0,,274.4,,278.5,,290.4,,285.5,,281.9,,293.1,,330.0,,331.6,,335.0,,324.9,,327.3,,328.0,,329.9,,340.4,,321.6,,326.3,,325.5,,331.6,,329.5,,326.3,,333.3,,321.0,,335.7,,324.5,,324.5,,323.0,,330.2,,333.4,,333.8,,325.2,,327.0,,327.7,,326.7,,322.1,,334.5,,323.0,,330.4,,327.9,,329.5,,321.6,,332.7,,315.5,,327.9,,334.1,,326.3,
