type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,977.3,,977.3,,978.6,,978.6,,977.3,,979.9,,977.3,,974.6,,975.9,,977.3,,974.6,,978.6,,978.6,,975.9,,977.3,,975.9,,975.9,,977.3,,978.6,,978.6,
nuclear,核三#1,951.0,947.2,,943.8,,946.1,,946.1,,944.9,,943.8,,946.1,,944.9,,946.1,,944.9,,944.9,,946.1,,947.2,,947.2,,944.9,,947.2,,947.2,,948.3,,946.1,,948.3,
nuclear,核三#2,951.0,941.5,,938.1,,942.6,,941.5,,940.4,,938.1,,941.5,,937.0,,940.4,,939.2,,940.4,,941.5,,941.5,,941.5,,939.2,,940.4,,939.2,,940.4,,938.1,,940.4,
nuclear,小計,3872.0(7.677%),2866.0(10.388%),,2859.2(10.449%),,2867.3(10.502%),,2866.2(10.562%),,2862.6(10.602%),,2861.8(10.703%),,2864.9(10.835%),,2856.5(10.886%),,2862.4(10.919%),,2861.4(10.854%),,2859.9(11.050%),,2866.2(11.094%),,2867.3(11.065%),,2864.6(11.168%),,2861.4(11.162%),,2863.5(11.224%),,2862.3(11.303%),,2866.0(11.315%),,2862.8(11.375%),,2867.3(11.542%),
coal,林口#1,800.0,758.8,,763.1,,760.3,,759.0,,758.8,,760.3,,759.8,,764.4,,756.9,,762.1,,758.7,,756.9,,755.7,,759.5,,758.2,,757.2,,759.1,,760.2,,750.9,,753.0,
coal,林口#2,800.0,759.8,,762.8,,756.3,,758.0,,758.9,,759.7,,760.0,,764.2,,758.4,,762.6,,758.2,,759.0,,758.4,,759.5,,760.1,,758.3,,760.2,,758.7,,753.0,,756.0,
coal,林口#3,800.0,758.4,,764.0,,758.2,,760.1,,759.1,,759.0,,755.9,,758.3,,753.8,,758.6,,759.4,,759.9,,757.6,,759.4,,760.4,,759.2,,762.1,,758.9,,753.3,,755.3,
coal,台中#1,550.0,335.2,,332.7,,332.0,,334.5,,333.8,,332.0,,332.7,,339.9,,331.3,,337.4,,334.5,,333.0,,332.0,,332.8,,328.8,,333.7,,335.2,,332.9,,331.3,,329.7,
coal,台中#2,550.0,326.6,,329.5,,324.9,,333.4,,328.9,,324.2,,326.4,,332.1,,329.4,,326.5,,331.8,,324.2,,329.0,,329.5,,322.7,,324.9,,323.4,,329.6,,320.7,,331.2,
coal,台中#3,550.0,334.8,,337.1,,338.7,,336.2,,338.2,,331.4,,336.2,,340.9,,336.2,,339.5,,341.0,,337.0,,334.8,,337.0,,333.0,,338.5,,337.9,,334.7,,336.2,,337.9,
coal,台中#4,550.0,331.8,,323.0,,327.7,,326.2,,327.1,,318.9,,323.8,,331.1,,322.7,,327.8,,325.5,,325.5,,321.6,,324.0,,319.8,,327.7,,330.9,,328.7,,317.5,,327.0,
coal,台中#5,550.0,334.3,,331.5,,332.3,,334.0,,333.2,,336.2,,332.9,,333.1,,334.5,,332.4,,335.4,,331.6,,333.7,,332.2,,332.8,,333.7,,332.2,,331.5,,332.0,,333.1,
coal,台中#6,550.0,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修,0.0,環保停機歲修
coal,台中#7,550.0,331.7,,331.9,,330.4,,332.3,,315.9,,318.4,,335.1,,333.1,,331.6,,332.3,,331.7,,345.8,,342.1,,333.4,,331.9,,315.6,,315.2,,319.8,,331.7,,336.0,
coal,台中#8,550.0,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修,0.0,環保停機檢修
coal,台中#9,550.0,501.2,,501.0,,500.7,,500.6,,500.4,,501.4,,500.9,,500.0,,500.5,,500.8,,500.6,,500.3,,499.7,,501.1,,500.1,,500.9,,499.9,,500.0,,499.8,,501.1,
coal,台中#10,550.0,331.3,,331.3,,330.0,,331.3,,332.1,,330.6,,331.2,,332.0,,329.8,,331.8,,331.1,,331.1,,330.6,,329.7,,329.7,,329.7,,330.4,,331.0,,329.7,,329.7,
coal,興達#1(註12),500.0,464.5,,465.1,,468.9,,470.8,,467.6,,467.6,,463.2,,463.8,,464.5,,465.7,,462.6,,464.5,,465.7,,463.8,,469.5,,474.0,,472.1,,467.0,,466.4,,465.1,
coal,興達#2(註12),500.0,474.0,,474.6,,477.8,,472.7,,476.5,,470.8,,474.6,,477.8,,475.2,,474.0,,482.8,,477.1,,472.7,,474.6,,477.1,,472.1,,479.6,,468.9,,474.6,,472.1,
coal,興達#3(註12),550.0,391.3,運轉限制,422.1,運轉限制,493.7,運轉限制,526.0,運轉限制,524.4,運轉限制,513.7,運轉限制,506.0,運轉限制,512.1,運轉限制,515.2,運轉限制,522.9,運轉限制,529.1,運轉限制,519.8,運轉限制,519.1,運轉限制,516.0,運轉限制,516.0,運轉限制,519.1,運轉限制,521.4,運轉限制,517.5,運轉限制,517.5,運轉限制,519.8,運轉限制
coal,興達#4(註12),550.0,524.8,,520.9,,521.7,,519.4,,519.4,,521.7,,519.4,,520.9,,520.9,,518.6,,518.6,,520.9,,523.2,,521.7,,519.4,,521.7,,522.5,,520.9,,520.9,,520.9,
coal,大林#1,800.0,758.6,,758.6,,761.6,,758.6,,760.1,,758.6,,758.6,,761.6,,758.6,,758.6,,761.6,,760.1,,760.1,,760.1,,755.5,,761.6,,760.1,,758.6,,755.5,,758.6,
coal,大林#2,800.0,761.8,,761.8,,763.4,,760.3,,763.4,,761.8,,761.8,,764.9,,763.4,,761.8,,764.9,,763.4,,760.3,,760.3,,758.8,,763.4,,758.8,,763.4,,758.8,,761.8,
coal,小計,11600.0(23.000%),8478.9(30.734%),,8511.0(31.103%),,8578.6(31.420%),,8613.4(31.741%),,8597.8(31.844%),,8566.3(32.038%),,8578.5(32.443%),,8630.2(32.890%),,8582.9(32.741%),,8613.4(32.672%),,8627.5(33.335%),,8610.1(33.325%),,8596.3(33.173%),,8594.6(33.507%),,8573.8(33.444%),,8591.3(33.675%),,8601.0(33.966%),,8582.3(33.882%),,8549.8(33.971%),,8588.3(34.572%),
cogen,汽電共生,618.0,661.0,,729.3,,842.0,,866.6,,820.9,,974.7,,715.5,,731.6,,728.0,,741.6,,915.8,,734.9,,707.2,,679.8,,731.3,,654.0,,699.1,,720.2,,829.6,,702.9,
cogen,小計,618.0(1.225%),661.0(2.396%),,729.3(2.665%),,842.0(3.084%),,866.6(3.194%),,820.9(3.040%),,974.7(3.645%),,715.5(2.706%),,731.6(2.788%),,728.0(2.777%),,741.6(2.813%),,915.8(3.539%),,734.9(2.845%),,707.2(2.729%),,679.8(2.650%),,731.3(2.853%),,654.0(2.564%),,699.1(2.761%),,720.2(2.843%),,829.6(3.296%),,702.9(2.830%),
ippcoal,和平#1,648.6,566.8,,561.9,,567.5,,563.8,,568.7,,563.5,,568.3,,568.1,,563.0,,568.7,,562.2,,565.5,,565.3,,565.8,,561.9,,561.8,,568.9,,568.4,,567.7,,565.4,
ippcoal,和平#2,648.6,564.2,,563.3,,566.6,,566.8,,556.9,,571.0,,562.1,,565.2,,563.4,,560.0,,569.9,,562.5,,562.3,,562.6,,560.7,,560.9,,559.6,,561.8,,564.8,,563.8,
ippcoal,麥寮#1,600.0,426.3,,423.1,,423.8,,424.8,,425.2,,424.8,,425.7,,425.4,,423.4,,425.4,,424.0,,424.3,,422.6,,422.2,,422.5,,424.8,,425.0,,424.3,,420.6,,423.8,
ippcoal,麥寮#2,600.0,326.2,,326.4,運轉限制,323.4,運轉限制,323.4,運轉限制,323.8,運轉限制,323.4,運轉限制,325.4,運轉限制,323.7,運轉限制,325.3,運轉限制,320.8,運轉限制,323.4,運轉限制,324.4,運轉限制,325.4,運轉限制,325.4,運轉限制,324.4,運轉限制,324.6,運轉限制,325.7,運轉限制,325.2,運轉限制,323.8,運轉限制,325.6,運轉限制
ippcoal,麥寮#3,600.0,428.2,,427.6,,428.1,,427.2,,430.3,,428.5,,429.9,,427.2,,428.0,,429.7,,429.2,,428.7,,430.7,,426.6,,427.0,,426.9,,426.5,,432.4,,430.1,,427.8,
ippcoal,小計,3097.1(6.141%),2311.7(8.379%),,2302.3(8.414%),,2309.4(8.458%),,2306.0(8.498%),,2304.9(8.537%),,2311.2(8.644%),,2311.4(8.742%),,2309.6(8.802%),,2303.1(8.785%),,2304.6(8.742%),,2308.7(8.920%),,2305.4(8.923%),,2306.3(8.900%),,2302.6(8.977%),,2296.5(8.958%),,2299.0(9.011%),,2305.7(9.105%),,2312.1(9.128%),,2307.0(9.166%),,2306.4(9.284%),
lng,大潭CC#1,742.7,411.2,部分檢修,420.4,部分檢修,397.9,部分檢修,400.2,部分檢修,412.5,部分檢修,413.2,部分檢修,405.9,部分檢修,398.1,部分檢修,399.4,部分檢修,439.0,部分檢修,414.3,部分檢修,421.1,部分檢修,414.0,部分檢修,404.1,部分檢修,412.9,部分檢修,414.3,部分檢修,404.0,部分檢修,396.1,部分檢修,423.0,部分檢修,401.9,部分檢修
lng,大潭CC#2,742.7,424.2,部分故障,418.3,部分故障,403.6,部分故障,409.7,部分故障,423.9,部分故障,423.2,部分故障,410.7,部分故障,407.8,部分故障,411.7,部分故障,446.5,部分故障,417.1,部分故障,436.9,部分故障,435.8,部分故障,410.7,部分故障,423.7,部分故障,433.3,部分故障,419.4,部分故障,418.8,部分故障,429.9,部分故障,407.5,部分故障
lng,大潭CC#3,724.7,632.7,,643.9,,603.4,,565.3,,607.1,,610.8,,605.4,,593.2,,563.8,,641.1,,587.3,,612.7,,637.1,,625.3,,611.7,,637.1,,626.2,,635.1,,637.2,,637.5,
lng,大潭CC#4,724.7,667.7,,667.2,,659.2,,648.6,,654.0,,650.1,,649.1,,648.2,,647.0,,660.3,,644.2,,646.6,,663.7,,660.3,,654.8,,661.2,,661.2,,666.0,,663.6,,672.4,
lng,大潭CC#5,724.7,628.4,,644.3,,622.4,,611.8,,603.0,,584.4,,584.9,,584.3,,585.4,,603.5,,584.4,,588.3,,606.4,,609.8,,601.0,,597.0,,592.7,,599.6,,601.4,,601.4,
lng,大潭CC#6,724.7,698.4,測試運轉,696.4,測試運轉,696.8,測試運轉,698.8,測試運轉,697.5,測試運轉,696.8,測試運轉,696.8,測試運轉,696.4,測試運轉,698.3,測試運轉,695.9,測試運轉,697.4,測試運轉,698.3,測試運轉,697.4,測試運轉,696.9,測試運轉,695.4,測試運轉,695.9,測試運轉,695.9,測試運轉,697.4,測試運轉,697.3,測試運轉,699.3,測試運轉
