type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,147.5,,147.5,,150.2,,150.2,,150.2,,173.0,,187.8,,190.4,,198.5,,214.6,,214.6,,215.9,,234.7,,236.0,,237.4,,240.0,,223.9,,245.4,,313.8,,321.8,,320.5,,320.5,,333.9,,352.6,,362.0,,370.1,,376.8,,366.0,,388.8,,437.1,,435.7,,415.6,
nuclear,核三#1,951.0,949.5,,948.3,,950.6,,952.9,,950.6,,950.6,,950.6,,950.6,,948.3,,950.6,,950.6,,949.5,,948.3,,949.5,,950.6,,951.8,,948.3,,951.8,,948.3,,951.8,,948.3,,949.5,,950.6,,949.5,,948.3,,948.3,,951.8,,949.5,,949.5,,948.3,,947.2,,948.3,
nuclear,核三#2,951.0,942.6,,942.6,,943.8,,944.9,,944.9,,943.8,,942.6,,941.5,,941.5,,943.8,,942.6,,941.5,,941.5,,942.6,,943.8,,941.5,,941.5,,944.9,,941.5,,943.8,,941.5,,941.5,,943.8,,942.6,,942.6,,940.4,,942.6,,942.6,,941.5,,940.4,,941.5,,942.6,
nuclear,小計,3872.0(7.673%),2039.6(6.581%),,2038.4(6.653%),,2044.6(6.708%),,2048.0(6.770%),,2045.7(6.831%),,2067.4(6.955%),,2081.0(7.056%),,2082.5(7.112%),,2088.3(7.172%),,2109.0(7.254%),,2107.8(7.342%),,2106.9(7.339%),,2124.5(7.461%),,2128.1(7.545%),,2131.8(7.571%),,2133.3(7.634%),,2113.7(7.569%),,2142.1(7.706%),,2203.6(7.980%),,2217.4(8.046%),,2210.3(8.065%),,2211.5(8.105%),,2228.3(8.150%),,2244.7(8.270%),,2252.9(8.399%),,2258.8(8.364%),,2271.2(8.491%),,2258.1(8.464%),,2279.8(8.501%),,2325.8(8.753%),,2324.4(8.678%),,2306.5(8.675%),
coal,林口#1,800.0,756.2,,759.3,,759.8,,757.4,,757.2,,758.3,,762.8,,753.6,,762.6,,758.8,,763.0,,755.6,,760.8,,761.0,,763.2,,752.4,,757.9,,759.3,,752.9,,756.8,,760.7,,761.3,,756.9,,758.8,,750.1,,762.9,,758.4,,761.4,,758.4,,757.7,,756.4,,758.6,
coal,林口#2,800.0,760.4,,763.6,,761.5,,759.2,,758.6,,758.8,,763.6,,758.4,,763.9,,760.7,,764.1,,760.5,,763.3,,760.2,,763.3,,752.6,,759.4,,760.5,,752.8,,760.2,,762.9,,763.7,,760.4,,759.9,,753.4,,763.5,,760.1,,762.2,,760.9,,760.3,,759.8,,760.8,
coal,林口#3,800.0,756.3,,759.5,,758.9,,754.8,,760.4,,761.1,,766.5,,757.3,,765.5,,763.0,,766.3,,761.4,,765.7,,763.7,,765.9,,753.8,,759.7,,761.0,,754.2,,760.4,,764.1,,764.6,,760.2,,762.3,,752.3,,763.6,,759.7,,763.7,,761.5,,760.5,,760.4,,762.0,
coal,台中#1,550.0,391.9,,365.7,,392.5,,378.2,,370.3,,370.4,,379.5,,375.4,,340.9,,306.0,,325.3,,330.2,,332.7,,326.2,,330.9,,322.1,,330.9,,326.2,,325.4,,327.0,,329.4,,331.6,,327.4,,370.4,,379.7,,383.0,,380.0,,348.0,,328.0,,339.5,,337.9,,337.3,
coal,台中#2,550.0,395.4,,371.9,,377.3,,377.0,,384.7,,384.1,,382.6,,404.8,,348.5,,316.7,,339.7,,342.3,,331.6,,329.8,,335.1,,328.8,,335.9,,330.5,,332.7,,335.9,,337.7,,342.6,,327.2,,378.6,,377.6,,385.8,,371.5,,347.8,,320.8,,330.3,,328.9,,325.0,
