type,name,capacity,generation-00:00,note-00:00,generation-00:10,note-00:10,generation-00:20,note-00:20,generation-00:30,note-00:30,generation-00:40,note-00:40,generation-00:50,note-00:50,generation-01:00,note-01:00,generation-01:10,note-01:10,generation-01:20,note-01:20,generation-01:30,note-01:30,generation-01:40,note-01:40,generation-01:50,note-01:50,generation-02:00,note-02:00,generation-02:10,note-02:10,generation-02:20,note-02:20,generation-02:30,note-02:30,generation-02:40,note-02:40,generation-02:50,note-02:50,generation-03:00,note-03:00,generation-03:10,note-03:10,generation-03:20,note-03:20,generation-03:30,note-03:30,generation-03:40,note-03:40,generation-03:50,note-03:50,generation-04:00,note-04:00,generation-04:10,note-04:10,generation-04:20,note-04:20,generation-04:30,note-04:30,generation-04:40,note-04:40,generation-04:50,note-04:50,generation-05:00,note-05:00,generation-05:10,note-05:10,generation-05:20,note-05:20,generation-05:30,note-05:30,generation-05:40,note-05:40,generation-05:50,note-05:50,generation-06:00,note-06:00,generation-06:10,note-06:10,generation-06:20,note-06:20,generation-06:30,note-06:30,generation-06:40,note-06:40,generation-06:50,note-06:50,generation-07:00,note-07:00,generation-07:10,note-07:10,generation-07:20,note-07:20,generation-07:30,note-07:30,generation-07:40,note-07:40,generation-07:50,note-07:50,generation-08:00,note-08:00,generation-08:10,note-08:10,generation-08:20,note-08:20,generation-08:30,note-08:30,generation-08:40,note-08:40,generation-08:50,note-08:50,generation-09:00,note-09:00,generation-09:10,note-09:10,generation-09:20,note-09:20,generation-09:30,note-09:30,generation-09:40,note-09:40,generation-09:50,note-09:50,generation-10:00,note-10:00,generation-10:10,note-10:10,generation-10:20,note-10:20,generation-10:30,note-10:30,generation-10:40,note-10:40,generation-10:50,note-10:50,generation-11:00,note-11:00,generation-11:10,note-11:10,generation-11:20,note-11:20,generation-11:30,note-11:30,generation-11:40,note-11:40,generation-11:50,note-11:50,generation-12:00,note-12:00,generation-12:10,note-12:10,generation-12:20,note-12:20,generation-12:30,note-12:30,generation-12:40,note-12:40,generation-12:50,note-12:50,generation-13:00,note-13:00,generation-13:10,note-13:10,generation-13:20,note-13:20,generation-13:30,note-13:30,generation-13:40,note-13:40
nuclear,核二#1,985.0,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護,0.0,停機維護
nuclear,核二#2,985.0,667.6,,664.9,,664.9,,663.6,,660.9,,664.9,,659.6,,659.6,,658.2,,656.9,,655.6,,658.2,,656.9,,654.2,,652.9,,650.2,,652.9,,650.2,,650.2,,647.5,,646.2,,647.5,,646.2,,644.8,,644.8,,644.8,,644.8,,643.5,,640.8,,640.8,,640.8,,642.2,,587.2,,579.2,,593.9,,670.3,,673.0,,673.0,,671.6,,671.6,,673.0,,701.1,,701.1,,702.5,,703.8,,705.2,,705.2,,705.2,,706.5,,705.2,,703.8,,706.5,,707.8,,706.5,,707.8,,707.8,,707.8,,725.3,,758.8,,757.4,,812.4,,813.7,,825.8,,841.9,,841.9,,841.9,,841.9,,845.9,,853.9,,856.6,,855.3,,859.3,,858.0,,858.0,,860.6,,868.7,,868.7,,872.7,,872.7,,871.4,,872.7,,871.4,,882.1,
nuclear,核三#1,951.0,951.8,,949.5,,951.8,,951.8,,949.5,,951.8,,950.6,,950.6,,951.8,,948.3,,949.5,,950.6,,951.8,,950.6,,951.8,,947.2,,948.3,,950.6,,949.5,,950.6,,948.3,,950.6,,947.2,,948.3,,949.5,,949.5,,949.5,,950.6,,949.5,,949.5,,949.5,,949.5,,949.5,,948.3,,950.6,,949.5,,949.5,,948.3,,949.5,,948.3,,949.5,,949.5,,949.5,,946.1,,948.3,,949.5,,949.5,,948.3,,948.3,,949.5,,949.5,,949.5,,948.3,,948.3,,949.5,,949.5,,950.6,,949.5,,947.2,,948.3,,948.3,,948.3,,948.3,,950.6,,950.6,,949.5,,948.3,,948.3,,950.6,,950.6,,949.5,,948.3,,950.6,,948.3,,952.9,,951.8,,950.6,,949.5,,952.9,,950.6,,949.5,,949.5,,950.6,
nuclear,核三#2,951.0,944.9,,942.6,,943.8,,944.9,,943.8,,944.9,,943.8,,943.8,,944.9,,942.6,,941.5,,943.8,,943.8,,942.6,,942.6,,940.4,,941.5,,942.6,,942.6,,942.6,,940.4,,942.6,,940.4,,941.5,,941.5,,942.6,,942.6,,942.6,,941.5,,942.6,,942.6,,942.6,,942.6,,941.5,,943.8,,941.5,,941.5,,942.6,,941.5,,940.4,,941.5,,941.5,,941.5,,941.5,,941.5,,942.6,,942.6,,942.6,,942.6,,942.6,,941.5,,941.5,,941.5,,941.5,,942.6,,942.6,,942.6,,943.8,,941.5,,940.4,,942.6,,940.4,,942.6,,943.8,,943.8,,942.6,,941.5,,941.5,,942.6,,942.6,,942.6,,941.5,,942.6,,940.4,,943.8,,943.8,,942.6,,941.5,,943.8,,942.6,,942.6,,942.6,,942.6,
nuclear,小計,3872.0(7.673%),2564.3(8.437%),,2557.0(8.490%),,2560.5(8.604%),,2560.3(8.656%),,2554.2(8.683%),,2561.6(8.767%),,2554.0(8.811%),,2554.0(8.844%),,2554.9(8.906%),,2547.8(8.916%),,2546.6(8.965%),,2552.6(9.086%),,2552.5(9.175%),,2547.4(9.150%),,2547.3(9.188%),,2537.8(9.182%),,2542.7(9.221%),,2543.4(9.301%),,2542.3(9.460%),,2540.7(9.434%),,2534.9(9.391%),,2540.7(9.472%),,2533.8(9.451%),,2534.6(9.507%),,2535.8(9.534%),,2536.9(9.666%),,2536.9(9.617%),,2536.7(9.654%),,2531.8(9.647%),,2532.9(9.624%),,2532.9(9.641%),,2534.3(9.722%),,2479.3(9.490%),,2469.0(9.491%),,2488.3(9.522%),,2561.3(9.928%),,2564.0(9.862%),,2563.9(9.764%),,2562.6(9.713%),,2560.3(9.682%),,2564.0(9.617%),,2592.1(9.744%),,2592.1(9.626%),,2590.1(9.480%),,2593.6(9.375%),,2597.3(9.342%),,2597.3(9.148%),,2596.1(8.975%),,2597.4(8.668%),,2597.3(8.180%),,2594.8(7.964%),,2597.5(7.863%),,2597.6(7.732%),,2596.3(7.720%),,2599.9(7.605%),,2599.9(7.521%),,2601.0(7.430%),,2618.6(7.479%),,2647.5(7.510%),,2646.1(7.446%),,2703.3(7.650%),,2702.4(7.593%),,2716.7(7.616%),,2736.3(7.612%),,2736.3(7.556%),,2734.0(7.553%),,2731.7(7.498%),,2735.7(7.498%),,2747.1(7.486%),,2749.8(7.437%),,2747.4(7.439%),,2749.1(7.465%),,2751.2(7.583%),,2746.7(7.704%),,2757.3(7.738%),,2764.3(7.758%),,2761.9(7.756%),,2763.7(7.750%),,2769.4(7.732%),,2764.6(7.521%),,2764.8(7.517%),,2763.5(7.527%),,2775.3(7.528%),
coal,林口#1,800.0,759.3,,762.0,,755.7,,755.0,,755.3,,754.3,,754.6,,758.8,,757.9,,761.1,,762.1,,756.8,,751.2,,761.4,,759.6,,758.9,,762.9,,757.0,,756.8,,756.8,,759.4,,761.0,,758.3,,758.6,,759.2,,756.7,,758.2,,757.6,,758.5,,758.9,,757.6,,755.6,,756.3,,756.6,,756.4,,761.5,,759.5,,756.9,,759.6,,762.4,,761.2,,755.3,,760.2,,758.6,,756.5,,759.7,,759.6,,759.1,,761.3,,751.1,,757.0,,756.7,,756.5,,758.3,,755.7,,754.8,,756.8,,757.2,,756.8,,758.4,,757.4,,761.6,,761.9,,761.1,,758.4,,759.9,,762.8,,756.1,,761.8,,759.2,,760.6,,757.7,,756.0,,761.4,,759.3,,755.9,,757.2,,757.1,,756.0,,760.2,,760.7,,757.8,,759.9,
coal,林口#2,800.0,758.4,,762.3,,757.5,,755.7,,757.0,,756.9,,757.5,,759.7,,758.7,,762.1,,762.2,,759.1,,753.5,,761.5,,757.6,,761.5,,764.6,,759.1,,759.1,,759.5,,760.7,,763.7,,761.2,,761.6,,760.8,,760.2,,759.0,,759.7,,760.3,,761.4,,760.1,,756.5,,759.1,,759.7,,758.9,,763.4,,762.0,,760.3,,762.8,,763.2,,762.0,,756.3,,760.5,,759.2,,759.6,,759.3,,760.4,,759.2,,763.7,,755.3,,758.2,,758.8,,758.7,,759.9,,757.9,,757.3,,757.7,,758.9,,758.6,,760.5,,756.5,,762.7,,761.1,,759.5,,759.3,,759.4,,762.3,,754.9,,762.6,,758.2,,761.6,,758.5,,757.8,,760.9,,759.8,,757.0,,756.7,,756.5,,757.1,,760.1,,759.9,,757.3,,760.9,
coal,林口#3,800.0,761.7,,765.6,,759.5,,758.2,,758.7,,758.9,,759.8,,762.4,,759.2,,757.9,,761.9,,757.7,,753.6,,765.4,,761.2,,758.3,,764.8,,760.3,,761.9,,760.7,,762.7,,764.2,,762.3,,760.2,,758.8,,760.0,,760.8,,761.5,,762.1,,762.5,,760.8,,756.1,,760.8,,760.4,,760.0,,764.7,,761.4,,759.2,,763.2,,764.5,,763.8,,756.2,,761.8,,760.9,,760.5,,761.8,,760.5,,760.5,,760.3,,752.1,,757.3,,752.4,,755.2,,756.9,,758.7,,754.3,,758.1,,758.3,,753.8,,756.2,,757.0,,760.6,,763.3,,757.4,,755.0,,761.5,,764.9,,759.5,,765.0,,760.8,,763.7,,760.2,,760.1,,765.8,,761.8,,760.6,,760.0,,759.8,,758.9,,762.6,,761.3,,760.5,,763.3,
coal,台中#1,550.0,413.7,,393.4,,396.5,,390.8,,392.6,,386.2,,387.9,,389.4,,389.4,,384.7,,391.9,,387.8,,379.6,,388.5,,387.1,,391.1,,389.4,,393.2,,398.7,,397.2,,391.6,,397.3,,397.1,,383.2,,398.7,,406.3,,392.2,,392.5,,399.5,,397.3,,387.6,,392.4,,390.8,,394.8,,401.0,,400.4,,396.2,,394.5,,391.5,,394.1,,384.4,,390.8,,390.1,,395.5,,386.9,,393.1,,395.5,,391.6,,396.3,,390.6,,416.4,,439.0,,430.1,,430.7,,423.6,,431.8,,464.6,,501.9,,521.8,,519.8,,513.5,,520.3,,529.6,,526.8,,522.4,,526.1,,518.5,,520.8,,523.2,,521.6,,524.0,,516.8,,523.1,,531.7,,524.1,,521.5,,523.9,,521.5,,525.2,,526.3,,528.2,,522.6,,524.0,
coal,台中#2,550.0,398.0,,369.3,,372.0,,380.4,,377.6,,376.1,,374.6,,378.5,,370.7,,373.7,,377.0,,370.7,,382.3,,370.0,,374.7,,370.7,,376.2,,380.8,,382.5,,379.5,,378.6,,378.6,,375.3,,377.1,,379.4,,378.5,,378.4,,374.6,,383.2,,374.6,,378.6,,383.0,,375.3,,368.3,,384.6,,372.8,,375.1,,379.7,,377.4,,379.8,,381.3,,382.1,,371.1,,373.6,,373.6,,379.8,,375.1,,376.8,,376.1,,371.4,,392.6,,424.4,,420.8,,427.3,,416.2,,433.6,,450.5,,493.2,,508.3,,522.8,,514.3,,515.3,,518.3,,520.6,,522.0,,522.9,,518.4,,518.1,,514.6,,515.0,,518.1,,519.6,,514.2,,517.7,,519.0,,511.8,,521.1,,517.9,,514.8,,523.1,,519.1,,517.6,,520.6,
